Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.513031,0.561400,0.511179,0.547294,4848730,267428000
Mar 30 2018,0.533715,0.535158,0.475715,0.513417,5662420,278239000
Mar 29 2018,0.635285,0.658245,0.507468,0.535400,8268510,331201000
Mar 28 2018,0.635673,0.651955,0.600326,0.633827,11336500,331380000
Mar 27 2018,0.653510,0.699362,0.567041,0.637713,32818400,339926000
Mar 26 2018,0.595270,0.801527,0.508499,0.659132,45730400,309319000
Mar 25 2018,0.592728,0.613129,0.562428,0.595489,4898480,308086000
Mar 24 2018,0.560314,0.618665,0.554062,0.597900,5652270,291103000
Mar 23 2018,0.578563,0.583475,0.511481,0.554259,5367430,300585000
Mar 22 2018,0.582848,0.633587,0.554356,0.578416,8667940,302665000
Mar 21 2018,0.537362,0.617998,0.537362,0.582054,7988280,278900000
Mar 20 2018,0.468713,0.558981,0.460619,0.534654,6190060,243115000
Mar 19 2018,0.442396,0.464974,0.435120,0.464974,3859170,229324000
Mar 18 2018,0.443938,0.443938,0.354991,0.441154,5900160,230038000
Mar 17 2018,0.503508,0.503508,0.442287,0.444696,3134240,260896000
Mar 16 2018,0.484890,0.529674,0.468640,0.503941,4675690,251138000
Mar 15 2018,0.517678,0.520949,0.460781,0.486085,4601280,268026000
Mar 14 2018,0.595073,0.608643,0.514046,0.518390,4919120,307650000
Mar 13 2018,0.626599,0.658558,0.584119,0.595122,5484210,323983000
Mar 12 2018,0.683034,0.708498,0.617465,0.628817,4099150,353102000
Mar 11 2018,0.631398,0.684097,0.609048,0.682246,4172970,326314000
Mar 10 2018,0.646254,0.733354,0.633139,0.635473,7654580,333757000
Mar 09 2018,0.637627,0.646006,0.567193,0.645375,5198880,329854000
Mar 08 2018,0.701590,0.735299,0.637734,0.641815,6500550,362723000
Mar 07 2018,0.783247,0.795471,0.670935,0.696557,7856390,404789000
Mar 06 2018,0.887447,0.887447,0.778876,0.784441,6516140,458344000
Mar 05 2018,0.920334,0.930618,0.887097,0.887579,6025120,475288000
Mar 04 2018,0.915349,0.923982,0.890946,0.921463,5709570,472507000
Mar 03 2018,0.934461,0.969524,0.909748,0.917723,6815010,482397000
Mar 02 2018,0.961520,1.01,0.930779,0.938003,7594580,496231000
Mar 01 2018,0.916661,0.969874,0.880255,0.962535,8661110,471873000
Feb 28 2018,0.992029,1.01,0.916808,0.917173,6891760,510407000
