Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.471765,0.488912,0.435652,0.467392,7015,-
Mar 30 2018,0.481615,0.489281,0.436937,0.471693,1204,-
Mar 29 2018,0.558929,0.592393,0.468772,0.482815,577,-
Mar 28 2018,0.531439,0.568876,0.519365,0.558275,3432,-
Mar 27 2018,0.686201,0.688401,0.530881,0.531561,3612,-
Mar 26 2018,0.725419,0.729395,0.513817,0.687241,1187,-
Mar 25 2018,0.574088,0.746471,0.554205,0.725975,4635,-
Mar 24 2018,0.622579,0.734975,0.573444,0.582100,625,-
Mar 23 2018,0.712202,0.723623,0.517417,0.613644,6659,-
Mar 22 2018,0.714311,0.752597,0.569368,0.712220,4016,-
Mar 21 2018,0.645176,0.911146,0.644240,0.715615,1884,-
Mar 20 2018,0.770494,0.770494,0.534165,0.644010,10974,-
Mar 19 2018,0.569769,0.767914,0.566271,0.761993,4032,-
Mar 18 2018,0.704798,0.734297,0.495519,0.572179,3289,-
Mar 17 2018,0.746153,0.746153,0.605253,0.706516,3554,-
Mar 16 2018,0.867363,0.872686,0.653610,0.744925,2196,-
Mar 15 2018,0.841102,0.892000,0.745839,0.867852,17,-
Mar 14 2018,0.731900,0.844132,0.687808,0.841480,4428,-
Mar 13 2018,0.776381,0.950017,0.655280,0.731799,9880,-
Mar 12 2018,0.640951,0.783024,0.497263,0.780906,10648,-
Mar 11 2018,0.595919,0.683433,0.530134,0.630068,5876,-
Mar 10 2018,0.826466,0.836956,0.526612,0.597982,10114,-
Mar 09 2018,0.877865,0.932782,0.611830,0.826111,6703,-
Mar 08 2018,0.699527,0.892806,0.685400,0.883459,2081,-
Mar 07 2018,0.757025,0.873238,0.634885,0.700519,13071,-
Mar 06 2018,1.01,1.31,0.750435,0.758009,17028,-
Mar 05 2018,0.738701,1.03,0.734109,1.02,20221,-
Mar 04 2018,1.06,1.06,0.530142,0.739242,30799,-
Mar 03 2018,0.921671,1.25,0.921671,1.06,9130,-
Mar 02 2018,0.981067,1.17,0.917312,0.922800,13687,-
Mar 01 2018,1.03,1.47,0.976019,0.983595,11956,-
Feb 28 2018,1.14,1.33,0.901726,1.03,25438,-
Feb 27 2018,1.53,1.54,0.730832,1.14,27212,-
Feb 26 2018,1.39,1.57,1.04,1.53,55851,-
Feb 25 2018,1.87,1.89,1.34,1.38,208557,-
Feb 24 2018,2.00,2.08,1.49,1.88,1031490,-
Feb 23 2018,1.94,2.05,1.74,2.00,1189610,-
Feb 22 2018,2.11,2.27,1.87,1.94,950583,-
Feb 21 2018,2.55,2.56,2.04,2.11,1172820,-
Feb 20 2018,2.73,2.78,2.52,2.56,1216660,-
Feb 19 2018,2.39,2.73,2.22,2.73,1258690,-
Feb 18 2018,2.57,2.60,2.23,2.40,965757,-
Feb 17 2018,2.55,2.67,2.04,2.56,1253970,-
Feb 16 2018,2.59,2.74,2.24,2.55,1206090,-
Feb 15 2018,2.70,2.74,2.20,2.60,1276540,-
Feb 14 2018,1.73,2.70,1.71,2.69,1212350,-
Feb 13 2018,1.45,1.74,1.45,1.74,3103520,-
Feb 12 2018,1.44,1.53,1.26,1.52,481146,-
Feb 11 2018,1.09,1.47,0.925540,1.42,555023,-
Feb 10 2018,1.06,1.09,1.04,1.09,421183,-
