Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.071316,0.077111,0.070841,0.073437,1368020,-
Mar 30 2018,0.075099,0.079668,0.065371,0.071336,1009050,-
Mar 29 2018,0.085823,0.087779,0.073569,0.074428,868095,-
Mar 28 2018,0.080813,0.088423,0.078387,0.084304,910908,-
Mar 27 2018,0.087591,0.087911,0.080043,0.080768,1185090,-
Mar 26 2018,0.092276,0.094999,0.080455,0.087647,1039770,-
Mar 25 2018,0.094106,0.094730,0.089253,0.092371,1150800,-
Mar 24 2018,0.092767,0.102463,0.092753,0.094779,1436980,-
Mar 23 2018,0.095185,0.097526,0.088661,0.092031,1148970,-
Mar 22 2018,0.099728,0.103295,0.091231,0.095185,1176120,-
Mar 21 2018,0.091422,0.105890,0.091422,0.099808,1318340,-
Mar 20 2018,0.085272,0.102468,0.084439,0.091252,1181450,-
Mar 19 2018,0.088041,0.093277,0.080084,0.084769,436939,-
Mar 18 2018,0.105379,0.105408,0.079473,0.087546,447712,-
Mar 17 2018,0.116059,0.118405,0.105159,0.105489,440222,-
Mar 16 2018,0.117147,0.121698,0.110632,0.117625,975026,-
Mar 15 2018,0.119812,0.124411,0.109073,0.117239,774191,-
Mar 14 2018,0.134458,0.139072,0.117271,0.119841,358866,-
Mar 13 2018,0.134797,0.143850,0.132070,0.134431,226298,-
Mar 12 2018,0.143524,0.149239,0.134765,0.135122,248147,-
Mar 11 2018,0.137713,0.148366,0.125284,0.143700,1196420,-
Mar 10 2018,0.144965,0.152089,0.129762,0.134546,763162,-
Mar 09 2018,0.132194,0.145324,0.123297,0.144951,1225730,-
Mar 08 2018,0.151611,0.152200,0.130912,0.132601,1298750,-
Mar 07 2018,0.169332,0.175634,0.142972,0.151731,1686790,-
Mar 06 2018,0.177619,0.181516,0.161059,0.169382,3080280,-
Mar 05 2018,0.180942,0.185654,0.174543,0.177810,4489070,-
Mar 04 2018,0.187263,0.190524,0.171014,0.180979,3547610,-
Mar 03 2018,0.191098,0.199311,0.185320,0.187448,967723,-
Mar 02 2018,0.199075,0.209767,0.184072,0.189129,3424430,-
Mar 01 2018,0.181224,0.209228,0.176910,0.200133,6674320,-
Feb 28 2018,0.176966,0.196013,0.175932,0.181114,4480640,-
Feb 27 2018,0.180888,0.190816,0.176171,0.176224,4275420,-
Feb 26 2018,0.166821,0.185370,0.166208,0.180275,1537350,-
Feb 25 2018,0.145548,0.205902,0.141847,0.169425,4126200,-
Feb 24 2018,0.147897,0.161117,0.141767,0.145714,2223300,-
Feb 23 2018,0.149409,0.159947,0.144462,0.147984,811139,-
Feb 22 2018,0.153786,0.161227,0.145300,0.149456,1826760,-
Feb 21 2018,0.167970,0.171114,0.153850,0.153850,500243,-
Feb 20 2018,0.166703,0.178613,0.165624,0.168580,508394,-
Feb 19 2018,0.168018,0.175835,0.160536,0.166635,323325,-
Feb 18 2018,0.177847,0.185160,0.165311,0.168276,1215590,-
Feb 17 2018,0.179069,0.185421,0.175607,0.177633,932222,-
Feb 16 2018,0.183368,0.186761,0.177419,0.179058,785140,-
Feb 15 2018,0.171846,0.189514,0.163847,0.183565,855406,-
Feb 14 2018,0.168764,0.184211,0.165756,0.171798,2157800,-
Feb 13 2018,0.171512,0.181961,0.164951,0.169045,977298,-
Feb 12 2018,0.166033,0.176108,0.166033,0.171367,880660,-
Feb 11 2018,0.178567,0.178567,0.164611,0.165546,630111,-
Feb 10 2018,0.178755,0.189483,0.172013,0.178630,1566210,-
Feb 09 2018,0.187722,0.187722,0.167805,0.177737,1374220,-
Feb 08 2018,0.158838,0.236559,0.158838,0.187313,8714340,-
Feb 07 2018,0.158005,0.175124,0.143323,0.159307,11702000,-
Feb 06 2018,0.144390,0.161024,0.116209,0.159353,2090120,-
Feb 05 2018,0.167120,0.177019,0.135121,0.144514,3787650,-
Feb 04 2018,0.194004,0.195734,0.167854,0.168329,2183940,-
Feb 03 2018,0.187885,0.198824,0.166293,0.193995,1168110,-
Feb 02 2018,0.188200,0.203174,0.161194,0.184631,11832800,-
Feb 01 2018,0.201895,0.212780,0.179482,0.188632,11427200,-
Jan 31 2018,0.183134,0.208336,0.173546,0.201587,5676940,-
Jan 30 2018,0.204521,0.205751,0.181874,0.182045,2467910,-
Jan 29 2018,0.222587,0.224616,0.199596,0.204491,2026410,-
Jan 28 2018,0.212157,0.234156,0.206016,0.223491,2870210,-
Jan 27 2018,0.218278,0.228413,0.210720,0.211364,2107650,-
Jan 26 2018,0.232251,0.250472,0.203751,0.217331,5005890,-
Jan 25 2018,0.216395,0.259837,0.215371,0.234582,8313170,-
Jan 24 2018,0.164371,0.233230,0.154261,0.214444,14277000,-
Jan 23 2018,0.150284,0.173051,0.140828,0.165531,7598330,-
Jan 22 2018,0.175151,0.185575,0.134857,0.150674,17159000,-
Jan 21 2018,0.204998,0.211911,0.166369,0.174197,10590800,-
Jan 20 2018,0.203326,0.226049,0.193293,0.207185,17428500,-
