Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.026876,0.030051,0.026811,0.026811,1055,1168450
Mar 30 2018,0.029223,0.030619,0.024936,0.025946,821,1272250
Mar 29 2018,0.028931,0.033617,0.026465,0.029737,3713,1259350
Mar 28 2018,0.030360,0.031789,0.028647,0.028893,1231,1321350
Mar 27 2018,0.033799,0.034617,0.030100,0.030648,2217,1470890
Mar 26 2018,0.034867,0.036254,0.032284,0.033848,1409,1517210
Mar 25 2018,0.035399,0.037274,0.034467,0.034755,1036,1540480
Mar 24 2018,0.037428,0.039372,0.034767,0.035832,1454,1628480
Mar 23 2018,0.032649,0.041905,0.032025,0.038514,19727,1420540
Mar 22 2018,0.037672,0.037711,0.030652,0.032342,4689,1638930
Mar 21 2018,0.042676,0.042717,0.036002,0.037742,2557,1856380
Mar 20 2018,0.037644,0.044218,0.037000,0.042485,3514,1637700
Mar 19 2018,0.035075,0.039255,0.034265,0.036027,2606,1525500
Mar 18 2018,0.034794,0.036153,0.032090,0.035017,3362,1513140
Mar 17 2018,0.037499,0.038094,0.033342,0.034750,1514,1630630
Mar 16 2018,0.035377,0.039659,0.033119,0.037037,2109,1538110
Mar 15 2018,0.035154,0.041551,0.033182,0.035324,1975,1528290
Mar 14 2018,0.042031,0.043715,0.033735,0.037181,2999,1827090
Mar 13 2018,0.043196,0.045688,0.041568,0.042714,1664,1877470
Mar 12 2018,0.046112,0.047766,0.041365,0.043299,3962,2004050
Mar 11 2018,0.044170,0.049077,0.042351,0.047196,2544,1919520
Mar 10 2018,0.045123,0.048093,0.042668,0.044321,1656,1961060
Mar 09 2018,0.047010,0.047606,0.040238,0.045042,2249,2043350
Mar 08 2018,0.051120,0.054364,0.045600,0.047352,3595,2221720
Mar 07 2018,0.058124,0.059937,0.035369,0.049421,11540,2525840
Mar 06 2018,0.059884,0.063963,0.055479,0.056699,1546,2602010
Mar 05 2018,0.063098,0.065250,0.058523,0.060055,2474,2741410
Mar 04 2018,0.065115,0.067267,0.055817,0.064682,7482,2828920
Mar 03 2018,0.072810,0.074229,0.059857,0.063653,3068,3162880
Mar 02 2018,0.071454,0.077163,0.065400,0.069428,5351,3103850
Mar 01 2018,0.071068,0.076317,0.065759,0.073756,4899,3086830
Feb 28 2018,0.075425,0.076251,0.064646,0.068062,3485,3281040
Feb 27 2018,0.073598,0.080579,0.068397,0.074669,4046,3201260
Feb 26 2018,0.071110,0.075968,0.060163,0.070368,8459,3092730
Feb 25 2018,0.070712,0.079004,0.066381,0.070888,4428,3075080
Feb 24 2018,0.070042,0.077846,0.067288,0.069401,8943,3045580
Feb 23 2018,0.072260,0.076281,0.067908,0.071545,3684,3141420
Feb 22 2018,0.075331,0.078826,0.071228,0.072197,3873,3274610
Feb 21 2018,0.079905,0.090272,0.073155,0.075574,6520,3472560
Feb 20 2018,0.077829,0.092049,0.074217,0.080001,9487,3383910
Feb 19 2018,0.073750,0.079333,0.071358,0.077517,3971,3206470
Feb 18 2018,0.073690,0.080503,0.068982,0.074755,8416,3203460
Feb 17 2018,0.064053,0.078827,0.061082,0.072757,4868,2787760
