Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,1.54,1.66,1.54,1.59,3311140,359051000
Mar 30 2018,1.43,1.65,1.37,1.54,7037270,332073000
Mar 29 2018,1.64,1.65,1.40,1.42,3246180,382719000
Mar 28 2018,1.58,1.70,1.56,1.64,4091060,367516000
Mar 27 2018,1.60,1.69,1.52,1.58,3504030,373786000
Mar 26 2018,1.65,1.70,1.52,1.60,2612480,383482000
Mar 25 2018,1.66,1.68,1.61,1.64,1714780,385926000
Mar 24 2018,1.70,1.74,1.67,1.67,2492240,395911000
Mar 23 2018,1.68,1.69,1.55,1.69,3157770,391208000
Mar 22 2018,1.75,1.82,1.58,1.68,3615960,407181000
Mar 21 2018,1.66,1.77,1.65,1.75,2733890,386627000
Mar 20 2018,1.60,1.73,1.54,1.66,2604610,372726000
Mar 19 2018,1.38,1.64,1.37,1.58,3766160,322719000
Mar 18 2018,1.49,1.49,1.20,1.39,3064900,348161000
Mar 17 2018,1.62,1.62,1.48,1.50,3615700,376337000
Mar 16 2018,1.62,1.66,1.57,1.61,3794970,376334000
Mar 15 2018,1.58,1.63,1.52,1.62,3000830,367515000
Mar 14 2018,1.72,1.76,1.55,1.58,2764920,400964000
Mar 13 2018,1.77,1.81,1.70,1.72,2199740,411817000
Mar 12 2018,1.84,1.87,1.73,1.77,1892480,429004000
Mar 11 2018,1.77,1.88,1.73,1.83,1742250,412298000
Mar 10 2018,1.87,1.92,1.76,1.77,1973150,436661000
Mar 09 2018,1.85,1.87,1.70,1.87,4413590,431191000
Mar 08 2018,1.87,1.93,1.73,1.85,4135560,436105000
Mar 07 2018,2.12,2.16,1.81,1.88,4148770,493871000
Mar 06 2018,2.31,2.31,2.10,2.12,3012900,537248000
Mar 05 2018,2.32,2.36,2.29,2.30,2081650,541309000
Mar 04 2018,2.30,2.33,2.26,2.32,2560440,535297000
Mar 03 2018,2.35,2.40,2.28,2.30,2165790,547408000
Mar 02 2018,2.37,2.44,2.29,2.36,2379310,551296000
Mar 01 2018,2.28,2.48,2.24,2.35,3402770,530770000
Feb 28 2018,2.43,2.61,2.27,2.28,6857090,566617000
Feb 27 2018,2.24,2.64,2.18,2.45,8332700,521511000
Feb 26 2018,2.16,2.25,2.07,2.22,3059990,502723000
Feb 25 2018,2.22,2.27,2.08,2.16,3149650,516912000
Feb 24 2018,2.30,2.37,2.18,2.23,2518140,536128000
Feb 23 2018,2.24,2.41,2.19,2.30,3459750,521525000
Feb 22 2018,2.34,2.52,2.22,2.26,4527210,544959000
Feb 21 2018,2.54,2.54,2.27,2.34,4012920,592488000
Feb 20 2018,2.72,2.76,2.52,2.53,4470310,633407000
Feb 19 2018,2.56,2.85,2.55,2.69,3536050,596454000
Feb 18 2018,2.68,2.74,2.50,2.57,3565100,625385000
Feb 17 2018,2.61,2.73,2.59,2.68,3016070,608262000
Feb 16 2018,2.56,2.66,2.54,2.61,2849720,597396000
Feb 15 2018,2.63,2.68,2.51,2.56,3817200,614007000
Feb 14 2018,2.43,2.64,2.43,2.64,4919220,565753000
Feb 13 2018,2.62,2.62,2.31,2.42,7490450,610495000
Feb 12 2018,2.51,2.72,2.51,2.63,3573810,585744000
Feb 11 2018,2.76,2.76,2.34,2.50,7236360,643255000
Feb 10 2018,2.91,2.99,2.66,2.76,6130930,678378000
Feb 09 2018,2.87,3.04,2.73,2.91,4705450,669202000
Feb 08 2018,2.58,2.95,2.58,2.87,21679800,600526000
Feb 07 2018,2.38,3.44,2.15,2.55,29364300,554151000
Feb 06 2018,2.12,2.40,1.75,2.39,7492040,494438000
Feb 05 2018,2.51,2.57,1.98,2.10,5440170,584646000
Feb 04 2018,2.86,2.91,2.50,2.54,4240530,665608000
Feb 03 2018,2.60,2.97,2.41,2.84,6101430,606924000
Feb 02 2018,2.69,2.72,2.20,2.60,6815050,627518000
Feb 01 2018,2.99,3.14,2.59,2.70,7004030,696379000
Jan 31 2018,2.44,2.95,2.33,2.95,4352570,567460000
Jan 30 2018,3.04,3.05,2.45,2.46,5563420,707663000
Jan 29 2018,3.23,3.38,2.80,3.03,5425230,752910000
Jan 28 2018,2.87,3.52,2.87,3.21,11368100,668684000
Jan 27 2018,2.44,2.98,2.43,2.86,6201390,567729000
Jan 26 2018,2.16,2.56,2.06,2.44,6051310,504149000
Jan 25 2018,1.85,2.19,1.85,2.17,3965590,431628000
Jan 24 2018,1.53,1.84,1.50,1.84,2482720,356573000
Jan 23 2018,1.49,1.57,1.41,1.53,2509220,348036000
Jan 22 2018,1.51,1.68,1.43,1.49,2368590,351300000
Jan 21 2018,1.80,1.80,1.48,1.49,1675180,418980000
Jan 20 2018,1.54,1.85,1.54,1.80,2220340,358395000
Jan 19 2018,1.51,1.59,1.41,1.53,3265330,351992000
Jan 18 2018,1.57,1.63,1.42,1.52,2156320,365453000
Jan 17 2018,1.45,1.56,1.22,1.55,2535970,339042000
Jan 16 2018,1.96,1.96,1.34,1.46,3547600,457044000
Jan 15 2018,2.13,2.14,1.89,1.97,2900980,495810000
Jan 14 2018,2.36,2.36,1.93,2.13,2711380,550256000
Jan 13 2018,2.22,2.32,2.19,2.31,3114980,518015000
Jan 12 2018,2.07,2.33,2.04,2.22,2801560,482058000
Jan 11 2018,2.28,2.36,2.04,2.06,3467050,530777000
Jan 10 2018,2.48,2.48,2.14,2.27,3117280,577837000
Jan 09 2018,2.44,2.62,2.32,2.48,3778640,568113000
Jan 08 2018,2.66,2.77,2.06,2.44,5645830,619498000
Jan 07 2018,2.45,2.89,2.45,2.67,6197720,571345000
Jan 06 2018,2.12,2.51,2.04,2.47,4581780,493696000
Jan 05 2018,1.80,2.39,1.80,2.13,5526110,420466000
Jan 04 2018,1.53,1.89,1.51,1.81,3454190,357050000
Jan 03 2018,1.38,1.53,1.37,1.53,2798770,321289000
Jan 02 2018,1.30,1.43,1.30,1.38,2867610,303743000
Jan 01 2018,1.32,1.33,1.25,1.30,1312670,308110000
Dec 31 2017,1.22,1.33,1.20,1.32,1482490,284680000
Dec 30 2017,1.33,1.34,1.13,1.23,1756310,310191000
Dec 29 2017,1.33,1.41,1.31,1.33,1858930,310888000
Dec 28 2017,1.48,1.49,1.27,1.32,2149510,346002000
Dec 27 2017,1.45,1.54,1.40,1.49,2495370,336983000
Dec 26 2017,1.38,1.48,1.38,1.44,2346160,322658000
Dec 25 2017,1.26,1.40,1.24,1.39,2248590,292653000
Dec 24 2017,1.33,1.33,1.12,1.26,1786080,310633000
Dec 23 2017,1.21,1.41,1.21,1.32,2108070,281914000
Dec 22 2017,1.49,1.50,0.992437,1.20,3418480,347257000
Dec 21 2017,1.50,1.60,1.40,1.47,5377690,350384000
Dec 20 2017,1.57,1.59,1.38,1.50,4884380,366001000
Dec 19 2017,1.34,1.70,1.34,1.55,6317100,311603000
Dec 18 2017,1.27,1.35,1.18,1.34,3815380,295018000
Dec 17 2017,1.18,1.36,1.18,1.28,2727140,274350000
Dec 16 2017,1.26,1.32,1.12,1.19,4237580,293661000
Dec 15 2017,0.798690,1.26,0.788689,1.26,6010610,186111000
