Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.141266,0.193302,0.135412,0.141479,12690,2729430
Mar 30 2018,0.141609,0.144923,0.129705,0.141281,3058,2736060
Mar 29 2018,0.154860,0.155725,0.137925,0.141877,7923,2992080
Mar 28 2018,0.148040,0.158496,0.144462,0.154648,12951,2860320
Mar 27 2018,0.170523,0.175200,0.118516,0.148019,52070,3294720
Mar 26 2018,0.180373,0.191203,0.162816,0.169961,9797,3485020
Mar 25 2018,0.187583,0.198667,0.175252,0.181033,9589,3624330
Mar 24 2018,0.188840,0.203183,0.177300,0.183495,7247,3648620
Mar 23 2018,0.178013,0.201581,0.169431,0.186576,18967,3439430
Mar 22 2018,0.190253,0.237937,0.166205,0.178174,49351,3675920
Mar 21 2018,0.181645,0.199233,0.174437,0.190422,28657,3509590
Mar 20 2018,0.191278,0.195846,0.168998,0.181038,19171,3695720
Mar 19 2018,0.163448,0.189814,0.152859,0.189661,38584,2918780
Mar 18 2018,0.171426,0.194013,0.146701,0.163258,17512,3061240
Mar 17 2018,0.199814,0.201461,0.170300,0.171849,15605,3568180
Mar 16 2018,0.225556,0.235287,0.192141,0.192141,37350,4027870
Mar 15 2018,0.220599,0.379805,0.194357,0.222574,39315,3939340
Mar 14 2018,0.243893,0.255923,0.215325,0.220599,18975,4355310
Mar 13 2018,0.266477,0.280055,0.227696,0.243991,35439,4758600
Mar 12 2018,0.279672,0.294204,0.251624,0.267262,12320,4994240
Mar 11 2018,0.270545,0.299267,0.262269,0.279856,27024,4831250
Mar 10 2018,0.302900,0.304653,0.270021,0.271933,28435,5409020
Mar 09 2018,0.311043,0.341675,0.268585,0.302925,31768,5554440
Mar 08 2018,0.353409,0.374247,0.309796,0.312129,18604,6311000
Mar 07 2018,0.391015,0.409335,0.345560,0.354094,71398,6982540
Mar 06 2018,0.426496,0.426858,0.386763,0.390494,35268,7616140
Mar 05 2018,0.410827,0.446546,0.407414,0.414977,25728,7336350
Mar 04 2018,0.427046,0.429787,0.399843,0.411070,35771,7625980
Mar 03 2018,0.432339,0.457966,0.418723,0.427417,30306,7720500
Mar 02 2018,0.426536,0.487622,0.426536,0.432871,81755,7616850
Mar 01 2018,0.373673,0.472214,0.367936,0.427075,80634,6672860
Feb 28 2018,0.415839,0.435989,0.372965,0.372965,55055,7425850
Feb 27 2018,0.402167,0.454424,0.388624,0.415292,60880,7181690
Feb 26 2018,0.422654,0.456042,0.363509,0.429985,186686,7547540
Feb 25 2018,0.451142,0.463731,0.406938,0.422426,21096,8056260
Feb 24 2018,0.448933,0.506138,0.419555,0.452200,27693,8016820
Feb 23 2018,0.429474,0.529533,0.404651,0.449539,106656,7669320
Feb 22 2018,0.395432,0.466808,0.378139,0.444148,98691,7061430
Feb 21 2018,0.419761,0.446880,0.387945,0.396382,35707,7495870
Feb 20 2018,0.474424,0.506344,0.417880,0.427024,65421,8472020
Feb 19 2018,0.529406,0.544476,0.460857,0.486017,127800,9453860
Feb 18 2018,0.551986,0.565703,0.503117,0.531492,68356,9857090
Feb 17 2018,0.542754,0.604210,0.539985,0.550903,109908,9692220
Feb 16 2018,0.640302,0.658154,0.519199,0.562330,120196,11434200
Feb 15 2018,0.631265,0.668927,0.613933,0.641825,102051,11272800
Feb 14 2018,0.556973,0.635140,0.555521,0.631037,170355,9946140
Feb 13 2018,0.590473,0.603675,0.543240,0.557612,58918,10544400
Feb 12 2018,0.515888,0.609320,0.515888,0.589852,81961,9212460
Feb 11 2018,0.574884,0.578182,0.486242,0.513204,92536,10266000
Feb 10 2018,0.555652,0.619728,0.488961,0.575542,196533,9922540
Feb 09 2018,0.562026,0.599118,0.506939,0.555493,153154,10036400
Feb 08 2018,0.481198,0.609964,0.478016,0.560811,89156,8592990
Feb 07 2018,0.556713,0.604678,0.463276,0.484944,122068,9941500
Feb 06 2018,0.510251,0.567798,0.347173,0.566072,189492,9111790
Feb 05 2018,0.681052,0.718603,0.405334,0.509090,165758,12161900
Feb 04 2018,0.851537,0.852564,0.668598,0.687592,111660,15206300
Feb 03 2018,0.784264,0.974248,0.725815,0.851333,171525,14005000
Feb 02 2018,0.830859,0.949533,0.645864,0.780471,306518,14837000
Feb 01 2018,1.03,1.11,0.780856,0.865116,213586,18334800
Jan 31 2018,0.916668,1.03,0.868376,1.02,287007,16369400
Jan 30 2018,1.09,1.16,0.852855,0.914566,333314,19508800
Jan 29 2018,1.25,1.37,1.04,1.09,494415,22386300
Jan 28 2018,1.53,1.58,1.20,1.26,556519,27362400
Jan 27 2018,1.46,1.58,1.22,1.51,949416,26003400
Jan 26 2018,0.882547,1.47,0.803294,1.45,1349420,15760100
Jan 25 2018,0.979733,1.04,0.825197,0.889878,423594,17495600
Jan 24 2018,1.10,1.15,0.844216,0.943286,743000,19625500
Jan 23 2018,1.04,1.22,0.934481,1.08,477971,18590400
Jan 22 2018,1.37,1.49,0.977095,1.03,558638,24387400
Jan 21 2018,1.72,1.79,1.29,1.35,636360,30697200
Jan 20 2018,1.43,1.77,1.30,1.72,950751,25513200
Jan 19 2018,1.75,1.76,1.36,1.43,982671,31300700
Jan 18 2018,1.86,2.07,1.50,1.75,1017410,33196000
