Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.006867,0.007560,0.006849,0.006999,78148,7210310
Mar 30 2018,0.007499,0.007648,0.006486,0.006838,120533,7873700
Mar 29 2018,0.008956,0.009686,0.007329,0.007462,152618,9404270
Mar 28 2018,0.008262,0.008692,0.007488,0.008692,161332,8675580
Mar 27 2018,0.008501,0.008929,0.008032,0.008120,159509,8925990
Mar 26 2018,0.010283,0.010447,0.008130,0.008544,141083,10797600
Mar 25 2018,0.010445,0.010780,0.010149,0.010223,162687,10967700
Mar 24 2018,0.011279,0.011354,0.010338,0.010380,184609,11843300
Mar 23 2018,0.011533,0.011909,0.010174,0.011235,232847,12109500
Mar 22 2018,0.009496,0.011259,0.009462,0.011110,256240,9971320
Mar 21 2018,0.009659,0.010481,0.009218,0.009501,144001,10141600
Mar 20 2018,0.008260,0.009968,0.008260,0.009951,202291,8673350
Mar 19 2018,0.009105,0.009409,0.008157,0.008271,271957,9560220
Mar 18 2018,0.009652,0.009707,0.007529,0.009119,197626,10134300
Mar 17 2018,0.010662,0.010779,0.009509,0.009683,152617,11195100
Mar 16 2018,0.011261,0.011455,0.010558,0.010704,248497,11824100
Mar 15 2018,0.011332,0.012144,0.010550,0.011175,167365,11898800
Mar 14 2018,0.011507,0.013994,0.010744,0.011362,290158,12082400
Mar 13 2018,0.011688,0.012844,0.011159,0.011459,222765,12272400
Mar 12 2018,0.011930,0.012401,0.011151,0.012076,208448,12526300
Mar 11 2018,0.011576,0.012173,0.011321,0.012006,168338,12154400
Mar 10 2018,0.012394,0.013066,0.011565,0.011598,163953,13013800
Mar 09 2018,0.012490,0.012677,0.011247,0.012438,202888,13114100
Mar 08 2018,0.013542,0.015136,0.012292,0.012556,245571,14218700
Mar 07 2018,0.016492,0.016807,0.013484,0.013549,194121,17316200
Mar 06 2018,0.017932,0.017986,0.016331,0.016498,158386,18829000
Mar 05 2018,0.017895,0.018787,0.017380,0.017993,170640,18789600
Mar 04 2018,0.019484,0.020766,0.017735,0.017850,250944,20458400
Mar 03 2018,0.020338,0.021154,0.019147,0.019501,356898,21354500
Mar 02 2018,0.017059,0.022652,0.017059,0.020450,342010,17912500
Mar 01 2018,0.015485,0.017025,0.014854,0.016927,183548,16259100
Feb 28 2018,0.015122,0.016085,0.014953,0.015498,170290,15878200
Feb 27 2018,0.015534,0.016138,0.014811,0.015082,159441,16311200
Feb 26 2018,0.014776,0.015652,0.014233,0.015344,174732,15514600
Feb 25 2018,0.013249,0.014868,0.013186,0.014347,159044,13911300
Feb 24 2018,0.014787,0.015314,0.013087,0.013341,146973,15526600
Feb 23 2018,0.014498,0.015557,0.014088,0.014824,256721,15223500
Feb 22 2018,0.014590,0.014929,0.012089,0.014297,259852,15319200
Feb 21 2018,0.015247,0.015549,0.013596,0.014706,252663,16009400
Feb 20 2018,0.017745,0.018859,0.014819,0.015283,312870,18632300
Feb 19 2018,0.017435,0.018062,0.017402,0.017853,141723,18307100
Feb 18 2018,0.018523,0.018700,0.017473,0.017514,176051,19448800
Feb 17 2018,0.017643,0.018599,0.017138,0.018567,207784,18525700
Feb 16 2018,0.018652,0.019068,0.017076,0.017621,219849,19585100
Feb 15 2018,0.017114,0.020965,0.016903,0.018804,325219,17970000
Feb 14 2018,0.017026,0.017782,0.016660,0.017144,201753,17877400
Feb 13 2018,0.018152,0.018339,0.016687,0.017055,181094,19059600
Feb 12 2018,0.019545,0.019883,0.017371,0.018176,276577,20522600
Feb 11 2018,0.019918,0.021178,0.017692,0.019530,266692,20913700
Feb 10 2018,0.019584,0.023758,0.018953,0.019785,286991,20563400
Feb 09 2018,0.016705,0.021664,0.015594,0.019531,459343,17540600
Feb 08 2018,0.014807,0.016719,0.014448,0.016104,219294,15546800
Feb 07 2018,0.015211,0.016863,0.013953,0.014715,289197,15971400
Feb 06 2018,0.012928,0.015916,0.010184,0.015000,466491,13574300
Feb 05 2018,0.019150,0.019473,0.012472,0.012887,464360,20107600
Feb 04 2018,0.023367,0.024357,0.018620,0.019117,851587,24535900
Feb 03 2018,0.023193,0.025511,0.020496,0.023734,669411,24352300
Feb 02 2018,0.023078,0.025998,0.018527,0.022589,528906,24231900
Feb 01 2018,0.027373,0.029323,0.020857,0.022913,517680,28741500
Jan 31 2018,0.030320,0.030943,0.023239,0.027050,655918,31835700
Jan 30 2018,0.022030,0.038097,0.021754,0.030325,1340400,23131100
Jan 29 2018,0.028803,0.028803,0.019852,0.021979,635777,30242900
Jan 28 2018,0.028264,0.030327,0.027350,0.028904,519893,29677600
Jan 27 2018,0.028096,0.031192,0.027131,0.028597,510571,29500700
Jan 26 2018,0.029061,0.030793,0.025205,0.028180,713301,30514000
Jan 25 2018,0.032635,0.034045,0.025411,0.029035,449765,34266700
Jan 24 2018,0.032700,0.033977,0.030021,0.031766,89638,34335000
Jan 23 2018,0.030086,0.034880,0.026620,0.032707,136736,31590600
