Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.128675,0.135665,0.128367,0.130700,209,26851
Mar 30 2018,0.136646,0.163252,0.123749,0.128656,302,28514
Mar 29 2018,0.111574,0.171055,0.110537,0.136987,315,23283
Mar 28 2018,0.197629,0.205533,0.095853,0.111444,672,41240
Mar 27 2018,0.207413,0.211965,0.196991,0.197674,328,43282
Mar 26 2018,0.214373,0.227622,0.199288,0.207727,271,44734
Mar 25 2018,0.221250,0.242614,0.212588,0.214537,622,46169
Mar 24 2018,0.248552,0.263070,0.223890,0.224338,742,51866
Mar 23 2018,0.243811,0.245694,0.216365,0.244985,263,50877
Mar 22 2018,0.249964,0.262368,0.238870,0.243817,264,52161
Mar 21 2018,0.249410,0.284515,0.246007,0.250421,324,52045
Mar 20 2018,0.233690,0.299068,0.226185,0.248959,653,48765
Mar 19 2018,0.311231,0.400418,0.224830,0.243136,1239,64946
Mar 18 2018,0.236597,0.303275,0.222025,0.271505,1295,49372
Mar 17 2018,0.274113,0.530522,0.237174,0.237174,2059,57200
Mar 16 2018,0.293664,0.323717,0.273662,0.273662,269,61280
Mar 15 2018,0.270834,0.327691,0.254061,0.293830,398,56516
Mar 14 2018,0.322880,0.371188,0.249727,0.271284,477,67377
Mar 13 2018,0.436169,0.478213,0.299033,0.322835,508,91017
Mar 12 2018,0.439040,0.530626,0.418613,0.438688,707,91616
Mar 11 2018,0.371983,0.542505,0.365150,0.440427,1590,77623
Mar 10 2018,0.324366,0.567782,0.323878,0.373271,715,67687
Mar 09 2018,0.315883,0.600754,0.218250,0.308029,3552,65917
Mar 08 2018,0.274068,0.446798,0.209266,0.317896,693,57191
Mar 07 2018,0.203767,0.701118,0.175192,0.274457,2521,42521
Mar 06 2018,0.328475,0.329600,0.161331,0.204032,516,68544
Mar 05 2018,0.344928,0.408531,0.291863,0.328809,563,71978
Mar 04 2018,0.445009,0.501093,0.285377,0.294094,910,92862
Mar 03 2018,0.528489,0.538110,0.433591,0.445778,1253,110282
Mar 02 2018,0.523375,0.533084,0.507828,0.529137,1056,109215
Mar 01 2018,0.501381,0.544014,0.497476,0.524723,1199,104625
Feb 28 2018,0.499202,0.550152,0.496266,0.500644,1334,104170
Feb 27 2018,0.639941,0.845538,0.483142,0.499790,2950,133539
Feb 26 2018,0.439638,0.838456,0.428825,0.678814,1459,91741
Feb 25 2018,0.618315,0.624780,0.422588,0.439076,1358,129026
Feb 24 2018,0.660649,0.849186,0.526862,0.619254,1551,137860
Feb 23 2018,0.652027,0.775554,0.560292,0.660876,1178,136061
Feb 22 2018,0.743118,0.851640,0.651519,0.652637,1817,155069
Feb 21 2018,0.811065,0.892400,0.731878,0.743873,2010,169248
Feb 20 2018,1.08,1.59,0.803395,0.812076,3491,225123
Feb 19 2018,1.09,1.62,0.776825,1.08,2742,227602
Feb 18 2018,1.51,1.53,1.09,1.10,2058,315617
Feb 17 2018,1.38,1.83,1.37,1.51,4341,288607
Feb 16 2018,1.54,1.96,1.31,1.38,8480,320517
Feb 15 2018,1.55,2.10,1.46,1.54,6268,323170
Feb 14 2018,1.15,2.26,0.905120,1.55,12653,239784
Feb 13 2018,1.17,1.32,1.03,1.15,2931,244674
Feb 12 2018,1.22,1.29,0.904401,1.17,6748,253568
Feb 11 2018,0.952268,1.44,0.920863,1.21,6472,198714
Feb 10 2018,2.09,2.45,0.873170,0.953084,5229,435245
Feb 09 2018,0.541032,2.32,0.514402,2.08,4660,112899
Feb 08 2018,0.587423,0.714079,0.528234,0.539373,1527,122580
Feb 06 2018,0.846720,0.889555,0.724393,0.864200,3376,176688
Feb 05 2018,1.03,1.11,0.813175,0.845650,3303,214236
Feb 04 2018,1.18,1.62,1.01,1.04,3895,245394
Feb 03 2018,1.07,1.44,0.994742,1.18,2202,224316
Feb 02 2018,2.00,2.00,0.974355,1.07,5455,416933
Feb 01 2018,2.29,2.38,1.90,2.00,3497,477518
