Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.002530,0.003177,0.002351,0.002426,667,196758
Mar 30 2018,0.003046,0.003096,0.002447,0.002529,193,236913
Mar 29 2018,0.004527,0.004534,0.002965,0.003054,138,352062
Mar 28 2018,0.002414,0.006315,0.002323,0.004521,2038,187748
Mar 27 2018,0.002859,0.002921,0.002411,0.002414,289,222380
Mar 26 2018,0.003714,0.003907,0.002572,0.002864,1160,288832
Mar 25 2018,0.005612,0.005671,0.003393,0.003716,619,436491
Mar 24 2018,0.005793,0.005906,0.005125,0.005690,73,450544
Mar 23 2018,0.005308,0.005718,0.005100,0.005710,228,412830
Mar 22 2018,0.004715,0.006313,0.004708,0.005308,2073,366693
Mar 21 2018,0.002849,0.004724,0.002845,0.004723,135,221619
Mar 20 2018,0.003018,0.003134,0.002838,0.002844,71,234744
Mar 19 2018,0.002867,0.003298,0.002849,0.002985,52,222958
Mar 18 2018,0.002760,0.003420,0.002560,0.002879,78,214690
Mar 17 2018,0.003736,0.003736,0.002712,0.002767,335,290550
Mar 16 2018,0.006030,0.006067,0.003673,0.003729,37,469018
Mar 15 2018,0.003939,0.006093,0.003743,0.006034,278,306398
Mar 14 2018,0.003751,0.007308,0.003751,0.003941,333,291762
Mar 13 2018,0.003726,0.003863,0.003372,0.003751,91,289830
Mar 12 2018,0.003913,0.004056,0.003613,0.003748,8,304358
Mar 11 2018,0.003686,0.004085,0.003525,0.003926,144,286659
Mar 10 2018,0.003889,0.005480,0.003665,0.003698,274,302482
Mar 09 2018,0.004275,0.008055,0.003271,0.003887,3482,332498
Mar 08 2018,0.004550,0.004643,0.003534,0.004302,18,353863
Mar 07 2018,0.004073,0.005114,0.004073,0.004556,229,316804
Mar 06 2018,0.005638,0.005638,0.004031,0.004078,240,438479
Mar 05 2018,0.005979,0.008043,0.004629,0.005653,1693,465014
Mar 04 2018,0.007093,0.009227,0.005783,0.005983,67,551653
Mar 03 2018,0.008816,0.010313,0.006997,0.007105,602,685650
Mar 02 2018,0.006651,0.008892,0.006651,0.008826,321,517317
