Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.003008,0.003449,0.003000,0.003396,30,151025
Mar 30 2018,0.003117,0.003168,0.002906,0.003008,101,156472
Mar 29 2018,0.003494,0.003500,0.003034,0.003125,10,175413
Mar 28 2018,0.003426,0.003563,0.003407,0.003490,36,172001
Mar 27 2018,0.003349,0.003575,0.003277,0.003427,17,168142
Mar 26 2018,0.004136,0.004158,0.003228,0.003354,21,207612
Mar 25 2018,0.003486,0.004339,0.003469,0.004139,414,175017
Mar 24 2018,0.003743,0.004194,0.003527,0.003535,35,187905
Mar 23 2018,0.003481,0.004084,0.003359,0.003689,57,174729
Mar 22 2018,0.004359,0.004445,0.003475,0.003481,704,218820
Mar 21 2018,0.003651,0.004396,0.003645,0.004367,8,183276
Mar 20 2018,0.004225,0.004505,0.003637,0.003644,54,212122
Mar 19 2018,0.004095,0.004253,0.004031,0.004179,37,205584
Mar 18 2018,0.003864,0.004155,0.003626,0.004112,83,194001
Mar 17 2018,0.004483,0.004735,0.003641,0.003874,102,225043
Mar 16 2018,0.004543,0.004931,0.004373,0.004475,77,228084
Mar 15 2018,0.004432,0.004591,0.003996,0.004546,201,222486
Mar 14 2018,0.004575,0.005224,0.003388,0.004434,4214,229657
Mar 13 2018,0.004908,0.005747,0.004502,0.004574,258,246387
Mar 12 2018,0.005822,0.006034,0.004759,0.004936,83,292278
Mar 11 2018,0.001776,0.005929,0.001711,0.005840,155,89136
Mar 10 2018,0.002065,0.002619,0.001701,0.001782,53930,103677
Mar 09 2018,0.003052,0.004315,0.001567,0.002065,56252,153227
Mar 08 2018,0.006362,0.006619,0.001333,0.003072,24173,319373
Mar 07 2018,0.005930,0.008776,0.004952,0.006371,1671,297674
Mar 06 2018,0.008535,0.011162,0.005878,0.005937,1058,428495
Mar 05 2018,0.008622,0.011963,0.008554,0.008559,1166,432834
Mar 04 2018,0.009614,0.014750,0.003575,0.008628,1611,482623
Mar 03 2018,0.012080,0.012477,0.005699,0.009630,3749,606443
Mar 02 2018,0.014741,0.016869,0.011846,0.012095,1150,740004
Mar 01 2018,0.014049,0.014841,0.010543,0.014778,147,705283
Feb 28 2018,0.015162,0.016657,0.011321,0.014028,3163,761153
Feb 27 2018,0.015281,0.016188,0.014811,0.015180,78,767136
Feb 26 2018,0.013259,0.015435,0.009120,0.015237,4016,665640
Feb 25 2018,0.015758,0.015994,0.011985,0.013242,430,791066
Feb 24 2018,0.015369,0.015812,0.011097,0.015782,1052,771546
Feb 23 2018,0.014463,0.017919,0.014198,0.015388,6,726092
Feb 22 2018,0.019947,0.020432,0.014452,0.014477,468,1001400
Feb 21 2018,0.017681,0.022243,0.016313,0.019968,240,887617
Feb 20 2018,0.021606,0.026815,0.016594,0.017703,3071,1084650
Feb 19 2018,0.015793,0.023412,0.015445,0.021586,585,792853
Feb 18 2018,0.021601,0.022318,0.015824,0.015866,624,1084380
Feb 17 2018,0.021933,0.027159,0.020513,0.021535,5254,1101070
Feb 16 2018,0.029104,0.029904,0.021911,0.021938,9305,1461050
Feb 15 2018,0.018840,0.029405,0.016793,0.029228,12260,945820
Feb 14 2018,0.017300,0.020803,0.016111,0.018830,3475,868500
Feb 13 2018,0.015877,0.018077,0.011535,0.017352,3598,797074
Feb 12 2018,0.013505,0.016031,0.013456,0.015849,311,677966
Feb 11 2018,0.012792,0.014403,0.012504,0.013419,2304,642197
Feb 10 2018,0.011674,0.014188,0.011400,0.012803,61,586064
Feb 09 2018,0.012248,0.013948,0.010921,0.011666,685,614869
Feb 08 2018,0.009090,0.012543,0.005925,0.012210,1395,456341
Feb 07 2018,0.008017,0.014554,0.007505,0.009127,92,402447
Feb 06 2018,0.009319,0.011287,0.007130,0.008098,595,467854
Feb 05 2018,0.014617,0.014926,0.008950,0.009308,344,733790
Feb 04 2018,0.012904,0.015338,0.012502,0.014760,3695,647785
Feb 03 2018,0.010885,0.013621,0.010074,0.012897,194,546441
Feb 02 2018,0.010297,0.013313,0.008746,0.010848,917,516933
Feb 01 2018,0.013140,0.014787,0.009719,0.010318,970,659665
Jan 31 2018,0.015701,0.015904,0.011562,0.013110,2745,788229
Jan 30 2018,0.020559,0.020861,0.013181,0.015677,4718,1032070
Jan 29 2018,0.026100,0.026100,0.020326,0.020552,3757,1310250
Jan 28 2018,0.020328,0.026881,0.020328,0.026125,1980,1020520
Jan 27 2018,0.024393,0.028864,0.020175,0.020225,3329,1224570
Jan 26 2018,0.028404,0.039165,0.023671,0.024409,5728,1425920
Jan 25 2018,0.020477,0.042211,0.020306,0.028479,2038,1028000
Jan 24 2018,0.019457,0.020693,0.017979,0.020146,1995,976804
Jan 23 2018,0.029345,0.029854,0.019469,0.019469,1724,1473170
Jan 22 2018,0.025704,0.038013,0.025057,0.029423,86,1290410
Jan 21 2018,0.028141,0.028141,0.024895,0.025358,6588,1412740
Jan 20 2018,0.036731,0.040831,0.016787,0.028076,7180,1843980
Jan 19 2018,0.038477,0.041228,0.027165,0.036336,7775,1931620
Jan 18 2018,0.032297,0.048776,0.031561,0.038550,9906,1621360
Jan 17 2018,0.043991,0.050319,0.029848,0.032204,8095,2208450
Jan 16 2018,0.047539,0.054002,0.035304,0.044216,22597,2386560
Jan 15 2018,0.037262,0.050673,0.029751,0.047480,8065,1870400
Jan 14 2018,0.042826,0.051807,0.034517,0.037534,16825,2149220
Jan 13 2018,0.049613,0.055655,0.042288,0.042798,29940,2489700
Jan 12 2018,0.052628,0.053803,0.033793,0.049670,12088,2640640
Jan 11 2018,0.052628,0.053620,0.038941,0.052283,23021,2640270
Jan 10 2018,0.040370,0.052687,0.039675,0.052687,46126,2025060
Jan 09 2018,0.033533,0.044554,0.029356,0.032210,53837,1681860
Jan 08 2018,0.028586,0.031907,0.021121,0.031849,23119,957593
Jan 07 2018,0.031804,0.031806,0.022992,0.028626,7013,1065170
Jan 06 2018,0.018470,0.032171,0.018470,0.031828,20810,618465
Jan 05 2018,0.023765,0.026578,0.016240,0.018455,16026,795592
Jan 04 2018,0.018687,0.025163,0.018607,0.023760,29057,625459
Jan 03 2018,0.013807,0.018262,0.013598,0.018262,22121,458921
Jan 02 2018,0.012664,0.016407,0.011066,0.013856,11649,420849
Jan 01 2018,0.011809,0.012813,0.009636,0.012665,4401,392361
Dec 31 2017,0.007959,0.012067,0.007879,0.011763,4935,264374
Dec 30 2017,0.010106,0.010420,0.008028,0.008046,2204,335630
Dec 29 2017,0.008020,0.010248,0.007033,0.010016,1983,-
Dec 28 2017,0.009733,0.011284,0.006909,0.007737,2019,-
Dec 27 2017,0.005413,0.016148,0.005376,0.009754,7914,-
Dec 26 2017,0.003685,0.005500,0.003571,0.005412,224,-
Dec 25 2017,0.004904,0.007345,0.003474,0.003547,1282,-
