Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.007966,0.008494,0.007374,0.007570,5544,684741
Mar 30 2018,0.008407,0.008440,0.007328,0.007965,8519,722588
Mar 29 2018,0.009006,0.011523,0.008237,0.008427,27730,774103
Mar 28 2018,0.009539,0.010081,0.008792,0.008995,5622,819938
Mar 27 2018,0.009711,0.010015,0.009158,0.009541,5804,834678
Mar 26 2018,0.010417,0.010704,0.009324,0.009723,6751,895402
Mar 25 2018,0.010365,0.010855,0.010301,0.010425,3266,890891
Mar 24 2018,0.010869,0.011324,0.010499,0.010504,2614,934224
Mar 23 2018,0.010626,0.011032,0.009953,0.010713,6803,913394
Mar 22 2018,0.011570,0.011570,0.010562,0.010626,9655,994471
Mar 21 2018,0.011240,0.012029,0.009296,0.011735,20498,966120
Mar 20 2018,0.010653,0.011705,0.010398,0.011220,6879,915660
Mar 19 2018,0.010280,0.011396,0.009645,0.010539,12351,883645
Mar 18 2018,0.010369,0.010733,0.008855,0.010323,17784,891266
Mar 17 2018,0.012418,0.012430,0.009843,0.010390,20931,1067410
Mar 16 2018,0.012574,0.012834,0.011400,0.012401,13029,1080790
Mar 15 2018,0.013391,0.013464,0.011452,0.012580,18136,1151000
Mar 14 2018,0.015664,0.017096,0.012191,0.013345,30887,1346380
Mar 13 2018,0.015776,0.016657,0.014446,0.015984,14082,1356020
Mar 12 2018,0.016416,0.017766,0.015391,0.015860,21047,1411020
Mar 11 2018,0.013787,0.017023,0.013180,0.016464,23400,1185060
Mar 10 2018,0.013129,0.015041,0.012713,0.013829,30319,1128480
Mar 09 2018,0.013054,0.014075,0.011254,0.013123,14019,1122030
Mar 08 2018,0.012809,0.015101,0.011999,0.014576,19054,1100990
Mar 07 2018,0.016636,0.017348,0.011762,0.012825,34080,1429940
Mar 06 2018,0.018981,0.019252,0.014128,0.016657,40344,1631490
Mar 05 2018,0.020706,0.022427,0.017710,0.018921,70452,1779800
Mar 04 2018,0.023092,0.024576,0.019586,0.020719,45085,1984880
Mar 03 2018,0.027484,0.029513,0.023048,0.023128,70849,2362380
Mar 02 2018,0.019896,0.029005,0.019489,0.027509,175452,1710140
Mar 01 2018,0.014576,0.019963,0.014552,0.019945,72657,1252900
Feb 28 2018,0.015689,0.016692,0.014556,0.014556,24034,1348530
Feb 27 2018,0.014970,0.016589,0.011110,0.015940,49355,1286770
Feb 26 2018,0.013293,0.016020,0.012411,0.015381,45310,1142580
Feb 25 2018,0.015045,0.015289,0.012451,0.013276,16790,1293230
Feb 24 2018,0.016451,0.017516,0.014154,0.015064,16452,1414070
Feb 23 2018,0.016997,0.017899,0.015184,0.016472,41855,1460940
Feb 22 2018,0.017851,0.018661,0.015721,0.017012,20557,1534410
Feb 21 2018,0.018047,0.020293,0.016246,0.017868,35446,-
Feb 20 2018,0.017416,0.022918,0.015453,0.018069,37439,-
Feb 19 2018,0.017510,0.017701,0.012211,0.017400,20013,-
Feb 18 2018,0.017483,0.018674,0.015830,0.017591,9123,-
Feb 17 2018,0.018793,0.020054,0.015996,0.017430,33220,-
Feb 16 2018,0.018076,0.019438,0.015672,0.018797,54789,-
Feb 15 2018,0.015788,0.020019,0.011655,0.018153,47456,-
Feb 14 2018,0.016346,0.019799,0.011557,0.016894,161234,-
Feb 13 2018,0.016654,0.018378,0.015510,0.016395,12763,-
Feb 12 2018,0.016221,0.018769,0.015539,0.016624,10420,-
Feb 11 2018,0.017476,0.017611,0.014607,0.016118,6030,-
Feb 10 2018,0.017998,0.021368,0.016429,0.017490,11925,-
Feb 09 2018,0.018796,0.020854,0.015957,0.018078,21493,-
Feb 08 2018,0.020433,0.023833,0.016618,0.018739,30029,-
Feb 07 2018,0.014695,0.026593,0.013261,0.020512,39253,-
Feb 06 2018,0.012727,0.015229,0.010409,0.014807,8855,-
Feb 05 2018,0.016085,0.016391,0.011287,0.012708,16438,-
Feb 04 2018,0.017366,0.020249,0.012855,0.016237,21404,-
Feb 03 2018,0.017890,0.021660,0.015710,0.018048,33004,-
Feb 02 2018,0.019923,0.022358,0.014298,0.016852,29829,-
Feb 01 2018,0.030362,0.030420,0.014796,0.019966,50275,-
Jan 31 2018,0.031571,0.035496,0.025302,0.030288,37716,-
Jan 30 2018,0.046118,0.048079,0.031964,0.035243,77558,-
Jan 29 2018,0.040581,0.056292,0.040581,0.046625,91415,-
Jan 28 2018,0.048912,0.049140,0.035750,0.040612,100849,-
Jan 27 2018,0.056742,0.056825,0.047827,0.047827,87240,-
Jan 26 2018,0.062139,0.064600,0.049457,0.056584,107235,-
Jan 25 2018,0.066338,0.069237,0.056217,0.062307,108472,-
Jan 24 2018,0.063497,0.072053,0.055643,0.064205,155700,-
Jan 23 2018,0.057275,0.074262,0.054108,0.063715,223492,-
Jan 22 2018,0.064233,0.065463,0.043778,0.055470,200937,-
Jan 21 2018,0.082393,0.103295,0.037962,0.063332,560425,-
Jan 20 2018,0.045815,0.104634,0.036198,0.083359,1169180,-
Jan 19 2018,0.025224,0.045598,0.021279,0.045345,614695,-
Jan 18 2018,0.008020,0.025336,0.007790,0.025045,157315,-
Jan 17 2018,0.007308,0.008285,0.007111,0.007989,26247,-
