Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.595523,0.616961,0.567140,0.572008,23166900,55431700
Mar 30 2018,0.574536,0.614840,0.546513,0.593569,25009600,53478200
Mar 29 2018,0.638530,0.654492,0.562762,0.574403,29995100,59434900
Mar 28 2018,0.616548,0.672038,0.606481,0.637550,27697200,57388700
Mar 27 2018,0.666886,0.672265,0.611205,0.616417,18494500,62074300
Mar 26 2018,0.718393,0.730399,0.620284,0.668187,24501300,66868500
Mar 25 2018,0.706843,0.738344,0.697239,0.719649,28879300,65613200
Mar 24 2018,0.722460,0.758886,0.698274,0.715416,16442900,67062800
Mar 23 2018,0.743704,0.743704,0.652471,0.712944,38989200,69034800
Mar 22 2018,0.752811,0.802045,0.687638,0.743395,37415900,69880200
Mar 21 2018,0.722737,0.805850,0.713987,0.754732,22744900,67088500
Mar 20 2018,0.682683,0.729735,0.656992,0.720681,32933000,62995700
Mar 19 2018,0.627239,0.689512,0.617677,0.674204,29648600,57879600
Mar 18 2018,0.632766,0.644020,0.535421,0.627504,39587900,58389500
Mar 17 2018,0.725137,0.726252,0.620215,0.631377,26564400,66913300
Mar 16 2018,0.720348,0.762025,0.697737,0.723658,18948900,66471400
Mar 15 2018,0.711733,0.731360,0.666322,0.721138,22320300,65676400
Mar 14 2018,0.808200,0.845942,0.685255,0.712594,41199700,74578100
Mar 13 2018,0.833403,0.850073,0.795215,0.806411,13738300,76903700
Mar 12 2018,0.865034,0.886910,0.810409,0.836724,28902400,79822500
Mar 11 2018,0.800258,0.883008,0.770230,0.867481,36898600,73845200
Mar 10 2018,0.859367,0.908827,0.795949,0.802852,34080600,79299600
Mar 09 2018,0.810518,0.859341,0.717760,0.858159,36085100,74792000
Mar 08 2018,0.889426,0.954663,0.809138,0.813127,42954900,82073300
Mar 07 2018,1.02,1.06,0.840631,0.891943,27884100,94148700
Mar 06 2018,1.17,1.17,1.01,1.02,43622400,-
Mar 05 2018,1.17,1.21,1.16,1.18,63348500,-
Mar 04 2018,1.20,1.21,1.14,1.17,31313600,-
Mar 03 2018,1.24,1.27,1.20,1.21,28614200,-
Mar 02 2018,1.27,1.31,1.23,1.24,51234100,-
Mar 01 2018,1.17,1.32,1.16,1.28,41223400,-
Feb 28 2018,1.22,1.25,1.17,1.17,46021800,-
Feb 27 2018,1.27,1.30,1.17,1.22,65450600,-
Feb 26 2018,1.14,1.29,1.14,1.27,94865600,-
