Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.460506,0.518263,0.460506,0.495988,497719,42990700
Mar 30 2018,0.495571,0.519410,0.459763,0.459763,554261,46264200
Mar 29 2018,0.567719,0.569239,0.480961,0.493419,796372,52999600
Mar 28 2018,0.575405,0.608330,0.564580,0.564622,1086600,53717200
Mar 27 2018,0.592767,0.599026,0.558857,0.575304,1091770,55338000
Mar 26 2018,0.623472,0.630020,0.559524,0.595682,1148540,58204500
Mar 25 2018,0.712720,0.812785,0.588665,0.623618,1213190,66536200
Mar 24 2018,0.671344,0.750628,0.666603,0.707965,4679480,62673500
Mar 23 2018,0.726523,0.906103,0.547030,0.666082,3592970,67824800
Mar 22 2018,0.804717,0.940133,0.609561,0.726553,4960160,75124600
Mar 21 2018,0.566409,0.974660,0.548835,0.806212,4624250,52877300
Mar 20 2018,0.837979,1.17,0.522749,0.580086,3348160,78229800
Mar 19 2018,0.714242,1.05,0.628913,0.836501,3830610,66678300
Mar 18 2018,0.655871,0.737115,0.560842,0.716051,2942690,61229000
Mar 17 2018,0.683249,0.701630,0.653741,0.656154,1740370,63784900
Mar 16 2018,0.657265,0.744233,0.634530,0.678204,1518590,61359200
Mar 15 2018,0.681132,0.688359,0.622876,0.657522,1773580,63587300
Mar 14 2018,0.756776,0.792949,0.666187,0.681204,1502410,70649100
Mar 13 2018,0.748713,0.786313,0.722995,0.752994,1584020,69896300
Mar 12 2018,0.793468,0.818074,0.734451,0.748963,1537790,74065800
Mar 11 2018,0.808792,0.829846,0.710133,0.797735,1586890,75475400
Mar 10 2018,0.797153,0.873653,0.627740,0.813882,1723720,74368700
Mar 09 2018,0.745106,0.802434,0.673275,0.798899,1266010,69494000
Mar 08 2018,0.816818,0.827594,0.701261,0.751684,1520540,76161000
Mar 07 2018,0.933776,0.945511,0.780956,0.825850,1738950,87042300
Mar 06 2018,1.02,1.03,0.913429,0.937236,1862400,95475900
Mar 05 2018,0.987709,1.03,0.972876,1.03,2079820,92018400
Mar 04 2018,0.964899,0.991604,0.936345,0.991604,1855380,89868600
Mar 03 2018,0.966714,0.994509,0.956205,0.966490,1847800,90012400
Mar 02 2018,0.982259,1.01,0.960585,0.970445,1780750,91434600
Mar 01 2018,0.938759,0.993484,0.906847,0.984975,1857910,87360800
Feb 28 2018,0.991344,1.01,0.930313,0.937901,1768120,92228800
Feb 27 2018,0.972412,1.00,0.933097,0.991938,2199460,90442500
Feb 26 2018,0.913955,0.985288,0.875058,0.974102,2589450,84981600
Feb 25 2018,0.894346,0.981761,0.859780,0.916961,2640450,83135300
Feb 24 2018,0.889398,0.972779,0.870354,0.895698,2581540,82652200
Feb 23 2018,0.853319,0.930828,0.827446,0.891823,2669720,79277100
Feb 22 2018,0.883952,0.931654,0.827369,0.858419,1404000,82100300
Feb 21 2018,0.918799,0.965670,0.868584,0.888565,1412140,85312900
Feb 20 2018,1.02,1.04,0.910268,0.919838,1444170,94642000
Feb 19 2018,0.965304,1.04,0.965304,1.02,1649300,89581000
Feb 18 2018,1.07,1.07,0.949121,0.970064,804252,98808900
Feb 17 2018,0.986364,1.07,0.973899,1.06,1705570,91484300
Feb 16 2018,0.993847,1.01,0.917461,0.988898,1601830,92152800
Feb 15 2018,0.900529,0.999777,0.890654,0.992280,1554420,83476500
