Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.077065,0.085383,0.068871,0.075488,80911,7853500
Mar 30 2018,0.077997,0.085885,0.074360,0.077135,62290,7948520
Mar 29 2018,0.093840,0.094655,0.078108,0.078225,6312,9563050
Mar 28 2018,0.082773,0.094799,0.079449,0.093674,33467,8435230
Mar 27 2018,0.086891,0.088875,0.078674,0.082745,11715,8854850
Mar 26 2018,0.099527,0.101347,0.079223,0.086944,41169,10142600
Mar 25 2018,0.095168,0.104587,0.094692,0.099748,44006,9698360
Mar 24 2018,0.098853,0.104780,0.088543,0.096322,27144,10073900
Mar 23 2018,0.105531,0.109862,0.085063,0.097950,53177,10754400
Mar 22 2018,0.116490,0.119738,0.102497,0.105549,32040,11871200
Mar 21 2018,0.117728,0.132342,0.111825,0.116205,54648,11997400
Mar 20 2018,0.147238,0.147238,0.085091,0.117009,96289,15004600
Mar 19 2018,0.141613,0.149560,0.127793,0.146071,15339,14431500
Mar 18 2018,0.134298,0.143553,0.108679,0.142183,24109,13685900
Mar 17 2018,0.156288,0.157243,0.133892,0.134419,12785,15926900
Mar 16 2018,0.152567,0.161408,0.145384,0.156187,8397,15547700
Mar 15 2018,0.165836,0.166931,0.141304,0.152744,5425,16900000
Mar 14 2018,0.178040,0.187475,0.154718,0.165719,11629,18143600
Mar 13 2018,0.168143,0.183354,0.165130,0.177972,3776,17135000
Mar 12 2018,0.202410,0.204753,0.164153,0.168316,15545,20627100
Mar 11 2018,0.189505,0.204355,0.185038,0.202660,22324,19311900
Mar 10 2018,0.185551,0.207622,0.183008,0.190071,22105,18909000
Mar 09 2018,0.201456,0.203426,0.154850,0.185645,81102,20529800
Mar 08 2018,0.200946,0.222399,0.173578,0.201826,45744,20477900
Mar 07 2018,0.233971,0.254764,0.178877,0.200661,55587,23843400
Mar 06 2018,0.298181,0.298181,0.227946,0.233741,33331,30386900
Mar 05 2018,0.292519,0.298395,0.230131,0.298241,93438,29800100
Mar 04 2018,0.239384,0.294434,0.235527,0.292433,154787,24387100
Mar 03 2018,0.214084,0.258567,0.214084,0.239420,87324,21809600
Mar 02 2018,0.217284,0.245820,0.209106,0.214252,59120,22135600
Mar 01 2018,0.222307,0.226064,0.201094,0.217346,22683,22647400
Feb 28 2018,0.210416,0.250426,0.197843,0.222236,41658,21436000
Feb 27 2018,0.241999,0.253230,0.199327,0.250981,61138,24653500
Feb 26 2018,0.219089,0.259490,0.206820,0.241336,33967,22319600
Feb 25 2018,0.214992,0.281574,0.208123,0.218946,78319,21902100
Feb 24 2018,0.251184,0.254925,0.214446,0.215497,21932,25589100
Feb 23 2018,0.229058,0.275085,0.208767,0.251397,45043,22905800
Feb 22 2018,0.271649,0.285948,0.193173,0.229341,82960,27164900
Feb 21 2018,0.300444,0.300444,0.265013,0.281727,56454,30044400
Feb 20 2018,0.281095,0.397311,0.279736,0.280517,187044,28109500
Feb 19 2018,0.324985,0.345382,0.279959,0.281036,170925,32498500
Feb 18 2018,0.292110,0.385652,0.262279,0.326079,316354,29211000
Feb 17 2018,0.270944,0.331664,0.238997,0.291991,137199,27094400
Feb 16 2018,0.233881,0.278032,0.201718,0.270788,80178,23388100
Feb 15 2018,0.231341,0.249205,0.226949,0.234048,16852,23134100
Feb 14 2018,0.231033,0.251404,0.194111,0.231222,26276,23103300
Feb 13 2018,0.239962,0.252569,0.193098,0.231133,46496,23996200
Feb 12 2018,0.215984,0.295519,0.215984,0.243094,148388,21598400
Feb 11 2018,0.206000,0.256290,0.196134,0.215059,77701,20600000
Feb 10 2018,0.188637,0.206536,0.170194,0.206335,121301,18863700
Feb 09 2018,0.153091,0.189088,0.147904,0.188703,29053,15309100
Feb 08 2018,0.150147,0.197547,0.136816,0.152901,46182,15014700
Feb 07 2018,0.133629,0.173730,0.106941,0.150532,31298,13362900
Feb 06 2018,0.108151,0.134937,0.076455,0.133769,25627,10815100
Feb 05 2018,0.128219,0.141817,0.102094,0.107767,31929,12821900
Feb 04 2018,0.206137,0.206137,0.105841,0.129474,99315,20613700
Feb 03 2018,0.160441,0.209834,0.137688,0.206199,18731,16044100
Feb 02 2018,0.229043,0.229043,0.127463,0.159668,56536,22904300
Feb 01 2018,0.221805,0.258758,0.142005,0.175358,132789,22180500
Jan 31 2018,0.254617,0.265048,0.177086,0.221382,87594,25461700
Jan 30 2018,0.291674,0.297365,0.238585,0.253740,112278,29167400
Jan 29 2018,0.326938,0.332945,0.233386,0.291545,231850,32693800
Jan 28 2018,0.366061,0.428317,0.240224,0.327421,361577,36606100
Jan 27 2018,0.380865,0.411118,0.336084,0.363504,136104,38086500
Jan 26 2018,0.361264,0.427924,0.352916,0.380836,278374,36126400
Jan 25 2018,0.318512,0.417166,0.283100,0.362525,112805,31851200
Jan 24 2018,0.329298,0.423511,0.285934,0.316185,288224,32929800
Jan 23 2018,0.419771,0.422339,0.254940,0.304724,264012,41977100
Jan 22 2018,0.465227,0.528642,0.349501,0.413719,461402,46522700
Jan 21 2018,0.495440,0.627187,0.387120,0.463040,703099,49544000
Jan 20 2018,0.218166,0.520024,0.188490,0.494369,615857,21816600
Jan 19 2018,0.078511,0.380913,0.063329,0.216768,239848,7851080
