Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.009777,0.010292,0.009749,0.009910,6,-
Mar 30 2018,0.010201,0.010296,0.009458,0.009776,31,-
Mar 29 2018,0.011356,0.011375,0.009929,0.010226,4,-
Mar 28 2018,0.011135,0.011580,0.011073,0.011343,6,-
Mar 27 2018,0.011763,0.011801,0.011123,0.011138,25,-
Mar 26 2018,0.012153,0.012220,0.011307,0.011781,84,-
Mar 25 2018,0.012244,0.012495,0.012062,0.012163,8,-
Mar 24 2018,0.012922,0.012972,0.012386,0.012415,7,-
Mar 23 2018,0.012530,0.012737,0.012039,0.012737,8,-
Mar 22 2018,0.012810,0.013064,0.012272,0.012530,5,-
Mar 21 2018,0.012822,0.013187,0.012652,0.012833,4,-
Mar 20 2018,0.012417,0.012975,0.012019,0.012799,4,-
Mar 19 2018,0.011958,0.012498,0.011750,0.012280,120,-
Mar 18 2018,0.011435,0.012133,0.010531,0.012008,86,-
Mar 17 2018,0.012037,0.012062,0.011234,0.011463,6,-
Mar 16 2018,0.011895,0.012440,0.011450,0.012017,36,-
Mar 15 2018,0.011818,0.012105,0.011163,0.011902,46,-
Mar 14 2018,0.013267,0.013570,0.011514,0.011824,6,-
Mar 13 2018,0.013088,0.013566,0.012867,0.013265,24,-
Mar 12 2018,0.013839,0.014245,0.012690,0.013163,112,-
Mar 11 2018,0.012724,0.014103,0.012555,0.013883,2,-
Mar 10 2018,0.013334,0.013753,0.012652,0.012768,2,-
Mar 09 2018,0.013475,0.013634,0.012079,0.013328,6,-
Mar 08 2018,0.014341,0.014523,0.013050,0.013561,30,-
Mar 07 2018,0.015542,0.015776,0.013506,0.014362,78,-
Mar 06 2018,0.016568,0.016568,0.015380,0.015563,7,-
Mar 05 2018,0.016556,0.016808,0.016443,0.016613,4,-
Mar 04 2018,0.016473,0.016781,0.015981,0.016569,43,-
Mar 03 2018,0.015868,0.016550,0.015868,0.016502,5,-
Mar 02 2018,0.015701,0.016599,0.015570,0.015887,89,-
Mar 01 2018,0.014868,0.015931,0.014752,0.015742,5,-
Feb 28 2018,0.015463,0.015998,0.014833,0.014846,23,-
Feb 27 2018,0.016808,0.016953,0.014997,0.015482,147,-
Feb 26 2018,0.015626,0.016870,0.014018,0.016760,1314,-
Feb 25 2018,0.014932,0.015783,0.014350,0.015606,127,-
Feb 24 2018,0.015626,0.016168,0.014471,0.014955,3,-
Feb 23 2018,0.015752,0.016437,0.015138,0.015646,463,-
Feb 22 2018,0.015386,0.016900,0.015210,0.015766,1438,-
Feb 21 2018,0.016600,0.016631,0.015132,0.015401,5,-
Feb 20 2018,0.016422,0.017397,0.016422,0.016621,71,-
Feb 19 2018,0.015270,0.016548,0.015223,0.016407,51,-
Feb 18 2018,0.016051,0.016143,0.015013,0.015340,82,-
Feb 17 2018,0.014781,0.016051,0.014590,0.016016,60,-
Feb 16 2018,0.014833,0.015102,0.014385,0.014784,68,-
Feb 15 2018,0.014189,0.014998,0.013996,0.014897,21,-
Feb 14 2018,0.012339,0.013693,0.012339,0.013657,19,-
Feb 13 2018,0.012701,0.012717,0.012269,0.012376,52,-
Feb 12 2018,0.011754,0.012904,0.011754,0.012883,18,-
Feb 11 2018,0.012397,0.012397,0.011393,0.011680,16,-
Feb 10 2018,0.012599,0.013126,0.012025,0.012408,18,-
Feb 09 2018,0.011970,0.012644,0.011272,0.012590,18,-
Feb 08 2018,0.011866,0.012040,0.011866,0.011933,67,-
Feb 06 2018,0.010133,0.010646,0.008669,0.010342,15,-
Feb 05 2018,0.011990,0.012238,0.009731,0.010120,14,-
Feb 04 2018,0.013404,0.013603,0.011572,0.012108,19,-
Feb 03 2018,0.012851,0.013896,0.011892,0.013397,29,-
Feb 02 2018,0.013168,0.013199,0.011182,0.012807,49,-
Feb 01 2018,0.014747,0.014811,0.012531,0.013195,3,-
Jan 31 2018,0.014524,0.015209,0.014165,0.014713,14,-
Jan 30 2018,0.016240,0.016279,0.014359,0.014502,94,-
Jan 29 2018,0.016820,0.017038,0.016015,0.016234,45,-
Jan 28 2018,0.016555,0.017315,0.016505,0.016836,136,-
Jan 27 2018,0.016132,0.016814,0.015782,0.016471,98,-
Jan 26 2018,0.015959,0.016614,0.015070,0.016143,93,-
Jan 25 2018,0.016319,0.016708,0.015631,0.016002,11,-
Jan 24 2018,0.015501,0.016378,0.015076,0.016055,30,-
Jan 23 2018,0.016140,0.016378,0.015510,0.015510,42,-
Jan 22 2018,0.016832,0.017282,0.016408,0.017125,19,-
Jan 21 2018,0.018292,0.018444,0.016251,0.016605,18,-
Jan 20 2018,0.016609,0.018635,0.016601,0.018249,73,-
Jan 19 2018,0.016126,0.017246,0.015773,0.016431,340,-
Jan 18 2018,0.015929,0.017311,0.015302,0.016297,6,-
Jan 17 2018,0.016334,0.016751,0.013310,0.015868,121,-
Jan 16 2018,0.019678,0.019678,0.014521,0.016417,107,-
Jan 15 2018,0.019439,0.020739,0.019335,0.019653,8,-
Jan 14 2018,0.020393,0.020750,0.018839,0.019581,493,-
Jan 13 2018,0.019897,0.020889,0.019897,0.020379,91,-
Jan 12 2018,0.019163,0.020215,0.018599,0.019919,21,-
Jan 11 2018,0.021274,0.021351,0.018689,0.019037,7,-
Jan 10 2018,0.020592,0.021298,0.019302,0.021298,33,-
Jan 09 2018,0.021385,0.022063,0.020276,0.020565,67,-
Jan 08 2018,0.022799,0.022884,0.019940,0.021443,145,-
