Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.443802,0.507211,0.299586,0.391968,44661,7166810
Mar 30 2018,0.564141,0.588769,0.412056,0.443894,29024,9125310
Mar 29 2018,0.498144,0.602512,0.428620,0.565161,154176,8057760
Mar 28 2018,0.538775,0.540308,0.488167,0.495786,50334,8715000
Mar 27 2018,0.547509,0.585314,0.513440,0.538863,46344,8856280
Mar 26 2018,0.657605,0.670186,0.515117,0.548268,56957,10637100
Mar 25 2018,0.676287,0.677626,0.617709,0.658322,33235,10939300
Mar 24 2018,0.724438,0.725579,0.643313,0.685505,35871,11718200
Mar 23 2018,0.669639,0.714518,0.598997,0.714518,19346,10824000
Mar 22 2018,0.777554,0.793611,0.659068,0.669779,23023,12568400
Mar 21 2018,0.781510,0.924772,0.754096,0.782115,54639,12632100
Mar 20 2018,0.743679,0.846519,0.667538,0.820062,42424,12020600
Mar 19 2018,0.650003,0.784567,0.635802,0.736259,24911,10616400
Mar 18 2018,0.719106,0.728439,0.602603,0.652705,22929,11745000
Mar 17 2018,0.762378,0.798604,0.649199,0.720414,22974,12451800
Mar 16 2018,0.809977,0.926018,0.700484,0.759269,30380,13228700
Mar 15 2018,0.869608,0.897407,0.775716,0.810257,31245,14202600
Mar 14 2018,0.867257,1.01,0.790795,0.869980,36432,14164200
Mar 13 2018,0.946000,0.992580,0.861933,0.880161,32220,15450200
Mar 12 2018,0.934878,1.23,0.893813,0.950961,187026,15368400
Mar 11 2018,0.873309,1.02,0.811700,0.937720,186460,14356300
Mar 10 2018,0.886209,0.944701,0.852759,0.876429,107028,14568300
Mar 09 2018,0.904938,0.953346,0.746023,0.887147,72024,14876200
Mar 08 2018,0.707902,1.12,0.677969,0.922635,413956,11662100
Mar 07 2018,0.819020,0.949959,0.690903,0.729198,445775,13532200
Mar 06 2018,0.848463,0.897573,0.761481,0.820061,700081,14018700
Mar 05 2018,0.760702,0.896673,0.755126,0.850841,962038,12582000
Mar 04 2018,0.705400,0.855670,0.668915,0.762652,919828,11667400
Mar 03 2018,0.672914,0.783646,0.672135,0.706606,1254980,11130500
Mar 02 2018,0.556254,0.745584,0.545554,0.673793,1709880,9200870
Mar 01 2018,0.590043,0.628034,0.534103,0.555080,2553270,9759760
Feb 28 2018,0.584250,0.690003,0.533086,0.588802,1873600,9663950
Feb 27 2018,0.653892,0.684267,0.573263,0.603438,2103010,10815900
Feb 26 2018,0.582845,0.681690,0.568723,0.652008,3319030,9626700
Feb 25 2018,0.616784,0.625975,0.539606,0.582122,2018830,10187300
Feb 24 2018,0.731624,0.776586,0.576192,0.617775,1052420,12084000
Feb 23 2018,0.599260,0.764240,0.581818,0.763247,1600010,9897830
Feb 22 2018,0.637926,0.677801,0.561558,0.600529,959508,10536500
Feb 21 2018,0.711143,0.711143,0.608513,0.624797,2930420,11745800
Feb 20 2018,0.608513,0.792865,0.569865,0.712406,1001420,10050700
Feb 19 2018,0.543442,0.664767,0.537027,0.641715,2219730,8975890
Feb 18 2018,0.606793,0.623464,0.467769,0.545967,1236450,10022200
Feb 17 2018,0.526462,0.679415,0.526462,0.605407,1020340,8695420
Feb 16 2018,0.609990,0.762119,0.517224,0.527101,351080,10075000
Feb 15 2018,0.545974,0.668322,0.489640,0.618648,797279,9017700
Feb 14 2018,0.480774,0.546900,0.461616,0.545679,1020930,7940800
Feb 13 2018,0.535464,0.537537,0.476407,0.481648,176731,8868900
Feb 12 2018,0.506340,0.555145,0.493290,0.534570,273328,8386520
Feb 11 2018,0.540008,0.540008,0.373462,0.503455,427189,8944170
Feb 10 2018,0.539180,0.573679,0.500846,0.540546,70694,8930450
Feb 09 2018,0.546182,0.586955,0.458115,0.538933,163686,9046420
Feb 08 2018,0.563923,0.613641,0.512712,0.544837,237611,9340280
Feb 07 2018,0.587392,0.645855,0.526736,0.566041,132908,9728980
Feb 06 2018,0.563497,0.663991,0.464227,0.592193,149413,9333220
Feb 05 2018,0.705403,0.713794,0.496275,0.562407,153414,11683600
Feb 04 2018,0.772938,0.809597,0.656366,0.712308,269322,12802200
Feb 03 2018,0.668568,0.797895,0.606435,0.772792,346164,11073500
Feb 02 2018,0.878071,1.10,0.612921,0.666097,72940,14543500
Feb 01 2018,0.906260,1.06,0.798071,0.880379,207055,15010400
Jan 31 2018,0.787167,1.46,0.768641,0.904356,100506,12994000
Jan 30 2018,0.923868,0.935643,0.719920,0.785321,242333,15250600
Jan 29 2018,1.00,1.00,0.891748,0.923531,357266,16541600
Jan 28 2018,1.05,1.16,0.936556,1.00,224730,17285200
Jan 27 2018,1.17,1.19,0.894295,1.04,49722,19279700
Jan 26 2018,0.958462,1.24,0.897335,1.17,196771,15820300
Jan 25 2018,0.891247,1.02,0.876519,0.961208,197076,14710900
Jan 24 2018,1.10,1.76,0.728973,0.878519,207528,18082500
Jan 23 2018,1.83,1.84,0.738981,1.10,106012,30209000
Jan 22 2018,0.655196,1.85,0.630946,1.84,11462,10810700
Jan 21 2018,0.733848,0.733848,0.627848,0.647449,102296,12108500
Jan 20 2018,0.703070,0.776717,0.608803,0.732165,32406,11600600
Jan 19 2018,0.737030,0.818733,0.684121,0.695642,41726,12161000
Jan 18 2018,0.701646,0.821937,0.637131,0.744840,63045,11577100
Jan 17 2018,0.780159,0.800349,0.572672,0.697112,108606,12872600
Jan 16 2018,0.911996,0.911996,0.683720,0.818723,71971,14994100
Jan 15 2018,0.972683,1.14,0.869411,0.910915,87570,15991800
Jan 14 2018,0.998710,1.09,0.892639,0.985867,139613,16419700
Jan 13 2018,1.08,1.15,0.857842,0.997997,27938,17838200
Jan 12 2018,1.21,1.27,0.959055,1.09,84081,19865000
Jan 11 2018,1.27,1.33,0.730561,1.20,54104,20814000
Jan 10 2018,1.25,1.44,1.13,1.27,22515,20488400
Jan 09 2018,0.997465,1.32,0.995018,1.25,40078,16336700
Jan 08 2018,1.05,1.09,0.916182,1.05,21062,17273800
Jan 07 2018,0.910197,1.24,0.845719,1.05,28434,14907400
Jan 06 2018,0.768984,1.60,0.717531,0.910767,27338,12586900
Jan 05 2018,0.767505,0.780613,0.692375,0.767965,79915,12562700
Jan 04 2018,0.782621,0.962456,0.653179,0.768643,100865,12810100
Jan 03 2018,0.703221,0.814343,0.532496,0.779352,134474,11510500
Jan 02 2018,0.667116,0.714666,0.568358,0.701797,19627,10919500
Jan 01 2018,0.695234,0.757525,0.574804,0.666665,2425,11379700
Dec 31 2017,0.587857,0.769523,0.531439,0.695511,7874,9622180
Dec 30 2017,0.602066,0.668415,0.519722,0.593540,7493,9854760
Dec 29 2017,0.793102,0.810117,0.579240,0.602704,19781,12794500
Dec 28 2017,0.798811,0.812791,0.676983,0.786579,17552,12886600
Dec 27 2017,0.832895,0.862011,0.738258,0.800406,29556,13436400
Dec 26 2017,0.909171,1.03,0.717939,0.831785,36527,14639700
Dec 25 2017,0.551141,0.915192,0.545025,0.910032,11715,8874600
Dec 24 2017,0.491380,0.737585,0.408420,0.546824,15735,7912300
Dec 23 2017,0.566604,0.706183,0.496240,0.557171,45481,9013750
Dec 22 2017,0.802459,0.807435,0.530608,0.561739,9139,12731000
Dec 21 2017,0.821254,1.01,0.691919,0.799563,31893,13029200
Dec 20 2017,0.621986,0.820069,0.466330,0.820069,28071,9867790
Dec 19 2017,0.596441,0.704650,0.533817,0.596659,8342,9462510
Dec 18 2017,0.627220,0.710954,0.535252,0.597466,17226,9950830
Dec 17 2017,0.704361,0.790338,0.376760,0.627232,32223,11174700
Dec 16 2017,0.752753,0.792711,0.549380,0.703989,10541,11942400
Dec 15 2017,0.727331,0.995013,0.619658,0.751397,12750,11539100
