Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000394,0.000418,0.000377,0.000388,53753,5047750
Mar 30 2018,0.000377,0.000401,0.000358,0.000395,44142,4822000
Mar 29 2018,0.000435,0.000437,0.000374,0.000377,23821,5509120
Mar 28 2018,0.000430,0.000465,0.000420,0.000435,48342,5432190
Mar 27 2018,0.000467,0.000472,0.000415,0.000430,87024,5868160
Mar 26 2018,0.000500,0.000504,0.000433,0.000467,32969,6260740
Mar 25 2018,0.000503,0.000516,0.000479,0.000506,48833,6258280
Mar 24 2018,0.000520,0.000547,0.000491,0.000507,56937,6450040
Mar 23 2018,0.000508,0.000517,0.000463,0.000517,46807,6271580
Mar 22 2018,0.000513,0.000556,0.000485,0.000508,75576,-
Mar 21 2018,0.000551,0.000621,0.000513,0.000513,122189,-
Mar 20 2018,0.000542,0.000566,0.000501,0.000548,107061,-
Mar 19 2018,0.000442,0.000563,0.000434,0.000540,175199,-
Mar 18 2018,0.000481,0.000481,0.000368,0.000442,94381,-
Mar 17 2018,0.000538,0.000539,0.000466,0.000482,52951,-
Mar 16 2018,0.000531,0.000559,0.000508,0.000538,83218,-
Mar 15 2018,0.000520,0.000550,0.000482,0.000532,63134,-
Mar 14 2018,0.000628,0.000663,0.000503,0.000520,158519,-
Mar 13 2018,0.000662,0.000670,0.000538,0.000628,138000,-
Mar 12 2018,0.000680,0.000829,0.000590,0.000631,178824,-
Mar 11 2018,0.000659,0.000706,0.000604,0.000698,131585,-
Mar 10 2018,0.000750,0.000805,0.000596,0.000641,217991,-
Mar 09 2018,0.000476,0.000833,0.000476,0.000729,286765,-
