Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000615,0.000648,0.000548,0.000554,108,-
Mar 30 2018,0.000567,0.000623,0.000528,0.000615,28,-
Mar 29 2018,0.000635,0.000711,0.000552,0.000568,23,-
Mar 28 2018,0.000624,0.000810,0.000622,0.000635,118,-
Mar 27 2018,0.000817,0.000820,0.000776,0.000807,174,-
Mar 26 2018,0.000675,0.000823,0.000644,0.000818,180,-
Mar 25 2018,0.000680,0.000694,0.000673,0.000676,35,-
Mar 24 2018,0.000713,0.000719,0.000688,0.000690,2,-
Mar 23 2018,0.000870,0.000870,0.000665,0.000703,421,-
Mar 22 2018,0.000979,0.000998,0.000856,0.000870,118,-
Mar 21 2018,0.000979,0.001007,0.000901,0.000980,67,-
Mar 20 2018,0.000862,0.000991,0.000835,0.000978,235,-
Mar 19 2018,0.000819,0.000947,0.000814,0.000853,30,-
Mar 18 2018,0.000710,0.000831,0.000658,0.000822,9,-
Mar 17 2018,0.000996,0.000996,0.000697,0.000712,59,-
Mar 16 2018,0.000991,0.001069,0.000593,0.000995,1092,-
Mar 15 2018,0.001067,0.001074,0.000792,0.000992,85,-
Mar 14 2018,0.001006,0.001137,0.000951,0.001067,705,-
Mar 13 2018,0.001000,0.001043,0.000976,0.001006,11,-
Mar 12 2018,0.001050,0.001088,0.000969,0.001006,11,-
Mar 11 2018,0.000965,0.001167,0.000932,0.001053,8,-
Mar 10 2018,0.001019,0.001043,0.000960,0.000969,36,-
Mar 09 2018,0.001022,0.001183,0.000923,0.001018,72,-
Mar 08 2018,0.001088,0.001312,0.000997,0.001029,282,-
Mar 07 2018,0.001286,0.001384,0.001064,0.001090,657,-
Mar 06 2018,0.001381,0.001473,0.001273,0.001288,121,-
Mar 05 2018,0.001725,0.001734,0.001371,0.001384,617,-
Mar 04 2018,0.001373,0.001726,0.001334,0.001726,752,-
Mar 03 2018,0.001322,0.001379,0.001322,0.001375,101,-
Mar 02 2018,0.001308,0.001561,0.001297,0.001324,86,-
Mar 01 2018,0.001239,0.001328,0.001164,0.001312,353,-
Feb 28 2018,0.001493,0.001507,0.001236,0.001237,1056,-
Feb 27 2018,0.001341,0.001504,0.001322,0.001495,92,-
Feb 26 2018,0.001630,0.001647,0.001317,0.001337,470,-
Feb 25 2018,0.001454,0.001715,0.001305,0.001628,1653,-
Feb 24 2018,0.001725,0.001992,0.001417,0.001457,2499,-
Feb 23 2018,0.002363,0.002742,0.001727,0.001727,17190,-
Feb 22 2018,0.001989,0.003890,0.001446,0.002365,212874,-
Feb 21 2018,0.001570,0.001994,0.001235,0.001991,4427,-
Feb 20 2018,0.001899,0.001952,0.001500,0.001572,440,-
Feb 19 2018,0.001558,0.001910,0.001466,0.001897,255,-
Feb 18 2018,0.001442,0.002172,0.001226,0.001565,3014,-
Feb 17 2018,0.001529,0.002066,0.001372,0.001438,936,-
Feb 16 2018,0.001110,0.002491,0.000993,0.001529,6754,-
Feb 15 2018,0.001232,0.001294,0.001078,0.001115,16,-
Feb 14 2018,0.000936,0.001234,0.000936,0.001231,115,-
Feb 13 2018,0.000979,0.000983,0.000923,0.000939,3,-
Feb 12 2018,0.001135,0.001345,0.000923,0.000977,27,-
Feb 11 2018,0.001282,0.001282,0.000864,0.001128,6,-
Feb 10 2018,0.000869,0.001358,0.000865,0.001284,12,-
Feb 09 2018,0.001238,0.001308,0.000868,0.000868,470,-
Feb 08 2018,0.000833,0.001290,0.000833,0.001234,145,-
Feb 07 2018,0.001233,0.001323,0.000835,0.000837,283,-
Feb 06 2018,0.001180,0.001265,0.000749,0.001246,94,-
Feb 05 2018,0.001232,0.001472,0.000862,0.001178,442,-
Feb 04 2018,0.001664,0.001689,0.001189,0.001244,18,-
Feb 03 2018,0.001241,0.001708,0.001176,0.001663,30,-
Feb 02 2018,0.001544,0.001544,0.001157,0.001237,228,-
