Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000068,0.000072,0.000068,0.000069,25,-
Mar 30 2018,0.000071,0.000072,0.000066,0.000068,290,-
Mar 29 2018,0.000079,0.000080,0.000069,0.000071,83,-
Mar 28 2018,0.000078,0.000081,0.000077,0.000079,209,-
Mar 27 2018,0.000082,0.000082,0.000078,0.000078,1409,-
Mar 26 2018,0.000084,0.000085,0.000079,0.000082,87,-
Mar 25 2018,0.000085,0.000087,0.000084,0.000084,459,-
Mar 24 2018,0.000089,0.000090,0.000086,0.000086,81,-
Mar 23 2018,0.000087,0.000088,0.000083,0.000088,160,-
Mar 22 2018,0.000089,0.000091,0.000085,0.000087,183,-
Mar 21 2018,0.000089,0.000092,0.000088,0.000089,394,-
Mar 20 2018,0.000086,0.000090,0.000083,0.000089,678,-
Mar 19 2018,0.000082,0.000087,0.000081,0.000085,160,-
Mar 18 2018,0.000079,0.000083,0.000073,0.000082,103,-
Mar 17 2018,0.000083,0.000083,0.000077,0.000079,288,-
Mar 16 2018,0.000083,0.000086,0.000080,0.000083,102,-
Mar 15 2018,0.000082,0.000084,0.000077,0.000083,183,-
Mar 14 2018,0.000091,0.000094,0.000080,0.000082,116,-
Mar 13 2018,0.000091,0.000095,0.000089,0.000091,182,-
Mar 12 2018,0.000095,0.000099,0.000088,0.000091,142,-
Mar 11 2018,0.000088,0.000097,0.000085,0.000096,973,-
Mar 10 2018,0.000093,0.000095,0.000087,0.000088,81,-
Mar 09 2018,0.000093,0.000094,0.000084,0.000093,106,-
Mar 08 2018,0.000099,0.000101,0.000091,0.000094,787,-
Mar 07 2018,0.000107,0.000109,0.000094,0.000099,119,-
Mar 06 2018,0.000115,0.000115,0.000106,0.000107,342,-
Mar 05 2018,0.000115,0.000117,0.000114,0.000115,458,-
Mar 04 2018,0.000114,0.000115,0.000111,0.000115,116,-
Mar 03 2018,0.000110,0.000115,0.000110,0.000115,529,-
Mar 02 2018,0.000109,0.000112,0.000108,0.000110,1814,-
Mar 01 2018,0.000103,0.000111,0.000102,0.000109,426,-
Feb 28 2018,0.000107,0.000110,0.000103,0.000103,1050,-
Feb 27 2018,0.000103,0.000108,0.000102,0.000107,4173,-
Feb 26 2018,0.000096,0.000104,0.000094,0.000103,208,-
Feb 25 2018,0.000097,0.000099,0.000093,0.000096,209,-
Feb 24 2018,0.000101,0.000105,0.000094,0.000097,1502,-
Feb 23 2018,0.000098,0.000104,0.000096,0.000102,1410,-
Feb 22 2018,0.000105,0.000109,0.000097,0.000099,240,-
Feb 21 2018,0.000112,0.000112,0.000103,0.000105,2242,-
Feb 20 2018,0.000112,0.000118,0.000111,0.000112,968,-
Feb 19 2018,0.000104,0.000113,0.000104,0.000112,509,-
Feb 18 2018,0.000111,0.000113,0.000102,0.000104,285,-
Feb 17 2018,0.000102,0.000111,0.000101,0.000111,579,-
Feb 16 2018,0.000102,0.000102,0.000102,0.000102,1002,-
Jan 07 2018,0.000031,0.000031,0.000031,0.000031,3103,-
Jan 06 2018,0.000026,0.000034,0.000026,0.000031,3426,-
Jan 05 2018,0.000019,0.000027,0.000017,0.000027,119898,-
Jan 04 2018,0.000017,0.000020,0.000015,0.000019,102356,-
Jan 03 2018,0.000013,0.000018,0.000011,0.000017,66882,-
Jan 02 2018,0.000010,0.000015,0.000010,0.000013,38739,-
Jan 01 2018,0.000009,0.000012,0.000008,0.000011,8196,-
Dec 31 2017,0.000007,0.000011,0.000006,0.000009,9681,-
Dec 30 2017,0.000009,0.000010,0.000006,0.000007,5893,-
Dec 29 2017,0.000010,0.000012,0.000008,0.000008,9165,-
Dec 28 2017,0.000008,0.000012,0.000007,0.000008,18230,-
Dec 27 2017,0.000008,0.000011,0.000005,0.000008,36408,-
Dec 26 2017,0.000008,0.000008,0.000005,0.000008,6374,-
Dec 25 2017,0.000008,0.000008,0.000005,0.000008,11954,-
Dec 24 2017,0.000009,0.000009,0.000005,0.000008,2531,-
Dec 23 2017,0.000008,0.000012,0.000006,0.000008,12466,-
Dec 22 2017,0.000009,0.000009,0.000005,0.000008,1146,-
Dec 21 2017,0.000009,0.000012,0.000007,0.000009,4974,-
Dec 20 2017,0.000010,0.000010,0.000006,0.000009,2471,-
Dec 19 2017,0.000011,0.000011,0.000007,0.000010,3638,-
Dec 18 2017,0.000008,0.000010,0.000007,0.000008,1712,-
Dec 17 2017,0.000009,0.000010,0.000006,0.000008,1359,-
Dec 16 2017,0.000007,0.000010,0.000006,0.000009,2423,-
Dec 15 2017,0.000006,0.000009,0.000005,0.000008,701,-
Dec 14 2017,0.000006,0.000009,0.000005,0.000006,360,-
Dec 13 2017,0.000007,0.000010,0.000006,0.000006,3388,-
Dec 12 2017,0.000006,0.000010,0.000005,0.000007,3880,-
Dec 11 2017,0.000004,0.000008,0.000004,0.000006,2189,-
Dec 10 2017,0.000003,0.000005,0.000003,0.000004,1314,-
Dec 09 2017,0.000004,0.000004,0.000002,0.000003,689,-
Dec 08 2017,0.000003,0.000004,0.000002,0.000004,578,-
Dec 07 2017,0.000003,0.000004,0.000003,0.000003,804,-
Dec 06 2017,0.000002,0.000004,8.9e-07,0.000003,3434,-
Dec 05 2017,0.000002,0.000003,0.000002,0.000002,125,-
Dec 04 2017,0.000002,0.000002,0.000002,0.000002,82,-
Dec 03 2017,0.000003,0.000003,0.000002,0.000002,142,-
Dec 02 2017,0.000002,0.000003,0.000002,0.000003,154,-
Dec 01 2017,0.000002,0.000003,0.000002,0.000002,1000,-
Nov 30 2017,0.000002,0.000003,0.000002,0.000002,217,-
Nov 29 2017,0.000002,0.000003,0.000002,0.000002,248,-
Nov 28 2017,0.000002,0.000003,0.000002,0.000003,89,-
Nov 27 2017,0.000002,0.000003,0.000002,0.000002,219,-
Nov 26 2017,0.000002,0.000002,0.000002,0.000002,122,-
Nov 25 2017,0.000002,0.000003,0.000002,0.000002,1385,-
Nov 24 2017,0.000002,0.000002,0.000001,0.000002,57,-
Nov 23 2017,0.000003,0.000004,0.000002,0.000002,534,-
Nov 22 2017,0.000003,0.000003,0.000002,0.000003,366,-
Nov 21 2017,0.000002,0.000003,0.000002,0.000003,237,-
Nov 20 2017,0.000003,0.000003,0.000002,0.000002,92,-
Nov 19 2017,0.000003,0.000003,0.000002,0.000003,323,-
Nov 18 2017,0.000003,0.000003,0.000002,0.000003,68,-
Nov 17 2017,0.000003,0.000003,0.000002,0.000003,2244,-
Nov 16 2017,0.000002,0.000003,0.000002,0.000003,1169,-
Nov 15 2017,0.000002,0.000002,0.000002,0.000002,161,-
Nov 14 2017,0.000002,0.000002,0.000002,0.000002,292,-
Nov 13 2017,0.000002,0.000002,0.000002,0.000002,41,-
Nov 12 2017,0.000003,0.000003,0.000002,0.000002,71,-
Nov 11 2017,0.000002,0.000003,0.000002,0.000002,883,-
Nov 10 2017,0.000003,0.000003,0.000002,0.000002,49,-
Nov 09 2017,0.000002,0.000003,0.000002,0.000003,137,-
Nov 08 2017,0.000002,0.000003,0.000002,0.000002,55,-
Nov 07 2017,0.000002,0.000003,0.000002,0.000002,372,-
Nov 06 2017,0.000002,0.000003,0.000002,0.000002,99,-
Nov 05 2017,0.000003,0.000003,0.000002,0.000002,59,-
Nov 04 2017,0.000002,0.000003,0.000002,0.000003,106,-
Nov 03 2017,0.000003,0.000003,0.000002,0.000002,931,-
Nov 02 2017,0.000003,0.000003,0.000002,0.000003,92,-
Nov 01 2017,0.000003,0.000003,0.000002,0.000003,314,-
Oct 31 2017,0.000003,0.000003,0.000002,0.000003,124,-
Oct 30 2017,0.000003,0.000003,0.000002,0.000003,450,-
Oct 29 2017,0.000002,0.000003,0.000002,0.000003,317,-
Oct 28 2017,0.000003,0.000003,0.000002,0.000002,69,-
Oct 27 2017,0.000002,0.000003,0.000002,0.000003,206,-
Oct 26 2017,0.000002,0.000003,0.000002,0.000003,60,-
Oct 25 2017,0.000003,0.000003,0.000002,0.000002,354,-
Oct 24 2017,0.000002,0.000003,0.000002,0.000003,300,-
Oct 23 2017,0.000003,0.000003,0.000002,0.000002,99,-
Oct 22 2017,0.000003,0.000003,0.000002,0.000003,26,-
Oct 21 2017,0.000003,0.000003,0.000002,0.000003,1494,-
Oct 20 2017,0.000003,0.000003,0.000002,0.000003,160,-
Oct 19 2017,0.000003,0.000003,0.000002,0.000003,312,-
Oct 18 2017,0.000003,0.000003,0.000002,0.000003,1035,-
Oct 17 2017,0.000003,0.000003,0.000002,0.000003,224,-
Oct 16 2017,0.000003,0.000013,0.000003,0.000003,556,-
Oct 15 2017,0.000003,0.000003,0.000003,0.000003,540,-
Oct 14 2017,0.000002,0.000004,0.000002,0.000003,603,-
Oct 13 2017,0.000002,0.000003,0.000002,0.000002,523,-
Oct 12 2017,0.000002,0.000003,0.000002,0.000002,69,-
Oct 11 2017,0.000002,0.000003,0.000002,0.000002,1716,-
Oct 10 2017,0.000002,0.000003,0.000002,0.000002,579,-
Oct 09 2017,0.000002,0.000002,0.000002,0.000002,706,-
Oct 08 2017,0.000002,0.000002,0.000002,0.000002,29,-
Oct 07 2017,0.000002,0.000002,0.000002,0.000002,99,-
Oct 06 2017,0.000002,0.000002,0.000002,0.000002,267,-
Oct 05 2017,0.000002,0.000002,0.000002,0.000002,53,-
Oct 04 2017,0.000002,0.000002,0.000002,0.000002,99,-
Oct 03 2017,0.000002,0.000003,0.000002,0.000002,1048,-
Oct 02 2017,0.000002,0.000002,0.000002,0.000002,786,-
Oct 01 2017,0.000002,0.000002,0.000002,0.000002,133,-
Sep 30 2017,0.000002,0.000002,0.000002,0.000002,93,-
Sep 29 2017,0.000002,0.000002,0.000002,0.000002,375,-
Sep 28 2017,0.000002,0.000002,0.000002,0.000002,53,-
Sep 27 2017,0.000002,0.000002,0.000002,0.000002,179,-
Sep 26 2017,0.000002,0.000002,0.000001,0.000002,32,-
Sep 25 2017,0.000002,0.000003,0.000002,0.000002,95,-
Sep 24 2017,0.000002,0.000002,0.000002,0.000002,36,-
Sep 23 2017,0.000002,0.000002,0.000002,0.000002,117,-
Sep 22 2017,0.000002,0.000003,0.000001,0.000002,159,-
Sep 21 2017,0.000002,0.000003,0.000001,0.000002,126,-
Sep 20 2017,0.000002,0.000003,0.000002,0.000002,94,-
Sep 19 2017,0.000002,0.000002,0.000002,0.000002,102,-
