Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.084711,0.092542,0.077783,0.081260,5817,3399430
Mar 30 2018,0.092169,0.094612,0.079254,0.084367,9048,3698720
Mar 29 2018,0.102491,0.105848,0.087425,0.092362,21249,4112910
Mar 28 2018,0.109924,0.118248,0.100959,0.102362,17923,4411220
Mar 27 2018,0.123709,0.128759,0.109160,0.109927,20440,4964390
Mar 26 2018,0.110791,0.134507,0.104292,0.123810,26057,4446000
Mar 25 2018,0.120169,0.133110,0.106762,0.108540,20074,4822340
Mar 24 2018,0.134999,0.146503,0.116357,0.125614,14277,5417470
Mar 23 2018,0.154036,0.154036,0.130324,0.134197,19776,6181420
Mar 22 2018,0.158929,0.158976,0.143389,0.154037,15854,6377750
Mar 21 2018,0.162756,0.169716,0.153559,0.158905,23536,6531360
Mar 20 2018,0.164793,0.168440,0.150425,0.162390,51611,6942620
Mar 19 2018,0.211254,0.216190,0.144742,0.163401,106862,8900010
Mar 18 2018,0.180788,0.219773,0.172941,0.211880,64277,7616480
Mar 17 2018,0.159508,0.203481,0.148805,0.177710,48689,6719980
Mar 16 2018,0.188444,0.189380,0.154504,0.159301,60124,7939040
Mar 15 2018,0.190203,0.191952,0.164865,0.188582,86612,8013170
Mar 14 2018,0.185341,0.210788,0.180427,0.190220,36568,7808330
Mar 13 2018,0.201308,0.211134,0.183099,0.185341,13284,8481000
Mar 12 2018,0.209019,0.219488,0.195724,0.204156,37217,8805850
Mar 11 2018,0.226102,0.240727,0.194877,0.209547,119095,9525550
Mar 10 2018,0.188094,0.718621,0.181776,0.226730,228699,7924290
Mar 09 2018,0.209256,0.214781,0.164595,0.188106,38799,8815830
Mar 08 2018,0.171000,0.253211,0.145137,0.210130,149833,7204140
Mar 07 2018,0.183225,0.185242,0.154972,0.171223,29111,7719150
Mar 06 2018,0.226473,0.238757,0.175763,0.183287,20404,12826200
Mar 05 2018,0.250039,0.256606,0.200773,0.226564,36670,-
Mar 04 2018,0.235890,0.250128,0.224393,0.248777,28192,-
Mar 03 2018,0.222032,0.255571,0.202925,0.236107,38148,-
Mar 02 2018,0.282008,0.292000,0.218195,0.221140,49583,-
Mar 01 2018,0.157848,0.313484,0.157745,0.277588,281984,-
