Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.017435,0.018209,0.013292,0.013444,2,15443
Mar 30 2018,0.018064,0.018360,0.016839,0.017432,60,16000
Mar 29 2018,0.019456,0.019488,0.016686,0.018109,74,17233
Mar 28 2018,0.018455,0.019760,0.018352,0.019433,22,16346
Mar 27 2018,0.019361,0.019423,0.018388,0.018459,11,17149
Mar 26 2018,0.019412,0.019518,0.015391,0.019390,13,17194
Mar 25 2018,0.015220,0.019958,0.014993,0.019427,1,13482
Mar 24 2018,0.015952,0.016098,0.015396,0.015433,28,14130
Mar 23 2018,0.017403,0.019596,0.014885,0.015723,40,15415
Mar 22 2018,0.020386,0.020444,0.017044,0.017403,184,18057
Mar 20 2018,0.019402,0.019450,0.018779,0.019220,54,17186
Mar 19 2018,0.018183,0.019529,0.018071,0.019188,54,16105
Mar 18 2018,0.017114,0.018449,0.016235,0.018259,102,15158
Mar 14 2018,0.024063,0.024614,0.021604,0.021846,46,21314
Mar 13 2018,0.019541,0.024222,0.019209,0.024059,51,17308
Mar 12 2018,0.022047,0.022851,0.018946,0.019654,141,19529
Mar 11 2018,0.020183,0.022622,0.019494,0.022117,3,17877
Mar 10 2018,0.021297,0.022557,0.020069,0.020253,120,18864
Mar 09 2018,0.029646,0.029996,0.020892,0.021288,18,26259
Mar 08 2018,0.028386,0.030018,0.020493,0.029835,157,25143
Mar 07 2018,0.027710,0.029756,0.026257,0.028426,542,24544
Mar 06 2018,0.024621,0.024621,0.023363,0.023496,35,21809
Mar 05 2018,0.024727,0.024979,0.024501,0.024689,78,21902
Mar 04 2018,0.036493,0.036665,0.035401,0.036445,35,32324
Mar 03 2018,0.036474,0.037627,0.024826,0.036556,197,32307
Mar 02 2018,0.024860,0.036791,0.022627,0.036519,671,22020
Mar 01 2018,0.032627,0.033953,0.023949,0.024924,48,28900
Feb 28 2018,0.021862,0.033423,0.021732,0.032579,89,19365
Feb 27 2018,0.020726,0.022203,0.020442,0.021888,17,18359
Feb 26 2018,0.026938,0.029044,0.019399,0.020667,45,23861
Feb 25 2018,0.026567,0.027209,0.019970,0.026904,5,23532
Feb 24 2018,0.027294,0.028451,0.025746,0.026607,14,24176
Feb 23 2018,0.024514,0.027487,0.018319,0.027329,64,21713
Feb 22 2018,0.025957,0.027159,0.024276,0.024537,135,22991
Feb 21 2018,0.027817,0.027868,0.025481,0.025983,20,24639
Feb 20 2018,0.021896,0.029153,0.020267,0.027852,352,19395
Feb 19 2018,0.020256,0.022064,0.020193,0.021876,1,17942
Feb 18 2018,0.028399,0.028884,0.020302,0.020349,82,25155
