Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000529,0.000740,0.000485,0.000650,2431,370144
Mar 30 2018,0.000675,0.000744,0.000508,0.000529,2473,472361
Mar 29 2018,0.000780,0.000783,0.000561,0.000659,2527,546196
Mar 28 2018,0.000689,0.000844,0.000642,0.000721,3549,482166
Mar 27 2018,0.000668,0.000823,0.000574,0.000689,5047,467844
Mar 26 2018,0.000708,0.000919,0.000665,0.000669,11936,495303
Mar 25 2018,0.000855,0.001061,0.000661,0.000708,38845,598371
Mar 24 2018,0.001338,0.001420,0.000857,0.000857,3169,936607
Mar 23 2018,0.001572,0.001574,0.000837,0.001323,6689,1100470
Mar 22 2018,0.001573,0.001610,0.000824,0.001572,42618,1101340
Mar 21 2018,0.001713,0.001769,0.000723,0.001193,46054,1199330
Mar 20 2018,0.001662,0.001921,0.001029,0.001707,19632,1163150
Mar 19 2018,0.001638,0.002324,0.001036,0.001294,47367,1146430
Mar 18 2018,0.002283,0.002283,0.001459,0.002079,28053,1598030
Mar 17 2018,0.001472,0.002462,0.001067,0.002287,86226,1030630
Mar 16 2018,0.001764,0.001808,0.001108,0.001471,8315,1234960
Mar 15 2018,0.001693,0.002240,0.001176,0.001766,23234,1185410
Mar 14 2018,0.002276,0.002558,0.001534,0.001636,8492,1593000
Mar 13 2018,0.001568,0.002441,0.001399,0.002275,13717,1097350
Mar 12 2018,0.001865,0.001930,0.001113,0.001668,12307,1305710
Mar 11 2018,0.001550,0.002550,0.001127,0.001867,8920,1084820
Mar 10 2018,0.001885,0.001956,0.001344,0.001595,7171,1319770
Mar 09 2018,0.002478,0.002507,0.001449,0.001885,6749,1734380
Mar 08 2018,0.002490,0.002615,0.001843,0.002488,2965,1743220
Mar 07 2018,0.002249,0.002881,0.001949,0.002493,3677,1574020
Mar 06 2018,0.002652,0.003110,0.001993,0.002249,3014,-
Mar 05 2018,0.002493,0.003145,0.002110,0.002653,5061,-
Mar 04 2018,0.002597,0.003319,0.001923,0.002493,7980,-
Mar 03 2018,0.003344,0.003439,0.002570,0.002598,23358,-
Mar 02 2018,0.004104,0.004217,0.002649,0.003346,33569,-
Mar 01 2018,0.003095,0.004143,0.002182,0.003701,42629,-
Feb 28 2018,0.002706,0.004030,0.002244,0.003072,20287,-
Feb 27 2018,0.003815,0.003901,0.002558,0.002685,8113,-
Feb 26 2018,0.003130,0.003863,0.002700,0.003159,11100,-
Feb 25 2018,0.002881,0.003429,0.002647,0.003122,14447,-
Feb 24 2018,0.002975,0.003703,0.002829,0.002883,9267,-
Feb 23 2018,0.002891,0.003618,0.002861,0.002979,4728,-
Feb 22 2018,0.003280,0.003958,0.002885,0.002937,11599,-
