Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.101327,0.106661,0.100993,0.102148,10,1312520
Mar 30 2018,0.092797,0.118798,0.072638,0.101311,1230,1202040
Mar 29 2018,0.111019,0.111201,0.090323,0.093029,1319,1438060
Mar 28 2018,0.121863,0.139980,0.109963,0.110889,389,1578540
Mar 27 2018,0.161747,0.162266,0.121735,0.121891,7,2095170
Mar 26 2018,0.168713,0.169638,0.122748,0.161993,1579,2185400
Mar 25 2018,0.190554,0.192558,0.164747,0.168843,1127,2468310
Mar 24 2018,0.178416,0.201159,0.173893,0.193213,6,2311080
Mar 23 2018,0.188732,0.193755,0.171807,0.175855,67,2444710
Mar 22 2018,0.204152,0.204152,0.175467,0.188736,24,2644460
Mar 21 2018,0.178621,0.205397,0.178362,0.204525,63,2313740
Mar 20 2018,0.172810,0.180751,0.167427,0.178298,174,2238470
Mar 19 2018,0.187394,0.198327,0.163645,0.170903,12,2427380
Mar 18 2018,0.174293,0.188571,0.143844,0.188187,192,2257680
Mar 17 2018,0.167753,0.219228,0.144738,0.174718,2054,2172960
Mar 16 2018,0.169342,0.175872,0.163002,0.174200,1,2193550
Mar 15 2018,0.169394,0.170561,0.155131,0.169438,613,2194220
Mar 14 2018,0.184908,0.190376,0.164861,0.169470,142,2395180
Mar 13 2018,0.182229,0.209304,0.178012,0.184882,428,2360480
Mar 12 2018,0.219615,0.223581,0.176685,0.183282,436,2844100
Mar 11 2018,0.201831,0.252731,0.194940,0.220309,84,2613790
Mar 10 2018,0.269364,0.276011,0.200689,0.202530,89,3488250
Mar 09 2018,0.302222,0.305786,0.241345,0.269248,295,3913760
Mar 08 2018,0.420386,0.420662,0.294720,0.304147,112,5443980
Mar 07 2018,0.322747,0.327601,0.284387,0.295326,105,4179560
Mar 06 2018,0.425695,0.425695,0.319937,0.323166,121,5512740
Mar 05 2018,0.425411,0.431876,0.422493,0.426875,3,5509060
Mar 04 2018,0.411760,0.425723,0.411422,0.425723,12,5332280
Mar 03 2018,0.483530,0.504299,0.483530,0.500047,70,6261700
Mar 02 2018,0.387079,0.488401,0.385078,0.484122,155,5012660
Mar 01 2018,0.490127,0.520519,0.343052,0.388077,192,6347130
Feb 28 2018,0.482672,0.506890,0.472256,0.489406,1983,6250580
Feb 27 2018,0.466705,0.500986,0.460305,0.483241,4689,6043820
Feb 26 2018,0.433886,0.489437,0.425869,0.465361,1655,5618810
Feb 25 2018,0.438939,0.446548,0.421753,0.433331,1989,5684250
Feb 24 2018,0.459238,0.475162,0.425376,0.439605,21,5947120
Feb 23 2018,0.445580,0.527260,0.434582,0.459819,1117,5770250
Feb 22 2018,0.473712,0.493665,0.441263,0.445996,2795,6134550
Feb 21 2018,0.609505,0.610632,0.465031,0.474193,3580,7893060
Feb 20 2018,0.556674,0.638769,0.516493,0.610264,307,7208910
Feb 19 2018,0.415611,0.559819,0.414328,0.556169,942,5382150
Feb 18 2018,0.573535,1.03,0.416552,0.417530,6253,7427260
Feb 17 2018,0.410798,0.575162,0.405512,0.571782,1179,5319820
Feb 16 2018,0.508256,0.517476,0.397142,0.410892,105,6581900
Feb 15 2018,0.512312,0.526747,0.242724,0.510436,1592,6634420
Feb 14 2018,0.553139,0.559873,0.463364,0.512034,1841,7163130
Feb 13 2018,0.534742,0.568133,0.504364,0.554793,1730,6924890
Feb 12 2018,0.326362,0.594988,0.326362,0.533771,606,4226370
Feb 11 2018,0.591812,0.591812,0.324083,0.324295,247,7663950
Feb 10 2018,0.588276,0.606231,0.328347,0.592319,182,7618150
Feb 09 2018,0.568093,0.599799,0.545620,0.588446,564,7072740
Feb 08 2018,0.525489,0.577170,0.327434,0.567382,636,6542320
Feb 07 2018,0.427080,0.594071,0.266872,0.526835,1602,5317140
Feb 06 2018,0.374005,0.431235,0.305892,0.427528,329,4656350
Feb 05 2018,0.464949,0.480454,0.207495,0.372683,361,5788600
Feb 04 2018,0.443998,0.506954,0.399500,0.469498,936,5527760
Feb 03 2018,0.364908,0.515211,0.337542,0.443949,2305,4543090
Feb 02 2018,0.663696,0.663696,0.307134,0.363389,4005,8262990
Feb 01 2018,0.645000,0.672362,0.343660,0.666019,6198,8030230
Jan 31 2018,0.620348,0.665513,0.598748,0.643726,2163,7723310
Jan 30 2018,0.826891,0.828406,0.618810,0.618810,2537,10294800
Jan 29 2018,0.883770,0.932141,0.629937,0.825991,9271,11002900
Jan 28 2018,0.833291,0.866545,0.317775,0.866545,16430,10374400
Jan 27 2018,0.711795,0.828561,0.576690,0.828561,4199,8861820
Jan 26 2018,0.705816,0.808961,0.579665,0.711814,7758,8787380
Jan 25 2018,0.658477,0.917163,0.451297,0.708236,13587,8198010
Jan 24 2018,0.824981,0.924917,0.627618,0.653195,6646,10271000
Jan 23 2018,1.18,1.19,0.677384,0.824777,10441,14666100
Jan 22 2018,1.27,1.41,0.812935,1.18,3077,15766000
Jan 21 2018,1.15,1.49,1.12,1.26,9516,14349200
