Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,5.51,6.33,5.51,5.62,1205810,71460500
Mar 30 2018,5.68,5.82,5.31,5.52,1413520,73611400
Mar 29 2018,6.18,6.20,5.55,5.71,2002430,80090200
Mar 28 2018,6.13,6.57,6.08,6.17,2082100,79497400
Mar 27 2018,6.56,6.60,6.13,6.13,2214990,84966000
Mar 26 2018,7.42,7.47,6.26,6.55,2273800,93841000
Mar 25 2018,7.31,7.57,7.12,7.43,2400530,92441100
Mar 24 2018,7.59,8.62,7.25,7.40,2536130,95945100
Mar 23 2018,7.51,7.77,6.88,7.65,2419380,94895600
Mar 22 2018,7.51,7.65,7.26,7.53,2428430,94876100
Mar 21 2018,7.38,7.87,7.34,7.51,2497980,93265300
Mar 20 2018,7.80,7.86,7.28,7.38,2475030,98561900
Mar 19 2018,7.52,9.73,7.07,7.49,2296720,92796200
Mar 18 2018,8.27,9.41,6.60,7.53,2119450,101970000
Mar 17 2018,9.07,9.31,8.14,8.24,2333660,111813000
Mar 16 2018,8.71,9.61,8.51,9.06,2100490,107405000
Mar 15 2018,9.27,9.33,8.14,8.71,1456910,114227000
Mar 14 2018,10.34,10.88,8.90,9.27,1670210,127430000
Mar 13 2018,10.37,11.96,10.13,10.33,1749450,127760000
Mar 12 2018,11.18,12.26,9.54,10.38,2008520,134734000
Mar 11 2018,11.15,12.42,10.63,11.17,1921540,134360000
Mar 10 2018,11.72,12.65,11.12,11.23,1742290,141224000
Mar 09 2018,10.30,12.60,9.55,11.73,1860670,124056000
Mar 08 2018,10.06,11.30,9.69,10.33,1428620,121165000
Mar 07 2018,10.15,11.03,9.60,10.06,1193970,122231000
Mar 06 2018,12.74,13.00,9.95,10.16,1103770,153420000
Mar 05 2018,15.25,15.78,9.83,12.83,1977590,179709000
Mar 04 2018,16.49,16.91,14.34,15.27,1486160,194281000
Mar 03 2018,17.97,18.92,14.23,16.50,2141600,211673000
Mar 02 2018,20.40,20.80,17.80,18.07,1699860,240198000
Mar 01 2018,19.50,20.54,18.62,20.41,1702560,229643000
Feb 28 2018,19.91,20.67,19.06,19.47,1759120,234371000
Feb 27 2018,21.48,21.48,19.38,19.91,1873840,252901000
Feb 26 2018,22.19,22.49,18.79,21.50,1573300,256626000
Feb 25 2018,23.33,23.46,21.56,22.31,1227490,269755000
Feb 24 2018,23.86,24.74,21.28,22.72,1174240,275926000
Feb 23 2018,22.50,24.99,21.34,23.77,1278100,260135000
Feb 22 2018,21.96,25.18,21.27,22.54,1295900,253794000
Feb 21 2018,24.86,24.86,20.63,21.97,1707770,287339000
Feb 20 2018,25.60,27.94,24.64,24.88,1563680,295785000
Feb 19 2018,29.24,30.41,21.65,25.56,2168230,332287000
Feb 18 2018,31.90,32.43,28.43,29.25,1080840,362375000
Feb 17 2018,29.58,32.16,28.49,31.80,1755430,335954000
Feb 16 2018,29.01,29.58,26.90,29.58,1492460,329496000
Feb 15 2018,27.29,29.30,26.78,29.07,1747350,309928000
Feb 14 2018,24.44,27.49,23.85,27.18,1690150,277476000
Feb 13 2018,25.28,25.75,23.44,24.49,1364730,286946000
Feb 12 2018,25.62,27.22,24.16,25.09,1731110,286254000
Feb 11 2018,25.82,27.14,23.97,25.50,1492170,288421000
Feb 10 2018,24.75,27.16,24.60,25.90,1512910,276462000
Feb 09 2018,23.53,25.39,22.20,24.75,1485470,262740000
Feb 08 2018,20.49,25.23,20.49,23.52,1187840,228765000
Feb 07 2018,21.45,24.33,20.34,21.14,1237070,239476000
Feb 06 2018,19.64,22.01,15.65,21.68,1526680,219185000
Feb 05 2018,23.59,28.01,18.57,19.61,1579680,260652000
Feb 04 2018,26.71,27.45,23.75,24.54,1534000,294994000
Feb 03 2018,23.95,27.27,21.98,26.69,2221760,264473000
Feb 02 2018,22.44,23.91,19.72,23.84,1777310,247818000
Feb 01 2018,23.14,24.17,21.44,22.64,1507630,255524000
Jan 31 2018,22.77,23.63,19.99,23.02,1700200,251329000
Jan 30 2018,26.33,26.78,22.36,22.77,1459140,287067000
Jan 29 2018,26.43,27.96,24.03,26.15,791657,288168000
Jan 28 2018,26.26,28.55,25.13,26.45,488246,286233000
Jan 27 2018,25.22,26.39,24.61,26.13,291409,274916000
Jan 26 2018,25.57,26.72,23.46,25.24,236141,278584000
Jan 25 2018,26.74,27.15,24.20,25.63,416892,291384000
Jan 24 2018,21.54,27.67,20.92,27.18,780732,234658000
Jan 23 2018,23.98,24.11,19.79,21.56,1514090,261168000
Jan 22 2018,27.78,28.37,20.54,21.74,3131340,299041000
Jan 21 2018,28.32,30.21,22.56,27.48,3459810,304780000
Jan 20 2018,27.34,31.16,27.08,27.40,3956790,294249000
Jan 19 2018,28.00,30.16,24.77,27.09,4339510,301265000
Jan 18 2018,25.42,29.72,24.40,28.38,2662020,273495000
Jan 17 2018,23.40,26.32,19.56,25.11,2095620,248622000
Jan 16 2018,28.63,28.92,20.65,22.42,1755950,304183000
Jan 15 2018,25.74,35.61,24.85,28.38,4557730,273495000
Jan 14 2018,25.84,26.44,23.99,25.96,2536710,274565000
Jan 13 2018,25.12,26.10,24.65,25.64,2224110,266878000
Jan 12 2018,22.39,25.87,21.80,25.03,2222730,237898000
Jan 11 2018,23.26,24.48,20.25,22.33,1933150,247086000
Jan 10 2018,20.10,25.96,19.85,23.61,2367050,213566000
Jan 09 2018,23.29,24.16,19.55,19.67,2709020,247441000
Jan 08 2018,26.47,28.17,22.42,23.33,3275850,281292000
Jan 07 2018,27.07,29.40,25.66,26.46,3824610,287606000
Jan 06 2018,27.64,29.87,25.74,27.01,4107650,293658000
Jan 05 2018,25.57,30.83,25.24,27.53,4484780,271714000
Jan 04 2018,27.50,29.85,25.70,26.42,8052890,292132000
Jan 03 2018,24.37,30.18,23.23,29.89,7070830,258970000
Jan 02 2018,23.12,26.45,22.32,24.86,5714230,245667000
Jan 01 2018,24.85,26.87,21.75,23.41,4503390,263996000
Dec 31 2017,17.89,31.54,17.62,25.13,5029730,190110000
Dec 30 2017,19.62,20.61,17.93,18.00,3254150,208509000
Dec 29 2017,16.30,20.51,16.17,20.45,4119080,173164000
Dec 28 2017,17.48,17.70,15.17,16.16,3087760,185765000
Dec 27 2017,17.13,18.75,16.10,17.66,3501510,182027000
Dec 26 2017,16.52,17.75,14.95,16.87,3274400,175532000
Dec 25 2017,15.57,19.65,15.12,16.47,3174970,165447000
Dec 24 2017,15.50,16.65,13.20,15.70,3040990,164660000
Dec 23 2017,15.61,17.08,14.23,15.53,2941380,165816000
Dec 22 2017,15.95,16.19,11.80,15.41,2773170,169478000
Dec 21 2017,15.56,16.93,14.90,15.88,3074510,165337000
Dec 20 2017,16.62,17.14,14.87,15.40,2955350,176635000
Dec 19 2017,16.69,17.96,15.87,16.36,2748740,177344000
Dec 18 2017,19.04,20.56,16.55,16.55,1104150,202334000
Dec 17 2017,19.50,21.31,18.57,19.43,3725710,207170000
Dec 16 2017,18.86,21.60,16.91,20.92,4529860,200378000
Dec 15 2017,17.39,19.96,17.00,17.25,3931010,184758000
Dec 14 2017,15.53,18.29,13.98,18.04,3670950,165050000
Dec 13 2017,18.87,19.39,12.89,16.09,2170780,200448000
Dec 12 2017,17.73,21.60,16.86,19.27,1528820,188335000
Dec 11 2017,18.73,21.54,13.81,18.00,1696500,198959000
Dec 10 2017,20.80,20.80,17.64,19.13,1439050,221043000
Dec 09 2017,22.95,24.09,18.01,20.66,2384060,243843000
Dec 08 2017,25.66,25.66,19.67,23.36,2073200,272582000
Dec 07 2017,17.54,25.40,16.88,25.20,3168520,186365000
Dec 06 2017,19.28,21.97,16.86,17.96,2951420,204897000
Dec 05 2017,22.73,25.45,17.70,19.09,2938420,241469000
Dec 04 2017,24.59,26.24,20.56,23.04,2795910,261304000
Dec 03 2017,27.83,29.08,22.39,24.52,3087720,295714000
Dec 02 2017,30.46,31.98,26.16,28.64,2945960,323617000
Dec 01 2017,28.88,31.28,25.28,31.10,3773490,306892000
Nov 30 2017,27.75,33.73,20.82,28.35,3949000,294801000
Nov 29 2017,32.03,33.31,25.32,27.87,3939860,340365000
Nov 28 2017,31.24,36.06,31.24,32.18,4292230,331894000
Nov 27 2017,35.34,39.53,30.50,33.00,4643100,375466000
Nov 26 2017,34.16,40.02,33.29,35.17,5523180,362995000
Nov 25 2017,29.47,36.57,29.31,34.31,6943120,313129000
Nov 24 2017,26.59,31.54,25.47,29.95,7058010,282534000
Nov 23 2017,27.03,27.61,25.41,26.41,5922900,287223000
Nov 22 2017,26.39,27.81,25.91,27.18,5056360,280370000
Nov 21 2017,23.96,31.71,23.96,26.54,5948850,254564000
Nov 20 2017,29.03,29.22,24.42,27.27,5793250,308410000
Nov 19 2017,30.85,31.16,21.90,28.90,6116720,327810000
Nov 18 2017,34.19,35.43,29.20,30.86,7895030,363287000
Nov 17 2017,40.38,44.26,31.39,34.61,9848620,428984000
Nov 16 2017,27.18,48.42,25.86,39.42,16475700,288804000
Nov 15 2017,15.79,28.24,15.35,27.06,9795290,167742000
Nov 14 2017,14.22,21.89,13.96,15.26,3669590,151139000
Nov 13 2017,10.32,15.93,9.85,14.49,2308130,109616000
Nov 12 2017,10.20,11.46,8.18,10.27,1570550,108401000
Nov 11 2017,10.67,11.09,9.95,10.27,1625650,113360000
Nov 10 2017,10.09,12.03,10.09,10.45,1117620,107240000
Nov 09 2017,9.31,11.29,8.94,10.21,1196060,98920300
Nov 08 2017,10.58,11.64,9.30,9.32,271190,112372000
Nov 07 2017,8.29,10.63,7.56,10.61,249895,88133600
Nov 06 2017,8.41,10.44,7.10,8.31,176906,89333200
Nov 05 2017,8.85,9.49,7.68,8.39,188244,94005900
Nov 04 2017,6.54,25.21,6.13,8.92,290147,19883400
Nov 03 2017,5.45,7.81,5.21,6.56,71725,8338400
Nov 02 2017,6.54,6.65,4.22,5.46,187600,9979870
Nov 01 2017,6.43,7.16,6.10,6.53,60079,9788550
Oct 31 2017,6.30,7.49,5.77,6.43,202688,9558910
Oct 30 2017,8.29,9.08,5.53,6.38,348378,10697400
Oct 29 2017,9.23,9.85,7.52,8.16,375874,11804600
Oct 28 2017,8.65,9.69,8.51,8.95,213241,10987700
Oct 27 2017,9.50,9.96,7.67,8.62,267383,11979800
Oct 26 2017,8.28,11.44,7.83,9.79,345892,10393400
