Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,4.65,5.45,4.64,4.73,249,281183
Mar 30 2018,4.96,5.04,4.50,4.65,25,299866
Mar 29 2018,6.27,6.28,4.83,4.97,284,379332
Mar 28 2018,6.15,6.51,5.50,6.27,153,371902
Mar 27 2018,6.01,6.42,5.00,6.15,934,363342
Mar 26 2018,6.67,6.78,5.77,6.02,381,403343
Mar 25 2018,6.25,6.89,6.20,6.68,500,377448
Mar 24 2018,6.51,7.13,6.32,6.33,287,393293
Mar 23 2018,6.81,6.84,6.19,6.42,298,411595
Mar 22 2018,6.95,7.39,6.60,6.81,912,419885
Mar 21 2018,6.15,6.99,6.14,6.96,1556,371181
Mar 20 2018,5.90,6.97,5.46,6.14,2394,355572
Mar 19 2018,6.40,6.78,5.66,5.84,286,385731
Mar 18 2018,6.18,6.50,5.15,6.43,769,372134
Mar 17 2018,6.50,6.51,6.00,6.19,115,391614
Mar 16 2018,6.49,6.72,5.97,6.49,321,391043
Mar 15 2018,7.05,7.09,5.85,6.49,1736,424867
Mar 14 2018,9.57,9.79,6.88,7.05,1482,576925
Mar 13 2018,9.49,9.89,8.72,9.57,43257,572090
Mar 12 2018,12.18,12.40,8.33,9.55,72160,733926
Mar 11 2018,11.37,12.46,10.77,12.22,55998,684944
Mar 10 2018,52.67,52.67,10.23,11.40,124550,3174110
Mar 09 2018,6.69,57.47,5.94,52.57,99560,403245
Mar 08 2018,8.07,8.27,6.67,6.73,74415,486204
Mar 07 2018,8.68,8.82,7.90,8.08,95367,523266
Mar 06 2018,9.43,10.42,8.61,8.69,128608,568381
Mar 05 2018,9.27,10.96,9.15,9.46,109935,558387
Mar 04 2018,10.35,10.36,9.10,9.25,56387,623683
Mar 03 2018,10.74,10.81,10.05,10.37,48161,646695
Mar 02 2018,9.87,10.84,9.78,10.75,76061,594665
Mar 01 2018,9.71,10.37,9.63,9.90,22970,584397
Feb 28 2018,9.77,10.71,9.66,9.69,25175,587990
Feb 27 2018,10.10,10.57,9.53,9.78,15378,607717
Feb 26 2018,10.90,12.03,9.10,10.07,48268,656237
Feb 25 2018,9.50,12.63,9.41,10.87,19084,571786
Feb 24 2018,64.84,68.16,7.79,9.52,9557,3901230
Feb 23 2018,9.80,96.63,9.53,64.92,43147,589815
Feb 22 2018,10.47,10.90,9.51,9.81,30152,629998
Feb 21 2018,8.09,60.37,7.71,10.45,21805,486732
