Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.120935,0.124415,0.110214,0.120203,1298,755052
Mar 30 2018,0.110089,0.122407,0.102851,0.120912,337,687334
Mar 29 2018,0.126301,0.132352,0.107236,0.110359,782,788549
Mar 28 2018,0.120478,0.126661,0.113685,0.126153,337,752195
Mar 27 2018,0.114662,0.124138,0.110322,0.120504,489,715525
Mar 26 2018,0.126569,0.131267,0.110531,0.114836,1675,789341
Mar 25 2018,0.132598,0.140602,0.126293,0.126666,1181,825847
Mar 24 2018,0.147485,0.147678,0.132631,0.134441,1404,918566
Mar 23 2018,0.156264,0.160342,0.132543,0.145388,1434,973243
Mar 22 2018,0.151794,0.175320,0.138195,0.156615,4094,944128
Mar 21 2018,0.160544,0.168966,0.148953,0.152061,3693,998550
Mar 20 2018,0.150888,0.178382,0.147941,0.160237,952,938488
Mar 19 2018,0.139371,0.171564,0.138287,0.149224,5453,863640
Mar 18 2018,0.157894,0.238573,0.127630,0.139952,18018,978417
Mar 17 2018,0.163166,0.165563,0.152720,0.158275,1628,1011080
Mar 16 2018,0.163018,0.175975,0.155865,0.162900,2928,1010170
Mar 15 2018,0.181845,0.187204,0.156885,0.163110,4851,1126830
Mar 14 2018,0.204050,0.208709,0.177221,0.181926,457,1264430
Mar 13 2018,0.206776,0.214955,0.197740,0.204025,952,1281320
Mar 12 2018,0.216284,0.221677,0.196425,0.207957,1014,1336270
Mar 11 2018,0.199411,0.228622,0.187997,0.216961,1642,1232030
Mar 10 2018,0.205043,0.215708,0.194731,0.200122,347,1266820
Mar 09 2018,0.190320,0.207419,0.172296,0.204953,2675,1175860
Mar 08 2018,0.279309,0.293717,0.184921,0.191528,1280,1725660
Mar 07 2018,0.328389,0.328602,0.267669,0.279752,892,2028890
Mar 06 2018,0.253577,0.321694,0.221943,0.321694,1446,1563890
Mar 05 2018,0.251051,0.257677,0.249315,0.254272,3437,1548310
Mar 04 2018,0.235826,0.251235,0.233861,0.251235,767,1454410
Mar 03 2018,0.223000,0.243107,0.223000,0.238423,2702,1375320
Mar 02 2018,0.218603,0.236354,0.217430,0.223271,1225,1344860
Mar 01 2018,0.221247,0.239236,0.207666,0.219160,2590,1361120
Feb 28 2018,0.237862,0.237862,0.200817,0.220920,2276,1463340
Feb 27 2018,0.210355,0.240234,0.188243,0.238141,2563,1294110
Feb 26 2018,0.194486,0.212216,0.165647,0.209756,3264,1196490
Feb 25 2018,0.223080,0.271842,0.181727,0.194241,8868,1370710
Feb 24 2018,0.213516,0.244538,0.195109,0.201141,3861,1311940
Feb 23 2018,0.231033,0.259598,0.193723,0.213787,7027,1417610
Feb 22 2018,0.235624,0.274334,0.225188,0.231253,1539,1445780
Feb 21 2018,0.286041,0.286041,0.234413,0.235865,1813,1755140
Feb 20 2018,0.307537,0.356452,0.280626,0.286387,2384,1885090
Feb 19 2018,0.291322,0.322098,0.272374,0.307259,3220,1785700
Feb 18 2018,0.311243,0.312168,0.287051,0.289359,1938,1907520
Feb 17 2018,0.282169,0.312155,0.278548,0.310311,733,1728590
Feb 16 2018,0.285680,0.291569,0.270143,0.282237,1216,1749230
