Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,19.43,20.56,19.36,19.87,1009,423305
Mar 30 2018,18.16,19.92,17.22,19.46,271,395509
Mar 29 2018,19.16,19.25,17.53,18.18,288,417312
Mar 28 2018,18.84,19.82,18.58,19.23,4,410373
Mar 27 2018,19.83,20.07,18.51,18.87,334,431846
Mar 26 2018,20.72,20.72,17.95,19.87,116,451398
Mar 25 2018,19.20,21.19,18.82,20.72,1198,418823
Mar 24 2018,16.59,20.37,16.30,19.23,255,361836
Mar 23 2018,22.05,22.05,16.39,16.54,4651,480849
Mar 22 2018,21.59,22.16,18.83,22.07,1359,470853
Mar 21 2018,21.12,21.89,19.93,21.60,775,460665
Mar 20 2018,21.13,21.96,19.93,21.14,554,460842
Mar 19 2018,20.73,22.89,19.31,21.06,415,452025
Mar 18 2018,20.60,21.88,17.36,20.73,619,449302
Mar 17 2018,19.81,21.97,19.56,20.58,163,432067
Mar 16 2018,19.63,21.09,19.02,19.91,183,428046
Mar 15 2018,19.40,22.06,18.46,19.65,904,422992
Mar 14 2018,20.99,21.30,16.22,19.41,875,457761
Mar 13 2018,20.39,21.36,19.78,21.02,1,444694
Mar 12 2018,21.51,22.38,19.53,20.38,8,472137
Mar 11 2018,23.24,25.06,20.26,21.49,365,510147
Mar 10 2018,21.38,23.87,18.93,23.42,475,469220
Mar 09 2018,20.52,21.98,19.08,21.33,18359,450393
Mar 08 2018,19.77,20.79,18.99,20.47,10428,433868
Mar 07 2018,19.34,20.84,18.03,19.78,14407,424460
Mar 06 2018,18.19,20.30,17.52,19.36,831,399109
Mar 05 2018,20.41,20.45,18.20,18.20,141,447913
Mar 04 2018,18.85,20.32,18.43,20.32,488,413791
Mar 03 2018,19.00,19.73,17.27,18.84,155,416900
Mar 02 2018,17.57,19.59,14.42,18.97,1389,385546
Mar 01 2018,19.58,21.02,17.45,17.60,756,429663
Feb 28 2018,24.80,25.15,18.47,19.54,153,544322
Feb 27 2018,20.79,25.20,16.73,24.83,798,456191
Feb 26 2018,21.09,22.74,20.70,22.44,4,462868
Feb 25 2018,20.79,21.62,20.50,21.06,4,456284
Feb 24 2018,23.65,24.28,20.79,20.79,508,518960
Feb 23 2018,21.62,23.88,20.82,23.66,1206,474544
Feb 22 2018,20.54,21.96,18.79,21.56,4881,450775
Feb 21 2018,19.75,21.47,19.03,20.59,279,433466
Feb 20 2018,20.27,22.87,19.63,19.74,111,444871
Feb 19 2018,19.62,20.81,19.42,20.24,135,430700
Feb 18 2018,20.18,20.67,19.31,19.66,330,442882
Feb 17 2018,21.11,21.80,18.24,20.17,183,463206
Feb 16 2018,20.56,25.66,20.16,21.13,0,451269
Feb 15 2018,20.33,20.92,19.60,20.61,118,446274
Feb 14 2018,21.56,22.52,18.82,20.33,123,473155
Feb 13 2018,24.88,25.90,21.21,21.51,33,546078
Feb 12 2018,18.09,19.68,18.09,18.47,6,397084
Feb 11 2018,18.94,20.01,18.16,18.16,5,415801
Feb 10 2018,20.82,22.16,18.60,18.60,271,457009
Feb 09 2018,18.74,23.11,16.77,20.72,316,411214
Feb 08 2018,18.36,20.74,17.02,18.80,108,402980
Feb 07 2018,18.61,25.95,17.26,18.38,628,408486
Feb 06 2018,19.62,22.27,15.29,18.61,5670,430599
Feb 05 2018,16.85,22.35,12.65,19.58,3479,377259
Feb 03 2018,19.16,19.16,17.73,17.84,80,428879
Feb 02 2018,19.27,19.68,16.67,19.09,85,431323
Feb 01 2018,20.05,20.62,18.55,19.31,185,448911
Jan 31 2018,18.01,20.73,17.46,19.99,411,403271
Jan 30 2018,21.45,21.49,13.95,18.08,748,480093
Jan 29 2018,22.21,22.50,21.06,21.44,7,497244
Jan 28 2018,18.38,22.50,17.72,22.23,7,411489
Jan 27 2018,20.22,20.22,17.42,18.36,2586,452605
Jan 26 2018,21.02,21.98,18.77,20.18,2423,470620
Jan 25 2018,20.32,21.55,20.29,20.96,897,454769
Jan 24 2018,18.52,23.26,18.46,20.34,870,414510
Jan 23 2018,19.27,19.71,18.07,18.61,384,431404
Jan 22 2018,19.87,20.28,16.32,19.25,1389,444702
Jan 21 2018,20.10,21.47,17.25,19.90,317,450139
Jan 20 2018,19.50,20.14,17.45,20.10,174,436596
Jan 19 2018,19.29,21.13,17.96,19.43,2345,432012
Jan 18 2018,29.56,29.93,18.94,19.18,1003,662104
Jan 17 2018,25.95,29.85,15.40,29.85,22699,581299
Jan 16 2018,20.45,26.56,15.41,26.56,360060,460214
Jan 15 2018,20.09,23.12,19.33,20.35,360,452183
Jan 14 2018,22.35,22.69,18.52,20.13,7664,508681
Jan 13 2018,22.26,22.40,15.80,22.38,552,457657
Jan 12 2018,20.40,22.37,19.91,22.27,2,419542
Jan 11 2018,18.95,21.85,16.13,20.34,253,389704
Jan 10 2018,19.96,20.93,17.28,18.85,16226,415316
Jan 09 2018,19.13,19.92,17.98,19.92,3152,393175
Jan 08 2018,19.57,19.57,16.23,19.25,31616,403334
Jan 07 2018,19.81,19.81,16.82,19.56,6,408207
Jan 06 2018,18.53,21.49,17.80,19.86,3121,379960
Jan 05 2018,20.54,21.09,17.76,18.46,1499,431592
Jan 04 2018,19.95,25.30,19.95,20.63,742,419242
Jan 03 2018,21.59,22.91,18.87,20.07,29427,428927
Jan 02 2018,20.17,21.96,14.69,21.63,8798,401718
