Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.028032,0.030947,0.018731,0.028829,140,646980
Mar 30 2018,0.027697,0.028380,0.025820,0.028028,8,639252
Mar 29 2018,0.029208,0.030049,0.026959,0.027767,101,674110
Mar 28 2018,0.029823,0.031016,0.029658,0.030194,1,688317
Mar 27 2018,0.031288,0.031388,0.029715,0.029830,1,722108
Mar 26 2018,0.033253,0.033435,0.030074,0.031335,12,767474
Mar 25 2018,0.032567,0.034022,0.032081,0.033279,7,751632
Mar 24 2018,0.035558,0.035696,0.032943,0.033021,37,820677
Mar 23 2018,0.034718,0.035048,0.033178,0.035048,17,801289
Mar 22 2018,0.034583,0.034882,0.034162,0.034719,17,798177
Mar 21 2018,0.034282,0.035079,0.034232,0.034839,10,791212
Mar 20 2018,0.031327,0.034690,0.031135,0.034220,20,723008
Mar 19 2018,0.031614,0.033503,0.031420,0.032619,6,729655
Mar 18 2018,0.029496,0.032077,0.027790,0.031748,12,680754
Mar 17 2018,0.031130,0.031130,0.028975,0.029568,118,718479
Mar 16 2018,0.025195,0.032172,0.025195,0.031079,116,581490
Mar 15 2018,0.036521,0.036751,0.024373,0.025209,505,842907
Mar 14 2018,0.033487,0.038608,0.033487,0.035553,18,772860
Mar 13 2018,0.040536,0.042292,0.030172,0.033482,100,935556
Mar 12 2018,0.034550,0.059187,0.027318,0.040770,1346,797417
Mar 11 2018,0.027203,0.065069,0.026275,0.034660,3365,627846
Mar 10 2018,0.032872,0.035094,0.027049,0.027297,125,758673
Mar 09 2018,0.033177,0.033569,0.026138,0.032858,326,765727
Mar 08 2018,0.039288,0.084130,0.032137,0.033389,2732,906750
Mar 05 2018,0.037137,0.037702,0.036882,0.037380,18,857118
Mar 04 2018,0.038781,0.042423,0.033623,0.037164,141,895055
Mar 03 2018,0.049477,0.051065,0.038255,0.038848,114,1141920
Mar 02 2018,0.044051,0.055110,0.032414,0.049538,802,1016680
Mar 01 2018,0.064428,0.073232,0.026178,0.044164,496,1486980
Feb 28 2018,0.064733,0.076520,0.064276,0.064333,34,1494020
Feb 27 2018,0.068985,0.072458,0.064203,0.064809,33,1592150
Feb 26 2018,0.057519,0.093627,0.057335,0.068786,151,1327530
Feb 25 2018,0.053328,0.058098,0.049243,0.057446,64,1230800
Feb 24 2018,0.051748,0.071234,0.051017,0.053409,119,1194330
Feb 23 2018,0.046566,0.068631,0.045417,0.051813,104,1074740
Feb 22 2018,0.051286,0.069766,0.042750,0.046610,954,1183660
Feb 21 2018,0.077282,0.077425,0.050346,0.051338,975,1783640
Feb 20 2018,0.058762,0.082767,0.058762,0.077378,1561,1356210
Feb 19 2018,0.052042,0.059213,0.051882,0.058709,8,1201120
Feb 18 2018,0.059128,0.060138,0.052160,0.052283,87,1364670
Feb 17 2018,0.057853,0.059296,0.056592,0.058948,16,1335230
Feb 16 2018,0.053883,0.054860,0.052058,0.053245,0,1243610
Feb 15 2018,0.045868,0.054173,0.045348,0.054114,4,1058610
Feb 14 2018,0.042740,0.047597,0.042740,0.045843,15599,986434
Feb 13 2018,0.049268,0.055238,0.042132,0.042868,362,1137080
Feb 12 2018,0.041175,0.061073,0.041175,0.049178,3536,950320
Feb 11 2018,0.037312,0.042450,0.029541,0.040915,364,861154
Feb 10 2018,0.040107,0.041144,0.036482,0.037344,117,925648
Feb 09 2018,0.041853,0.042327,0.037050,0.040077,463,965951
Feb 08 2018,0.035603,0.041724,0.035603,0.041724,50,821706
Feb 07 2018,0.037308,0.043748,0.035672,0.035746,410,861056
Feb 06 2018,0.032018,0.038278,0.027390,0.037685,258,738966
