Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.483593,0.501171,0.447686,0.452806,2141,1878580
Mar 30 2018,0.510882,0.530633,0.449111,0.484066,9706,1984590
Mar 29 2018,0.600278,0.601207,0.497258,0.512155,3062,2331860
Mar 28 2018,0.597793,0.626525,0.484184,0.594183,10238,2322210
Mar 27 2018,0.619542,0.625380,0.588181,0.597929,6142,2406690
Mar 26 2018,0.682364,0.685554,0.599200,0.620481,13945,2650740
Mar 25 2018,0.752522,0.755717,0.660982,0.685675,12315,2923270
Mar 24 2018,0.788700,0.798622,0.761209,0.763024,4500,3063810
Mar 23 2018,0.737002,0.777381,0.683854,0.777381,10168,2862980
Mar 22 2018,0.681130,0.737021,0.661985,0.737021,5317,2645940
Mar 21 2018,0.660702,0.728462,0.660702,0.682374,4215,2566580
Mar 20 2018,0.652692,0.687141,0.630202,0.663684,2669,2535470
Mar 19 2018,0.620497,0.693576,0.589698,0.645491,7550,2410400
Mar 18 2018,0.657818,0.657818,0.518868,0.623122,16181,2555380
Mar 17 2018,0.757089,0.779594,0.636454,0.659422,6649,2941010
Mar 16 2018,0.760058,0.804198,0.731603,0.755843,5239,2952550
Mar 15 2018,0.776964,0.783369,0.703980,0.760486,6074,3018220
Mar 14 2018,0.886021,0.920826,0.731129,0.777313,4195,3441870
Mar 13 2018,0.894696,0.927021,0.863408,0.885899,1899,3475570
Mar 12 2018,0.975145,1.00,0.865016,0.899863,4479,3788080
Mar 11 2018,0.922631,1.00,0.875686,0.978227,3716,3584090
Mar 10 2018,0.982914,1.01,0.920029,0.925825,2217,3818260
Mar 09 2018,0.998577,1.02,0.863998,0.982491,15677,3879110
Mar 08 2018,1.09,1.13,0.999267,1.00,8515,4226340
Mar 07 2018,1.18,1.23,1.04,1.09,20069,4584460
Mar 06 2018,1.27,1.29,1.17,1.18,21554,4916320
Mar 05 2018,1.21,1.32,1.19,1.27,22854,4691060
Mar 04 2018,1.18,1.27,1.15,1.21,16489,4586600
Mar 03 2018,1.21,1.30,1.17,1.18,19796,4708690
Mar 02 2018,1.17,1.32,1.10,1.24,52740,4561810
Mar 01 2018,1.04,1.26,1.01,1.19,51729,4028530
Feb 28 2018,1.07,1.09,0.999873,1.04,10980,4142740
Feb 27 2018,1.07,1.15,1.06,1.07,20054,4166730
Feb 26 2018,0.996998,1.09,0.979246,1.07,16672,3872970
Feb 25 2018,0.999757,1.02,0.945583,0.995723,7684,3883690
Feb 24 2018,1.01,1.08,0.949132,1.00,9737,3942790
Feb 23 2018,0.997977,1.10,0.982013,1.02,11856,3876780
Feb 22 2018,1.11,1.21,0.995129,0.998909,9294,4315070
Feb 21 2018,1.27,1.27,1.09,1.11,11072,4933660
