Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.015446,0.015786,0.014103,0.015259,11162,-
Mar 30 2018,0.014770,0.017219,0.013191,0.015448,15839,-
Mar 29 2018,0.016394,0.017937,0.014677,0.015037,12663,-
Mar 28 2018,0.016235,0.017919,0.015871,0.017763,22189,-
Mar 27 2018,0.017715,0.019104,0.016230,0.016230,11792,-
Mar 26 2018,0.020006,0.020196,0.017131,0.017716,16281,-
Mar 25 2018,0.020524,0.020633,0.019379,0.020012,13845,-
Mar 24 2018,0.021685,0.022072,0.020124,0.020433,19876,-
Mar 23 2018,0.020807,0.024793,0.018789,0.021669,26276,-
Mar 22 2018,0.022164,0.024339,0.019064,0.020805,37117,-
Mar 21 2018,0.019892,0.023479,0.019859,0.022169,56049,-
Mar 20 2018,0.020403,0.021446,0.018485,0.019879,41515,-
Mar 19 2018,0.019816,0.021477,0.017711,0.020133,94116,-
Mar 18 2018,0.020416,0.022522,0.018339,0.019957,50633,-
Mar 17 2018,0.030343,0.030343,0.020177,0.020336,54157,-
Mar 16 2018,0.034107,0.034130,0.030100,0.030338,61508,-
Mar 15 2018,0.038477,0.040612,0.029399,0.034199,62078,-
Mar 14 2018,0.040054,0.044459,0.038391,0.038488,52035,-
Mar 13 2018,0.042884,0.043631,0.038556,0.038947,50933,-
Mar 12 2018,0.047796,0.050078,0.042091,0.042885,41234,-
Mar 11 2018,0.048823,0.048870,0.039910,0.047479,45032,-
Mar 10 2018,0.051318,0.055960,0.048810,0.048856,42875,-
Mar 09 2018,0.062463,0.062594,0.042763,0.051318,89269,-
Mar 08 2018,0.075969,0.078377,0.062183,0.062453,139889,-
Mar 07 2018,0.088509,0.089141,0.075937,0.076987,120789,-
Mar 06 2018,0.093540,0.095015,0.086446,0.087285,140873,-
Mar 05 2018,0.094368,0.098887,0.090767,0.094208,108917,-
Mar 04 2018,0.094298,0.095262,0.092580,0.094363,47109,-
Mar 03 2018,0.089529,0.095368,0.089529,0.094510,45812,-
Mar 02 2018,0.090482,0.093785,0.086505,0.089503,79080,-
Mar 01 2018,0.096690,0.101621,0.085331,0.090533,158201,-
Feb 28 2018,0.102592,0.103762,0.096652,0.096668,119081,-
Feb 27 2018,0.095914,0.104042,0.094335,0.102592,145687,-
Feb 26 2018,0.091186,0.096736,0.087913,0.095853,55809,-
Feb 25 2018,0.092575,0.096284,0.089753,0.091188,43413,-
Feb 24 2018,0.094528,0.097870,0.091333,0.092630,16718,-
Feb 23 2018,0.089455,0.097531,0.088627,0.094548,14977,-
Feb 22 2018,0.090323,0.098163,0.088940,0.089502,49233,-
Feb 21 2018,0.098958,0.098958,0.090231,0.090367,44217,-
Feb 20 2018,0.101112,0.104238,0.099108,0.099108,82447,-
Feb 19 2018,0.103340,0.106145,0.099386,0.101046,80443,-
Feb 18 2018,0.109234,0.112282,0.101856,0.103635,118276,-
Feb 17 2018,0.111920,0.115787,0.107319,0.109012,168085,-
Feb 16 2018,0.110650,0.112583,0.107193,0.111930,165505,-
Feb 15 2018,0.120872,0.122633,0.108454,0.110750,258483,-
Feb 14 2018,0.111552,0.121596,0.111329,0.120856,146168,-
Feb 13 2018,0.113124,0.117731,0.111016,0.111559,117925,-
Feb 12 2018,0.107088,0.117592,0.107074,0.113075,64863,-
Feb 11 2018,0.112795,0.114380,0.103167,0.106933,33090,-
Feb 10 2018,0.116884,0.120806,0.109841,0.112813,82214,-
Feb 09 2018,0.117988,0.121246,0.108679,0.116890,134751,-
Feb 08 2018,0.115011,0.124994,0.110546,0.117846,108549,-
Feb 07 2018,0.107406,0.122558,0.101213,0.115114,133298,-
Feb 06 2018,0.100691,0.112261,0.086395,0.107691,137942,-
Feb 05 2018,0.134930,0.139239,0.100483,0.100591,233879,-
Feb 04 2018,0.133609,0.144061,0.130533,0.135345,225898,-
Feb 03 2018,0.126227,0.138553,0.122503,0.133656,113009,-
Feb 02 2018,0.126536,0.132402,0.109859,0.125947,170647,-
Feb 01 2018,0.131765,0.136786,0.122889,0.126671,158631,-
Jan 31 2018,0.124335,0.134970,0.119299,0.131593,55613,-
Jan 30 2018,0.146029,0.149883,0.124197,0.124197,153688,-
Jan 29 2018,0.147748,0.149390,0.137398,0.146016,112745,-
Jan 28 2018,0.140205,0.147687,0.138242,0.146626,44082,-
Jan 27 2018,0.136676,0.147105,0.133017,0.140029,106697,-
Jan 26 2018,0.152241,0.171404,0.123754,0.136684,291659,-
Jan 25 2018,0.116547,0.169399,0.115482,0.146837,342894,-
Jan 24 2018,0.125474,0.130201,0.082382,0.116241,296973,-
Jan 23 2018,0.133658,0.139253,0.114328,0.125549,62912,-
Jan 22 2018,0.124697,0.139136,0.118989,0.133671,65334,-
Jan 21 2018,0.136164,0.136466,0.111349,0.124518,35423,-
Jan 20 2018,0.115965,0.138820,0.112813,0.136103,42127,-
Jan 19 2018,0.114591,0.122773,0.098305,0.115797,41602,-
Jan 18 2018,0.104047,0.121627,0.103169,0.114606,40942,-
Jan 17 2018,0.102245,0.109663,0.073080,0.103880,44863,-
Jan 16 2018,0.165693,0.165693,0.098830,0.100801,76457,-
Jan 15 2018,0.174892,0.182424,0.158089,0.165966,89185,-
Jan 14 2018,0.171623,0.185248,0.166056,0.175276,110435,-
Jan 13 2018,0.191125,0.193270,0.171590,0.171590,180629,-
