Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.150554,0.165902,0.150046,0.162855,172,3356440
Mar 30 2018,0.186532,0.187422,0.134685,0.150531,1088,4158520
Mar 29 2018,0.222110,0.222482,0.172517,0.186997,5213,4951700
Mar 28 2018,0.151998,0.261508,0.151154,0.221850,23927,3388630
Mar 27 2018,0.163381,0.166741,0.151839,0.152033,685,3642400
Mar 26 2018,0.168882,0.175112,0.157122,0.163629,2332,3765040
Mar 25 2018,0.175758,0.178070,0.160711,0.169011,6230,3918340
Mar 24 2018,0.435434,0.435434,0.158165,0.178211,42605,9707520
Mar 23 2018,0.184811,0.476104,0.157014,0.429184,112107,4120150
Mar 22 2018,0.208511,0.216854,0.184306,0.184830,499,4648520
Mar 21 2018,0.225369,0.233063,0.206928,0.208892,454,5024340
Mar 20 2018,0.176508,0.236932,0.150041,0.224961,6502,3935060
Mar 19 2018,0.166912,0.202618,0.165784,0.174047,931,3721120
Mar 18 2018,0.192905,0.192905,0.147910,0.183597,2456,4300610
Mar 17 2018,0.196993,0.201380,0.180429,0.193376,148,4391730
Mar 16 2018,0.215458,0.223431,0.172042,0.196668,209,4803400
Mar 15 2018,0.213052,0.217629,0.194546,0.215612,308,4749750
Mar 14 2018,0.245202,0.250820,0.203977,0.213103,2948,5466510
Mar 13 2018,0.237552,0.247734,0.233132,0.245168,2453,5295960
Mar 12 2018,0.264760,0.274414,0.230347,0.238905,3547,5902530
Mar 11 2018,0.239307,0.269644,0.231187,0.265597,508,5335090
Mar 10 2018,0.228991,0.260761,0.212665,0.240133,494,5105100
Mar 09 2018,0.282984,0.286322,0.218375,0.228899,7429,6308820
Mar 08 2018,0.299437,0.304159,0.240912,0.284788,5324,6675610
Mar 07 2018,0.334884,0.338307,0.276264,0.299862,1652,7465870
Mar 06 2018,0.349140,0.349140,0.319470,0.332988,1972,7783700
Mar 05 2018,0.357000,0.367100,0.322410,0.350514,11325,7958930
Mar 04 2018,0.354373,0.357262,0.288307,0.357262,9693,7900340
Mar 03 2018,0.285071,0.357251,0.285071,0.354984,10165,6355350
Mar 02 2018,0.299414,0.303986,0.271423,0.285420,2076,6675100
Mar 01 2018,0.309646,0.320995,0.286533,0.300186,307,6903220
Feb 28 2018,0.272369,0.319271,0.267818,0.309191,2522,6072170
Feb 27 2018,0.280939,0.310118,0.271038,0.272691,1757,6263210
Feb 26 2018,0.223558,0.282351,0.217373,0.280130,9668,4983970
Feb 25 2018,0.239241,0.243391,0.209973,0.223272,4924,5333600
Feb 24 2018,0.235628,0.250583,0.215544,0.239605,1621,5253070
Feb 23 2018,0.231651,0.239764,0.223201,0.235908,1341,5164410
Feb 22 2018,0.241127,0.253247,0.225248,0.231868,941,5375670
Feb 21 2018,0.262402,0.301011,0.236706,0.241370,1480,5849970
Feb 20 2018,0.305051,0.322298,0.257113,0.262741,13628,6800770
