Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.004045,0.004415,0.003518,0.003558,727,2324320
Mar 30 2018,0.004526,0.004547,0.004043,0.004044,412,2601200
Mar 29 2018,0.004132,0.004739,0.004020,0.004537,806,2374370
Mar 28 2018,0.004287,0.004341,0.004087,0.004127,1655,2463690
Mar 27 2018,0.004507,0.004611,0.004278,0.004288,417,2589900
Mar 26 2018,0.004637,0.004661,0.004362,0.004513,1155,2664760
Mar 25 2018,0.004756,0.005157,0.004621,0.004640,466,2733100
Mar 24 2018,0.005293,0.005293,0.004805,0.004815,233,3041930
Mar 23 2018,0.004859,0.005230,0.004669,0.005230,125,2792640
Mar 22 2018,0.005218,0.005328,0.004760,0.004860,54,2998810
Mar 21 2018,0.004964,0.005491,0.004910,0.005228,436,2852590
Mar 20 2018,0.004859,0.005366,0.004771,0.004955,1856,2792180
Mar 19 2018,0.004676,0.006214,0.004651,0.004813,340,2687010
Mar 18 2018,0.004691,0.004970,0.004515,0.004695,775,2696060
Mar 17 2018,0.004877,0.005405,0.004605,0.004703,291,2802630
Mar 16 2018,0.004954,0.005066,0.004624,0.004869,125,2847160
Mar 15 2018,0.005335,0.005368,0.004621,0.004956,276,3065660
Mar 14 2018,0.005318,0.005839,0.004959,0.005337,5794,3056100
Mar 13 2018,0.005133,0.005468,0.004935,0.005317,238,2949800
Mar 12 2018,0.005458,0.005894,0.005018,0.005163,375,3136340
Mar 11 2018,0.005461,0.005917,0.004852,0.005471,338,3138130
Mar 10 2018,0.005062,0.005972,0.005062,0.005479,757,2908780
Mar 09 2018,0.005853,0.005905,0.004559,0.005060,2092,3363540
Mar 08 2018,0.006266,0.006422,0.005784,0.005881,1752,3600770
Mar 07 2018,0.006860,0.007157,0.006249,0.006274,1206,3942480
Mar 06 2018,0.007589,0.007589,0.006527,0.006869,595,4361030
Mar 05 2018,0.006892,0.007885,0.006650,0.007609,2261,3960970
Mar 04 2018,0.007318,0.007323,0.006380,0.006897,1487,4205710
Mar 03 2018,0.007202,0.007889,0.007193,0.007332,862,4139010
Mar 02 2018,0.007186,0.007879,0.007128,0.007774,890,4129870
Mar 01 2018,0.006201,0.007235,0.006098,0.007204,2494,3563700
Feb 28 2018,0.005862,0.006903,0.005718,0.006192,1952,3368830
Feb 27 2018,0.005928,0.006254,0.005355,0.005869,2091,3406600
Feb 26 2018,0.006490,0.006511,0.005507,0.005912,525,3729760
Feb 25 2018,0.006024,0.006656,0.005059,0.006482,1636,3461890
Feb 24 2018,0.005215,0.006578,0.005213,0.006028,288,2997220
Feb 23 2018,0.006117,0.006538,0.005219,0.005222,153,3515370
Feb 22 2018,0.006974,0.007182,0.005992,0.006120,778,4007890
Feb 21 2018,0.006939,0.007164,0.006362,0.006979,1546,3987790
Feb 20 2018,0.007279,0.008074,0.006748,0.006947,4752,4183340
Feb 19 2018,0.007374,0.007760,0.006741,0.007273,2945,4237650
Feb 18 2018,0.007703,0.007802,0.007237,0.007396,661,4426660
Feb 17 2018,0.007107,0.007846,0.006747,0.007676,1096,4084420
Feb 16 2018,0.006826,0.007554,0.006383,0.006572,2430,3922720
Feb 15 2018,0.006497,0.006998,0.005999,0.006779,1736,3733710
Feb 14 2018,0.005615,0.006705,0.005615,0.006494,2455,3226850
Feb 13 2018,0.005609,0.006063,0.005312,0.005629,1428,3223500
Feb 12 2018,0.005618,0.005897,0.004857,0.005599,2764,3228470
Feb 11 2018,0.005645,0.005750,0.005159,0.005590,833,3244110
Feb 10 2018,0.006124,0.006757,0.005553,0.005648,1951,3519210
Feb 09 2018,0.006262,0.006748,0.005529,0.006121,2199,3598750
Feb 08 2018,0.004644,0.006373,0.004644,0.006241,2226,2668990
Feb 07 2018,0.004858,0.005645,0.004553,0.004886,1504,2791950
Feb 06 2018,0.005290,0.005504,0.004091,0.004907,1471,3039900
Feb 05 2018,0.005930,0.006036,0.004921,0.005285,207,3408110
Feb 04 2018,0.006842,0.007054,0.005777,0.005987,1343,3932010
Feb 03 2018,0.006123,0.007155,0.005092,0.006839,2812,3518630
Feb 02 2018,0.006663,0.006981,0.005736,0.006103,1553,3829080
Feb 01 2018,0.008412,0.008477,0.005861,0.006674,2458,4834400
Jan 31 2018,0.007837,0.008407,0.007374,0.008400,2864,4503880
Jan 30 2018,0.009406,0.009794,0.007633,0.007825,9156,5405210
Jan 29 2018,0.010331,0.011210,0.009072,0.009405,3992,5936920
Jan 28 2018,0.010112,0.011334,0.009492,0.010702,3978,5810980
Jan 27 2018,0.009997,0.010865,0.008936,0.010152,5739,5745010
Jan 26 2018,0.009716,0.010615,0.008624,0.010003,13563,5583560
Jan 25 2018,0.009343,0.011370,0.009029,0.010119,15316,5369300
Jan 24 2018,0.007862,0.009208,0.007653,0.009196,14604,4518360
Jan 23 2018,0.009570,0.009931,0.007553,0.007865,7742,5499730
Jan 22 2018,0.011007,0.011793,0.009214,0.009585,2371,6325470
Jan 21 2018,0.012545,0.012963,0.010623,0.010660,6154,7209180
