Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.022360,0.024026,0.021986,0.022221,165,215788
Mar 30 2018,0.022850,0.023855,0.020895,0.022356,594,220271
Mar 29 2018,0.025559,0.025631,0.022042,0.022906,604,246073
Mar 28 2018,0.026055,0.028266,0.025198,0.025530,803,250500
Mar 27 2018,0.029078,0.029167,0.025155,0.026060,485,279259
Mar 26 2018,0.030159,0.031372,0.027875,0.029127,546,289263
Mar 25 2018,0.032157,0.032495,0.029514,0.030170,623,308057
Mar 24 2018,0.034754,0.036950,0.031362,0.032605,955,332522
Mar 23 2018,0.031423,0.040206,0.031423,0.034255,2497,300274
Mar 22 2018,0.032820,0.033942,0.030607,0.031424,1260,313244
Mar 21 2018,0.033040,0.034509,0.031561,0.032879,1334,314965
Mar 20 2018,0.035636,0.051159,0.031295,0.032980,9527,339271
Mar 19 2018,0.033905,0.036740,0.029939,0.035245,3426,322387
Mar 18 2018,0.038445,0.038445,0.033335,0.034047,1936,365103
Mar 17 2018,0.044717,0.044717,0.037699,0.038539,837,424173
Mar 16 2018,0.045379,0.048199,0.042486,0.044644,2580,429883
Mar 15 2018,0.046001,0.055173,0.041660,0.045404,3440,435226
Mar 14 2018,0.039513,0.091112,0.038638,0.046021,22463,373345
Mar 13 2018,0.038255,0.105852,0.034665,0.039507,28343,361022
Mar 12 2018,0.038519,0.041871,0.037082,0.038476,1755,363016
Mar 11 2018,0.035619,0.042572,0.034402,0.038643,918,335270
Mar 10 2018,0.035737,0.042069,0.035245,0.035742,1102,335939
Mar 09 2018,0.036487,0.038118,0.032296,0.035722,955,342526
Mar 08 2018,0.040418,0.040856,0.033690,0.036626,894,379007
Mar 07 2018,0.037986,0.044862,0.036901,0.040474,1151,355757
Mar 06 2018,0.041992,0.043350,0.037545,0.038984,1127,392804
Mar 05 2018,0.041214,0.043965,0.040304,0.042094,773,385057
Mar 04 2018,0.043568,0.050755,0.040473,0.041243,1351,406532
Mar 03 2018,0.044494,0.052151,0.042820,0.043535,545,414602
Mar 02 2018,0.045198,0.049025,0.043675,0.044549,1356,420677
Mar 01 2018,0.051461,0.051749,0.042183,0.045314,739,478337
Feb 28 2018,0.050918,0.055003,0.049070,0.051385,2123,472694
Feb 27 2018,0.052330,0.054455,0.050414,0.050978,1302,485166
Feb 26 2018,0.051263,0.065238,0.049402,0.052190,1895,474653
Feb 25 2018,0.057689,0.110449,0.049929,0.051197,1605,533459
Feb 24 2018,0.052000,0.070798,0.051524,0.057776,3432,480232
Feb 23 2018,0.049230,0.055875,0.047819,0.052064,1628,454074
Feb 22 2018,0.053774,0.061607,0.049167,0.049270,1095,495368
Feb 21 2018,0.057560,0.058426,0.049649,0.053829,1684,529576
Feb 20 2018,0.060763,0.071272,0.057026,0.057632,2168,558315
Feb 19 2018,0.050434,0.068590,0.049977,0.060708,3734,462293
Feb 18 2018,0.056605,0.057964,0.050079,0.050667,1324,518627
Feb 17 2018,0.049115,0.061540,0.048569,0.056433,2342,449489
Feb 16 2018,0.048761,0.053824,0.046418,0.049127,1249,445669
Feb 15 2018,0.048225,0.051912,0.046786,0.048973,902,440158
Feb 14 2018,0.046106,0.051479,0.044306,0.048199,1241,420286
Feb 13 2018,0.044973,0.049529,0.042204,0.046243,1356,409452
Feb 12 2018,0.040524,0.052768,0.040524,0.044892,1526,368482
Feb 11 2018,0.042943,0.044266,0.039043,0.040267,662,389995
Feb 10 2018,0.045951,0.054845,0.041221,0.042980,1720,416679
Feb 09 2018,0.044639,0.046822,0.042035,0.045918,891,404312
Feb 08 2018,0.044660,0.049746,0.042125,0.044503,1820,403997
Feb 07 2018,0.043607,0.049226,0.041705,0.044830,2336,393972
Feb 06 2018,0.040551,0.060484,0.034475,0.044492,6261,365824
Feb 05 2018,0.047902,0.048799,0.038889,0.040518,1284,431585
Feb 04 2018,0.055169,0.055245,0.045626,0.048330,889,496428
Feb 03 2018,0.048891,0.055938,0.044640,0.055137,2326,439355
Feb 02 2018,0.056722,0.056722,0.045480,0.049164,1513,509066
Feb 01 2018,0.076557,0.077302,0.049664,0.056840,2892,686147
Jan 31 2018,0.073132,0.076384,0.063604,0.076376,24238,654644
Jan 30 2018,0.079303,0.084782,0.070539,0.073019,4331,708921
Jan 29 2018,0.087863,0.091343,0.078054,0.079279,2460,784392
Jan 28 2018,0.073764,0.089677,0.072868,0.087948,4633,657556
Jan 27 2018,0.080072,0.086533,0.073244,0.075232,1828,713029
Jan 26 2018,0.078045,0.093629,0.073007,0.080125,4080,693953
Jan 25 2018,0.087198,0.094620,0.073113,0.078253,12991,774269
Jan 24 2018,0.093525,0.094741,0.070484,0.085787,5999,829340
Jan 23 2018,0.084043,0.109411,0.067062,0.093579,11453,744272
Jan 22 2018,0.073222,0.137210,0.071064,0.076197,24474,647615
Jan 21 2018,0.081685,0.102817,0.070890,0.072250,5735,721376
Jan 20 2018,0.069702,0.176543,0.065263,0.081496,30001,614776
Jan 19 2018,0.053529,0.079042,0.052740,0.068952,3159,471543
Jan 18 2018,0.065985,0.077823,0.051440,0.054049,5627,580364
Jan 17 2018,0.077502,0.079550,0.053396,0.065460,3178,680800
Jan 16 2018,0.082874,0.086864,0.055893,0.073956,10605,726973
Jan 15 2018,0.085777,0.106456,0.077601,0.082771,5008,751461
Jan 14 2018,0.097259,0.103124,0.080450,0.086440,4687,850659
Jan 13 2018,0.097299,0.111916,0.095650,0.097197,4521,850657
Jan 12 2018,0.099853,0.110462,0.085526,0.097411,4842,872269
Jan 11 2018,0.106600,0.110418,0.082909,0.099200,3988,931207
Jan 10 2018,0.113239,0.123539,0.091806,0.106711,5585,988380
Jan 09 2018,0.202283,0.214742,0.098435,0.113080,6522,1763380
Jan 08 2018,0.116900,0.202591,0.091395,0.202591,8156,1018230
Jan 07 2018,0.086280,0.160378,0.082499,0.117073,19560,750578
Jan 06 2018,0.094222,0.099319,0.075459,0.086363,1983,818994
Jan 05 2018,0.090430,0.100056,0.081678,0.091782,2511,784870
Jan 04 2018,0.074442,0.090406,0.061757,0.090406,5172,645372
Jan 03 2018,0.087503,0.090332,0.068066,0.074049,1710,757260
Jan 02 2018,0.077691,0.088158,0.066268,0.087800,2008,671785
Jan 01 2018,0.056654,0.093876,0.055688,0.077638,4786,489884
Dec 31 2017,0.058227,0.094423,0.040320,0.056440,4171,503092
Dec 30 2017,0.066845,0.091833,0.048946,0.058859,5215,576835
Dec 29 2017,0.041453,0.068205,0.040580,0.066990,2721,357567
Dec 28 2017,0.039897,0.042280,0.035981,0.041112,1410,343754
Dec 27 2017,0.047842,0.048232,0.037710,0.039973,967,411654
Dec 26 2017,0.040525,0.065736,0.040525,0.047811,1930,348186
Dec 25 2017,0.057427,0.059265,0.040173,0.040834,741,492690
Dec 24 2017,0.053623,0.058245,0.041287,0.057056,3997,459475
Dec 23 2017,0.039350,0.067949,0.037370,0.053682,1743,337034
Dec 22 2017,0.051568,0.052357,0.034539,0.039015,478,441310
Dec 21 2017,0.046013,0.054777,0.045486,0.051508,1509,393442
Dec 20 2017,0.049137,0.051359,0.043895,0.045907,1468,419443
Dec 19 2017,0.056187,0.057623,0.044853,0.049137,800,479424
Dec 18 2017,0.056976,0.069717,0.056140,0.056140,1298,485951
Dec 17 2017,0.058482,0.077041,0.053492,0.057015,3968,497949
Dec 16 2017,0.047119,0.062651,0.042846,0.058322,2128,400690
Dec 15 2017,0.039149,0.047634,0.039133,0.047064,1647,332911
Dec 14 2017,0.052787,0.055127,0.039066,0.039085,4027,448508
Dec 13 2017,0.068974,0.070429,0.049130,0.052937,3499,585145
Dec 12 2017,0.054798,0.073533,0.053933,0.068906,2250,464482
Dec 11 2017,0.064689,0.082108,0.054030,0.054612,7047,547622
Dec 10 2017,0.072059,0.082132,0.061443,0.065258,3013,609236
Dec 09 2017,0.074065,0.106323,0.071066,0.071818,2467,625663
Dec 08 2017,0.074294,0.091273,0.060539,0.073756,3382,626550
Dec 07 2017,0.069820,0.096711,0.063255,0.074139,8340,588316
Dec 06 2017,0.083202,0.097545,0.064505,0.069911,27437,700176
Dec 05 2017,0.026447,0.111774,0.026136,0.083385,85404,222228
Dec 04 2017,0.026222,0.032584,0.023838,0.026392,2154,220046
Dec 03 2017,0.024251,0.030964,0.022307,0.026203,653,203179
Dec 02 2017,0.023731,0.026889,0.022207,0.024191,377,198547
Dec 01 2017,0.026053,0.028132,0.021880,0.023756,3338,217667
Nov 30 2017,0.027214,0.029712,0.022271,0.026118,1221,227034
Nov 29 2017,0.022025,0.029043,0.021910,0.026848,887,183489
Nov 28 2017,0.023206,0.025223,0.021546,0.022076,474,193054
Nov 27 2017,0.020276,0.023209,0.020276,0.023175,322,168419
Nov 26 2017,0.020860,0.025308,0.019700,0.020270,2964,173051
Nov 25 2017,0.021695,0.021720,0.018941,0.020867,601,179702
Nov 24 2017,0.019893,0.022516,0.018830,0.021746,753,164543
Nov 23 2017,0.022852,0.023403,0.020008,0.020008,288,188744
Nov 22 2017,0.022743,0.024745,0.020096,0.022974,631,187586
Nov 21 2017,0.023769,0.023826,0.019619,0.022690,466,195775
Nov 20 2017,0.019309,0.024466,0.019023,0.023767,551,158813
Nov 19 2017,0.020189,0.022189,0.019078,0.019318,1473,165777
Nov 18 2017,0.021144,0.021424,0.019662,0.020225,207,173436
