Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.111993,0.286107,0.111665,0.154054,35,895942
Mar 30 2018,0.240352,0.241499,0.091205,0.111976,32,1922820
Mar 29 2018,0.255357,0.256123,0.209445,0.240951,2,2042860
Mar 28 2018,0.323152,0.328582,0.228930,0.255261,12,2585220
Mar 27 2018,0.332234,0.337229,0.317737,0.323226,34,2657870
Mar 26 2018,0.348349,0.350246,0.278151,0.332737,52,2786790
Mar 25 2018,0.133777,0.355847,0.121981,0.348633,273,1070220
Mar 24 2018,0.119228,0.371379,0.108973,0.156169,641,953828
Mar 23 2018,0.288362,0.339638,0.102510,0.117913,431,2306900
Mar 22 2018,0.255164,0.289722,0.248965,0.288369,3,2041310
Mar 21 2018,0.381725,0.390597,0.245049,0.254556,120,3053800
Mar 20 2018,0.284912,0.385852,0.275763,0.381047,407,2279290
Mar 19 2018,0.272062,0.286772,0.269607,0.281768,11,2176490
Mar 17 2018,0.349209,0.352963,0.328717,0.330530,2,2793670
Mar 16 2018,0.415022,0.418350,0.194370,0.348639,91,3320170
Mar 15 2018,0.405182,0.420714,0.400470,0.415474,3,3241460
Mar 13 2018,0.212723,0.219745,0.207265,0.208494,15,1701780
Mar 12 2018,0.404876,0.412187,0.205484,0.212891,22,3239010
Mar 11 2018,0.443360,0.443360,0.361097,0.406155,1423,3546880
Mar 10 2018,0.470590,0.481397,0.440685,0.445485,0,3764720
Mar 09 2018,0.412208,0.427521,0.372074,0.426656,173,3297670
Mar 08 2018,0.503882,0.516883,0.392976,0.414836,550,4031060
Mar 07 2018,0.494805,0.556089,0.469509,0.503895,2271,3958440
Mar 06 2018,0.567673,0.573183,0.536248,0.571973,6,4541380
Mar 05 2018,0.574306,0.643607,0.202979,0.569126,18,4594450
Mar 04 2018,0.486421,0.609982,0.473586,0.574858,1233,3891370
Mar 03 2018,0.468324,0.607719,0.468324,0.487262,50,3746590
Mar 02 2018,0.467330,0.477892,0.463096,0.468897,427,3738640
Mar 01 2018,0.166439,0.585142,0.165142,0.468534,10,1331510
Feb 28 2018,0.650316,0.652831,0.166046,0.166194,167,5202530
Feb 27 2018,0.225783,0.679063,0.224574,0.651084,5189,1806270
Feb 26 2018,0.317793,0.348783,0.225133,0.225133,31,2542350
Feb 25 2018,0.172350,0.417919,0.169543,0.317387,1667,1378800
Feb 24 2018,0.163366,0.172945,0.154230,0.172611,34,1306930
Feb 23 2018,0.324881,0.341735,0.316863,0.329482,314,2599050
Feb 22 2018,0.161817,0.443014,0.159822,0.325185,318,1294530
Feb 21 2018,0.468574,0.474469,0.157855,0.161966,22,3748590
Feb 20 2018,0.461282,0.492201,0.109111,0.468547,75,3690250
Feb 19 2018,0.466611,0.748874,0.452775,0.460983,5162,3732890
Feb 18 2018,0.410931,0.499615,0.378281,0.468810,172,3287450
Feb 17 2018,0.537848,0.564503,0.332404,0.409676,280,4302780
Feb 16 2018,0.650615,0.663809,0.508560,0.537889,204,5204920
Feb 15 2018,0.326718,0.685164,0.326136,0.650258,1019,2613740
Feb 14 2018,0.347531,0.358545,0.250883,0.327488,667,2780250
Feb 13 2018,0.529582,0.531991,0.344405,0.348054,117,4236650
Feb 12 2018,0.568354,0.621665,0.513989,0.528620,116,4546830
Feb 11 2018,0.596170,0.596170,0.171415,0.564789,4443,4769360
Feb 10 2018,0.651192,0.754323,0.237897,0.596709,1790,5209540
Feb 09 2018,0.614171,0.653149,0.512156,0.650727,225,4913370
Feb 08 2018,0.516394,0.628976,0.320324,0.612288,917,4131150
Feb 07 2018,0.495142,0.648937,0.262333,0.518467,2815,3961130
Feb 06 2018,0.358190,0.502073,0.147966,0.499672,1870,2865520
Feb 05 2018,0.356013,0.416065,0.344000,0.357738,122,2848110
Feb 04 2018,0.642089,0.642089,0.345081,0.356869,71,5136710
Feb 03 2018,0.739062,0.788310,0.631232,0.641742,564,5912490
Feb 02 2018,0.496277,0.741518,0.414199,0.736548,2653,3970210
Feb 01 2018,0.603353,0.606531,0.452316,0.497963,846,4826820
Jan 31 2018,0.631124,0.646864,0.543141,0.602205,2794,5048990
Jan 30 2018,0.730128,0.872760,0.587139,0.630103,5184,5841020
Jan 29 2018,0.907893,0.916858,0.588431,0.729570,1969,7263150
Jan 28 2018,1.02,1.15,0.705762,0.910352,1673,8150100
Jan 27 2018,0.924173,1.04,0.911047,1.02,3116,7393380
Jan 26 2018,1.21,1.26,0.861363,0.924378,1332,9713580
Jan 25 2018,1.13,1.25,0.958465,1.21,4399,9029430
Jan 24 2018,0.824340,1.13,0.807115,1.12,1326,6594720
Jan 23 2018,0.960585,0.970925,0.642635,0.824593,3910,7684680
Jan 22 2018,1.08,1.10,0.902445,0.963135,3207,8669450
Jan 21 2018,1.22,1.22,1.04,1.08,671,9733150
Jan 20 2018,1.20,1.41,0.967483,1.21,4668,9619260
