Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000808,0.001059,0.000668,0.000945,572,129287
Mar 30 2018,0.000813,0.000818,0.000679,0.000808,129,130120
Mar 29 2018,0.000874,0.000952,0.000812,0.000815,200,139766
Mar 28 2018,0.000779,0.000891,0.000756,0.000873,436,124589
Mar 27 2018,0.000822,0.000825,0.000639,0.000779,225,131599
Mar 26 2018,0.001040,0.001049,0.000793,0.000824,702,166453
Mar 25 2018,0.000953,0.001470,0.000799,0.001041,4125,152558
Mar 24 2018,0.000891,0.001006,0.000845,0.000967,75,142590
Mar 23 2018,0.000892,0.000936,0.000834,0.000878,93,142739
Mar 22 2018,0.000819,0.001136,0.000757,0.000892,135,130990
Mar 21 2018,0.000763,0.000984,0.000740,0.000820,243,122133
Mar 20 2018,0.001104,0.001104,0.000727,0.000762,463,176717
Mar 19 2018,0.000896,0.001094,0.000896,0.001092,155,143407
Mar 18 2018,0.000904,0.000904,0.000659,0.000900,696,144709
Mar 17 2018,0.000975,0.001154,0.000756,0.000907,1079,156067
Mar 16 2018,0.000854,0.001060,0.000803,0.000974,328,136592
Mar 15 2018,0.001231,0.001318,0.000258,0.000854,3229,196970
Mar 14 2018,0.001671,0.001750,0.001199,0.001232,483,267303
Mar 13 2018,0.001507,0.002291,0.001499,0.001671,3329,241198
Mar 12 2018,0.000859,0.002039,0.000817,0.001623,9182,137438
Mar 11 2018,0.001053,0.001264,0.000850,0.000862,551,168485
Mar 10 2018,0.001047,0.001129,0.000930,0.001057,408,167529
Mar 09 2018,0.001022,0.001238,0.000849,0.001047,341,163564
Mar 08 2018,0.000998,0.001323,0.000965,0.001029,215,159712
Mar 07 2018,0.001072,0.001405,0.000954,0.001000,66,171503
Mar 06 2018,0.001151,0.001642,0.001061,0.001073,192,184084
Mar 05 2018,0.001925,0.001935,0.001154,0.001154,770,307942
Mar 04 2018,0.001716,0.001954,0.001452,0.001926,127,274556
Mar 03 2018,0.001433,0.001799,0.001375,0.001719,1934,229203
Mar 02 2018,0.001438,0.001661,0.001408,0.001434,757,230026
Mar 01 2018,0.001342,0.001443,0.001332,0.001441,27,214761
Feb 28 2018,0.001508,0.001732,0.001339,0.001340,441,241280
Feb 27 2018,0.001450,0.001535,0.001392,0.001510,248,231969
Feb 26 2018,0.001626,0.001661,0.001332,0.001446,280,260223
Feb 25 2018,0.001357,0.001698,0.000932,0.001624,3627,217191
Feb 24 2018,0.001218,0.001362,0.001128,0.001360,197,194816
Feb 23 2018,0.001280,0.001345,0.001191,0.001219,94,204730
Feb 22 2018,0.001361,0.001527,0.001279,0.001281,628,217683
Feb 21 2018,0.001137,0.001433,0.001093,0.001362,338,181858
Feb 20 2018,0.001563,0.001628,0.001126,0.001138,185,250045
Feb 19 2018,0.001253,0.001758,0.000847,0.001561,1365,200483
Feb 18 2018,0.001961,0.001961,0.001069,0.001259,2196,313742
Feb 17 2018,0.001631,0.001977,0.001610,0.001955,215,260998
Feb 16 2018,0.001515,0.001824,0.001469,0.001632,121,242367
Feb 15 2018,0.001856,0.001890,0.001357,0.001521,349,297013
Feb 14 2018,0.001588,0.002055,0.001407,0.001857,115,254076
Feb 13 2018,0.001424,0.002689,0.001298,0.001593,391,227777
Feb 12 2018,0.001601,0.003929,0.001310,0.001421,690,256212
Feb 11 2018,0.001069,0.001715,0.000997,0.001591,173,171060
Feb 10 2018,0.001651,0.001688,0.000990,0.001070,211,264142
Feb 09 2018,0.001487,0.001742,0.001323,0.001650,381,237920
