Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.623536,0.679208,0.612791,0.612791,6649,3908370
Mar 30 2018,0.629690,0.663672,0.579393,0.623335,8259,3946950
Mar 29 2018,0.735760,0.737195,0.612882,0.631197,5460,4611800
Mar 28 2018,0.693191,0.748096,0.689748,0.735304,6875,4344980
Mar 27 2018,0.772359,0.773442,0.645439,0.693380,21679,4841210
Mar 26 2018,0.776788,0.797680,0.742941,0.773665,3793,4868970
Mar 25 2018,0.779069,0.819613,0.760302,0.777349,3511,4883270
Mar 24 2018,0.855131,0.908244,0.787566,0.789274,8313,5360030
Mar 23 2018,0.842803,0.843447,0.798541,0.843447,2029,5282760
Mar 22 2018,0.854191,0.870418,0.817412,0.842785,13117,5354140
Mar 21 2018,0.805080,0.900155,0.803989,0.855554,24766,5046300
Mar 20 2018,0.736247,0.819405,0.692770,0.803647,23961,4614860
Mar 19 2018,0.739968,0.787403,0.718783,0.729537,9624,4638180
Mar 18 2018,0.709534,0.746321,0.615647,0.743044,9275,4447420
Mar 17 2018,0.829655,0.829655,0.706239,0.710249,21111,5200350
Mar 16 2018,0.879104,0.883121,0.772692,0.828427,19764,5510300
Mar 15 2018,0.917996,0.975773,0.865710,0.879581,13637,5754080
Mar 14 2018,0.948847,0.969048,0.845383,0.918989,16005,5947450
Mar 13 2018,0.977128,1.01,0.921910,0.948754,3046,6124720
Mar 12 2018,1.06,1.09,0.919923,0.976667,8613,6671120
Mar 11 2018,0.952017,1.09,0.919443,1.07,5972,5967320
Mar 10 2018,1.01,1.15,0.950562,0.955288,52788,6316390
Mar 09 2018,1.08,1.09,0.932254,1.01,9421,6756270
Mar 08 2018,1.18,1.25,1.07,1.08,9523,7397110
Mar 07 2018,1.30,1.36,1.16,1.18,11448,8140560
Mar 06 2018,1.44,1.44,1.24,1.30,16013,9016970
Mar 05 2018,1.50,1.53,1.44,1.44,8138,9398560
Mar 04 2018,1.57,1.73,1.47,1.50,37900,9841900
Mar 03 2018,1.34,1.61,1.33,1.57,87522,8381610
Mar 02 2018,1.22,1.35,1.16,1.34,39996,7627070
Mar 01 2018,1.02,1.22,1.01,1.20,33764,6400890
Feb 28 2018,1.08,1.13,1.02,1.02,22816,6757120
Feb 27 2018,1.07,1.13,1.04,1.08,27204,6683540
Feb 26 2018,1.03,1.10,0.966635,1.06,22172,6485080
Feb 25 2018,0.978061,1.07,0.962091,1.03,16473,6130560
Feb 24 2018,1.02,1.08,0.956338,0.977452,16893,6400010
Feb 23 2018,1.05,1.14,1.00,1.02,15809,6575450
Feb 22 2018,1.06,1.10,0.939433,1.05,27843,6673510
Feb 21 2018,1.16,1.19,1.05,1.07,23060,7244290
Feb 20 2018,1.28,1.32,1.14,1.16,21663,8037930
Feb 19 2018,1.17,1.28,1.10,1.28,96028,7351780
Feb 18 2018,1.45,1.48,1.18,1.18,37207,9111070
Feb 17 2018,1.38,1.49,1.36,1.45,11660,8631980
Feb 16 2018,1.49,1.53,1.36,1.38,15038,9312820
Feb 15 2018,1.43,1.56,1.40,1.49,35200,8986390
Feb 14 2018,1.18,1.46,1.14,1.43,66039,7401340
Feb 13 2018,1.14,1.30,1.13,1.21,65603,7121620
Feb 12 2018,1.03,1.15,1.03,1.13,10889,6460900
Feb 11 2018,1.15,1.15,0.990938,1.02,9698,7226490
Feb 10 2018,1.11,1.18,1.10,1.15,29058,6927660
Feb 09 2018,1.02,1.13,0.970379,1.10,26243,6393580
Feb 08 2018,0.941625,1.09,0.920812,1.02,14991,5902180
Feb 07 2018,0.860930,1.10,0.808007,0.956647,19367,5396380
Feb 06 2018,0.784813,0.886688,0.660304,0.869071,8527,4919270
Feb 05 2018,1.00,1.06,0.753620,0.784425,11081,6293630
Feb 04 2018,1.21,1.21,0.954067,1.01,10660,7591160
Feb 03 2018,0.932423,1.21,0.868870,1.21,37848,5844500
Feb 02 2018,1.04,1.04,0.860836,0.945604,19668,6526610
Feb 01 2018,1.21,1.25,0.969691,1.04,20276,7614440
Jan 31 2018,1.29,1.31,1.17,1.21,23876,8096660
Jan 30 2018,1.50,1.53,1.26,1.29,40224,9413150
Jan 29 2018,1.60,1.61,1.46,1.50,14723,10009700
Jan 28 2018,1.63,1.70,1.51,1.60,33082,10215300
Jan 27 2018,1.50,1.66,1.45,1.62,31430,9419200
Jan 26 2018,1.53,1.60,1.39,1.50,13448,9577640
Jan 25 2018,1.62,1.67,1.49,1.53,43143,10128100
Jan 24 2018,1.59,1.59,1.47,1.58,30503,9951390
Jan 23 2018,1.60,1.68,1.46,1.59,27704,10013700
Jan 22 2018,1.74,1.87,1.51,1.60,40385,10918100
Jan 21 2018,1.90,1.99,1.65,1.72,44672,11901800
Jan 20 2018,1.78,1.94,1.73,1.89,34901,11148400
Jan 19 2018,1.67,1.97,1.65,1.78,79573,10456900
Jan 18 2018,1.49,1.78,1.45,1.69,56404,9310990
Jan 17 2018,1.45,1.53,1.13,1.48,71122,9081180
Jan 16 2018,2.06,2.12,1.31,1.48,64003,12889900
Jan 15 2018,2.45,2.47,2.05,2.05,135951,15346700
Jan 14 2018,2.66,2.66,2.28,2.47,77618,16674700
Jan 13 2018,2.59,2.75,2.43,2.66,248084,16209600
Jan 12 2018,2.62,2.85,2.32,2.71,302979,16393300
Jan 11 2018,2.28,2.90,1.89,2.51,627167,14274100
Jan 10 2018,2.39,2.51,2.09,2.28,225653,15004700
Jan 09 2018,2.81,2.90,2.37,2.39,282636,17600800
Jan 08 2018,2.82,3.06,2.38,2.81,387973,17645400
Jan 07 2018,2.59,3.11,2.36,2.86,559332,16232500
Jan 06 2018,1.99,3.29,1.85,2.60,2417060,12472400
Jan 05 2018,2.04,2.12,1.88,1.99,194105,12760200
Jan 04 2018,2.20,2.32,1.86,2.04,483761,13776700
Jan 03 2018,1.71,2.67,1.48,2.19,1441500,10707500
Jan 02 2018,1.51,2.08,1.51,1.68,655873,9473560
Jan 01 2018,1.54,1.62,1.39,1.51,63242,9636920
Dec 31 2017,1.34,1.55,1.28,1.51,81997,8370780
Dec 30 2017,1.39,1.43,1.23,1.35,73671,8739270
Dec 29 2017,1.43,1.50,1.36,1.42,229833,8935370
Dec 28 2017,1.42,1.42,1.24,1.41,27606,8895920
Dec 27 2017,1.32,1.50,1.27,1.40,97132,8260710
Dec 26 2017,1.35,1.53,1.17,1.32,244498,8463330
Dec 25 2017,1.30,1.45,1.27,1.35,94529,8158220
Dec 24 2017,1.31,1.38,1.14,1.29,90704,8214050
Dec 23 2017,1.06,1.45,1.05,1.37,266286,6616900
Dec 22 2017,1.26,1.32,0.815102,1.05,81422,7866610
Dec 21 2017,1.18,1.56,1.17,1.32,430650,7393600
Dec 20 2017,1.25,1.31,1.10,1.18,137787,7806330
Dec 19 2017,1.30,1.43,1.20,1.25,195931,8145670
Dec 18 2017,1.23,1.38,1.18,1.30,315743,7732300
Dec 17 2017,1.28,2.09,1.16,1.23,1725520,8053860
Dec 16 2017,1.07,1.29,1.04,1.28,113089,6715550
Dec 15 2017,1.14,1.20,1.06,1.07,57066,7131160
Dec 14 2017,1.02,1.21,1.00,1.17,87134,6375260
Dec 13 2017,0.983145,1.08,0.941070,1.02,29680,6162430
Dec 12 2017,0.928052,1.07,0.907717,0.982974,52883,5817110
Dec 11 2017,0.869142,1.01,0.865623,0.925128,48988,5447850
Dec 10 2017,0.883061,0.962948,0.761583,0.875360,39579,5535100
Dec 09 2017,0.871145,0.986861,0.777993,0.879665,33612,5460410
Dec 08 2017,0.815076,0.985849,0.643264,0.875942,127681,5108970
Dec 07 2017,0.941011,1.01,0.761926,0.813191,102922,5898340
Dec 06 2017,0.893029,0.945097,0.836044,0.942254,103227,5597580
Dec 05 2017,0.854066,0.948613,0.816837,0.901187,170275,5353360
Dec 04 2017,0.780158,0.852166,0.762688,0.852166,74428,4890090
Dec 03 2017,0.760885,0.819262,0.722025,0.777672,34269,4769290
Dec 02 2017,0.749600,0.800323,0.718829,0.754062,33303,4698560
Dec 01 2017,0.653602,0.749092,0.619688,0.742031,31642,4096830
Nov 30 2017,0.678968,0.735013,0.604633,0.657023,22848,4255830
Nov 29 2017,0.738234,0.798218,0.616395,0.668917,54024,4627310
Nov 28 2017,0.718469,0.827100,0.698098,0.739040,111929,4503420
Nov 27 2017,0.711006,0.756648,0.687322,0.716722,46929,4456650
Nov 26 2017,0.719084,0.721840,0.654269,0.711323,78870,4507280
Nov 25 2017,0.696060,0.717592,0.658441,0.717592,76297,4362960
Nov 24 2017,0.760967,0.778408,0.646124,0.697470,221673,4769800
Nov 23 2017,0.674224,1.06,0.632051,0.764956,1600370,4226090
Nov 22 2017,0.579109,0.685629,0.549190,0.674042,86056,3629900
Nov 21 2017,0.564284,0.616690,0.522771,0.572371,41338,3536980
Nov 20 2017,0.558114,0.590348,0.536675,0.564279,17411,3498300
Nov 19 2017,0.523354,0.591118,0.517132,0.558390,26526,3280420
Nov 18 2017,0.505061,0.549774,0.482456,0.524327,44681,3165760
Nov 17 2017,0.534852,0.570320,0.480672,0.511388,16558,3352500
Nov 16 2017,0.514246,0.552278,0.493093,0.539512,18688,3223340
Nov 15 2017,0.482647,0.513600,0.475063,0.511735,21064,3025270
Nov 14 2017,0.478712,0.495836,0.464450,0.482317,9974,3000610
Nov 13 2017,0.434792,0.497849,0.426143,0.480763,6488,2725310
Nov 12 2017,0.492738,0.492901,0.415261,0.446526,19993,3088520
Nov 11 2017,0.498440,0.537264,0.479422,0.493101,38953,3124260
Nov 10 2017,0.608234,0.608234,0.485201,0.500189,86570,3812460
Nov 09 2017,0.526453,0.611402,0.498419,0.598473,171908,3299850
Nov 08 2017,0.514852,0.533578,0.479049,0.526995,56592,3227130
Nov 07 2017,0.473350,0.575082,0.448953,0.513404,196487,2967000
Nov 06 2017,0.479016,0.531720,0.455362,0.474109,37240,3002510
Nov 05 2017,0.486279,0.547708,0.468718,0.477955,20842,3048040
Nov 04 2017,0.442844,0.498850,0.435256,0.487201,11320,2775780
Nov 03 2017,0.439658,0.488314,0.434469,0.443998,6502,2755810
Nov 02 2017,0.461045,0.511767,0.424947,0.440234,30245,2889870
Nov 01 2017,0.515579,0.515579,0.449504,0.460531,62522,3231690
Oct 31 2017,0.536489,0.560910,0.485855,0.515957,240532,3362750
Oct 30 2017,0.470512,0.820000,0.461614,0.541514,1006530,2949210
Oct 29 2017,0.456458,0.505134,0.439770,0.473261,18565,2861110
Oct 28 2017,0.470296,0.488481,0.454437,0.457083,13723,2947850
Oct 27 2017,0.488605,0.516478,0.442480,0.469015,62892,3062620
Oct 26 2017,0.458693,0.492555,0.431473,0.491434,27955,2875130
Oct 25 2017,0.452280,0.459565,0.402957,0.458748,20382,2834930
Oct 24 2017,0.439859,0.499600,0.394847,0.452099,37377,2757070
Oct 23 2017,0.419474,0.559129,0.383550,0.438594,86745,2629300
Oct 22 2017,0.426612,0.450165,0.400815,0.408886,4323,2674040
Oct 21 2017,0.426563,0.449465,0.409327,0.426483,13558,2673730
Oct 20 2017,0.475524,0.492236,0.424438,0.427463,13883,2980620
Oct 19 2017,0.438780,0.484990,0.433451,0.462848,21022,2750310
Oct 18 2017,0.449056,0.449101,0.399805,0.446606,30547,2814720
Oct 17 2017,0.496775,0.542307,0.418596,0.445945,71451,3113820
Oct 16 2017,0.465990,0.508466,0.438427,0.491843,23583,2920860
Oct 15 2017,0.468094,0.486816,0.438611,0.465923,9989,2934050
Oct 14 2017,0.434952,0.556905,0.419353,0.467257,32337,2726310
Oct 13 2017,0.480940,0.511890,0.433154,0.440024,76915,3014570
Oct 12 2017,0.438795,0.534810,0.431941,0.479453,40422,2750410
Oct 11 2017,0.408595,0.489858,0.395446,0.438422,57892,2561110
Oct 10 2017,0.376953,0.533335,0.367250,0.399892,47824,2362770
Oct 09 2017,0.374396,0.395158,0.324322,0.376953,35477,2346750
Oct 08 2017,0.455246,0.468430,0.362814,0.374301,37233,2853520
Oct 07 2017,0.457538,0.486953,0.442233,0.455532,14112,2867880
Oct 06 2017,0.475586,0.479697,0.453730,0.457389,12110,2981010
Oct 05 2017,0.506585,0.513194,0.470244,0.475588,15991,3175320
Oct 04 2017,0.506413,0.528287,0.488442,0.502920,19227,3174240
Oct 03 2017,0.551713,0.565745,0.466000,0.505251,93373,3458180
Oct 02 2017,0.579043,0.620357,0.547035,0.551697,59412,3629490
Oct 01 2017,0.552860,0.605211,0.538832,0.579249,85989,3465370
Sep 30 2017,0.545884,0.572039,0.545356,0.552564,10684,3421650
Sep 29 2017,0.553430,0.561531,0.525244,0.541538,11640,3468950
Sep 28 2017,0.532686,0.572451,0.522564,0.544239,27137,3338920
Sep 27 2017,0.504997,0.548255,0.491542,0.532652,11836,3165360
Sep 26 2017,0.498141,0.523931,0.480568,0.506394,24434,3122390
Sep 25 2017,0.483881,0.561810,0.454233,0.498309,111226,3033010
Sep 24 2017,0.484286,0.499581,0.454924,0.484379,14279,3035540
Sep 23 2017,0.458029,0.484739,0.446659,0.484321,24553,2870960
Sep 22 2017,0.448920,0.470084,0.435419,0.459308,141423,2813870
Sep 21 2017,0.516349,0.518822,0.445368,0.449448,28064,3236520
Sep 20 2017,0.523099,0.561613,0.500540,0.518912,83654,3278830
Sep 19 2017,0.502242,0.559196,0.473242,0.523900,33119,3148090
Sep 18 2017,0.473420,0.522120,0.470733,0.505934,23450,2967430
Sep 17 2017,0.444914,0.502141,0.425460,0.474365,32727,2788760
Sep 16 2017,0.449604,0.478608,0.423982,0.445218,3346,2818160
Sep 15 2017,0.383630,0.471763,0.328972,0.450779,41105,2404620
Sep 14 2017,0.504063,0.540013,0.370123,0.380663,28502,3159510
Sep 13 2017,0.535123,0.543822,0.488964,0.504089,6806,3354200
Sep 12 2017,0.542083,0.596410,0.520129,0.537166,19540,3397820
Sep 11 2017,0.529957,0.546562,0.520356,0.541564,8584,3321820
Sep 10 2017,0.570824,0.579431,0.490102,0.530858,12535,3577970
Sep 09 2017,0.600494,0.616454,0.549067,0.572293,18625,3763940
Sep 08 2017,0.657398,0.668230,0.579097,0.599332,10242,4120630
Sep 07 2017,0.651381,0.700578,0.617962,0.657267,31807,4082910
Sep 06 2017,0.583850,0.743055,0.561098,0.652628,135196,3659620
Sep 05 2017,0.627795,0.627795,0.516267,0.583020,22121,3935070
Sep 04 2017,0.692496,0.701016,0.497692,0.624578,59410,4340620
Sep 03 2017,0.686725,0.727564,0.659463,0.692235,33460,4304450
Sep 02 2017,0.699084,0.722465,0.648950,0.686404,18997,4381920
Sep 01 2017,0.667138,0.716955,0.658944,0.698229,23473,4181670
Aug 31 2017,0.639660,0.683139,0.639550,0.680595,50500,4009440
Aug 30 2017,0.643167,0.771608,0.628585,0.640778,173565,4031420
Aug 29 2017,0.556620,0.786592,0.546436,0.652115,466938,3488940
Aug 28 2017,0.563756,0.570130,0.542115,0.565892,31621,3533670
Aug 27 2017,0.557994,0.617422,0.553929,0.563551,54702,3497560
Aug 26 2017,0.539207,0.726242,0.532680,0.558112,214099,3379790
