Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,1.01,1.05,0.844975,0.864376,57249,5433600
Mar 30 2018,0.874468,1.18,0.795817,1.01,97780,4691950
Mar 29 2018,1.01,1.09,0.756238,0.876648,110264,5403260
Mar 28 2018,0.995483,1.13,0.969916,1.01,69786,5261720
Mar 27 2018,1.20,1.41,0.964751,0.996222,82277,6312160
Mar 26 2018,1.08,1.22,1.05,1.18,21484,5643560
Mar 25 2018,1.21,1.24,1.07,1.08,19030,6231200
Mar 24 2018,1.27,1.39,1.07,1.22,28767,6507060
Mar 23 2018,1.49,1.49,0.969874,1.25,17195,7555100
Mar 22 2018,1.22,1.54,1.22,1.49,2170,6150430
Mar 21 2018,1.26,1.52,1.17,1.22,14818,4385240
Mar 20 2018,0.963414,1.31,0.933823,1.25,6687,4629500
Mar 19 2018,1.29,1.44,0.850030,0.952785,22853,6221750
Mar 18 2018,1.31,1.34,1.10,1.30,3691,6291640
Mar 17 2018,1.37,1.39,1.27,1.31,3727,6562320
Mar 16 2018,1.37,1.42,1.31,1.36,7860,6591150
Mar 15 2018,1.25,1.42,1.18,1.37,104447,5967690
Mar 14 2018,1.48,1.49,1.21,1.25,99287,7007630
Mar 13 2018,1.38,1.62,1.33,1.48,99897,6495200
Mar 12 2018,1.46,1.65,1.37,1.39,78425,6799200
Mar 11 2018,1.25,1.56,1.19,1.47,56860,5752760
Mar 10 2018,1.41,1.44,1.21,1.25,58178,3238390
Mar 09 2018,1.39,1.57,1.19,1.45,104021,4455910
Mar 08 2018,1.53,1.74,1.36,1.40,111374,4904000
Mar 07 2018,1.62,1.65,1.39,1.54,105190,5180740
Mar 06 2018,1.83,2.08,1.60,1.62,128736,5633480
Mar 05 2018,2.04,2.17,1.40,1.77,195336,6277300
Mar 04 2018,2.37,2.37,1.97,2.05,116925,7276870
Mar 03 2018,2.05,2.57,2.02,2.37,142852,6307390
Mar 02 2018,2.04,2.33,1.91,2.06,119341,6249530
Mar 01 2018,2.03,2.43,1.85,2.04,139522,6232160
Feb 28 2018,2.54,2.54,1.82,2.03,113796,7787220
Feb 27 2018,2.29,2.71,2.13,2.54,127317,7033400
Feb 26 2018,2.40,2.72,1.91,2.38,177377,7352510
Feb 25 2018,2.49,2.55,2.33,2.39,108903,7653920
Feb 24 2018,2.66,2.74,2.41,2.50,159786,8176060
Feb 23 2018,2.54,2.93,2.31,2.66,116409,7790090
Feb 22 2018,2.94,3.11,2.39,2.54,105171,8653790
Feb 21 2018,3.26,3.61,2.54,2.95,151402,9586330
Feb 20 2018,3.61,3.93,2.99,3.26,135118,10602800
Feb 19 2018,3.43,3.85,2.76,3.60,149749,10070100
Feb 18 2018,4.16,4.36,3.21,3.44,106758,12231600
Feb 17 2018,3.81,4.47,3.47,4.15,134935,11192000
Feb 16 2018,4.25,4.52,3.73,3.81,145636,9202330
Feb 15 2018,4.10,4.71,3.97,4.21,129936,8870710
Feb 14 2018,3.86,4.48,3.79,4.10,130589,8345480
Feb 13 2018,4.87,4.87,3.81,4.00,118737,10544300
Feb 12 2018,4.72,5.14,4.43,4.85,154632,10210300
Feb 11 2018,4.87,5.47,4.45,4.64,76544,10550700
Feb 10 2018,5.03,5.28,4.64,4.88,36598,10884900
Feb 09 2018,4.69,5.44,4.08,5.06,166218,10155700
Feb 08 2018,3.31,5.01,3.31,4.75,239387,7155660
Feb 07 2018,3.38,3.78,3.06,3.32,81209,7320440
Feb 06 2018,3.20,3.45,2.37,3.42,75236,6933610
Feb 05 2018,3.69,3.76,3.06,3.20,91665,7997480
Feb 04 2018,4.45,4.62,3.63,3.73,152952,9625190
Feb 03 2018,4.06,5.38,3.62,4.52,223299,8794130
Feb 02 2018,4.23,5.16,3.49,4.05,232356,9166130
Feb 01 2018,4.46,5.29,3.89,4.24,217534,9655180
Jan 31 2018,5.06,5.24,4.26,4.36,235485,10956300
Jan 30 2018,6.24,6.49,5.05,5.05,286348,13513000
Jan 29 2018,6.32,6.85,4.83,6.23,506816,13675900
Jan 28 2018,7.31,7.34,6.29,6.32,355612,15818400
Jan 27 2018,7.03,7.56,6.61,7.27,327791,15221300
Jan 26 2018,7.29,7.49,6.27,7.04,340217,15776000
Jan 25 2018,7.52,9.16,7.13,7.31,431898,16273200
Jan 24 2018,6.50,8.17,6.15,7.38,489765,14077100
Jan 23 2018,6.19,6.73,5.80,6.51,321734,13397200
Jan 22 2018,7.61,7.75,5.57,6.21,577327,16475900
Jan 21 2018,8.68,8.88,7.33,7.51,458858,18791800
Jan 20 2018,8.25,9.25,8.00,8.65,536738,17855500
Jan 19 2018,9.36,10.97,7.82,8.23,490275,20268100
Jan 18 2018,9.57,12.77,8.50,9.44,726551,20712700
Jan 17 2018,9.18,9.88,7.45,9.51,687028,19877800
