Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000073,0.000144,0.000070,0.000070,8855,1400100
Mar 30 2018,0.000083,0.000145,0.000071,0.000073,8943,1579680
Mar 29 2018,0.000159,0.000159,0.000083,0.000083,3368,3019540
Mar 28 2018,0.000099,0.000163,0.000085,0.000159,2891,1878010
Mar 27 2018,0.000162,0.000164,0.000081,0.000099,939,3068530
Mar 26 2018,0.000164,0.000171,0.000081,0.000162,6555,3099010
Mar 25 2018,0.000170,0.000174,0.000086,0.000164,1883,3210370
Mar 24 2018,0.000169,0.000178,0.000092,0.000172,2440,3190330
Mar 23 2018,0.000174,0.000174,0.000086,0.000166,3846,3289030
Mar 22 2018,0.000090,0.000181,0.000088,0.000174,2990,1707880
Mar 21 2018,0.000091,0.000183,0.000090,0.000091,5158,1717640
Mar 20 2018,0.000172,0.000180,0.000087,0.000091,8862,3245180
Mar 19 2018,0.000164,0.000174,0.000084,0.000171,4293,3086280
Mar 18 2018,0.000159,0.000165,0.000078,0.000165,20254,2992660
Mar 17 2018,0.000187,0.000249,0.000158,0.000160,8860,3513390
Mar 16 2018,0.000217,0.000253,0.000162,0.000187,4569,4069400
Mar 15 2018,0.000167,0.000254,0.000157,0.000217,5445,3132360
Mar 14 2018,0.000194,0.000283,0.000166,0.000167,6548,3619100
Mar 13 2018,0.000189,0.000285,0.000183,0.000194,5465,3533780
Mar 12 2018,0.000202,0.000292,0.000185,0.000190,3871,3771380
Mar 11 2018,0.000263,0.000292,0.000118,0.000203,18292,4903930
Mar 10 2018,0.000277,0.000282,0.000186,0.000264,15754,5143910
Mar 09 2018,0.000280,0.000283,0.000171,0.000276,11772,5196080
Mar 08 2018,0.000203,0.000300,0.000189,0.000281,6020,3756500
Mar 07 2018,0.000216,0.000325,0.000197,0.000203,13125,3997230
Mar 06 2018,0.000242,0.000339,0.000213,0.000216,29041,4472320
Mar 05 2018,0.000344,0.000349,0.000231,0.000243,19979,6348000
Mar 04 2018,0.000231,0.000344,0.000223,0.000344,11705,4258710
