Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,1.05,1.09,1.02,1.04,1020500,41372700
Mar 30 2018,1.05,1.09,0.978554,1.05,953014,41436400
Mar 29 2018,1.16,1.17,1.03,1.05,1206440,45864800
Mar 28 2018,1.16,1.23,1.14,1.16,1285750,45800400
Mar 27 2018,1.23,1.24,1.10,1.15,1963320,48659800
Mar 26 2018,1.31,1.33,1.16,1.23,3115250,51813400
Mar 25 2018,1.32,1.34,1.28,1.31,2612610,52076500
Mar 24 2018,1.36,1.38,1.33,1.34,3268280,53673100
Mar 23 2018,1.33,1.35,1.28,1.35,3253900,52735800
Mar 22 2018,1.36,1.43,1.30,1.34,2833430,53954600
Mar 21 2018,1.40,1.47,1.33,1.35,3679360,55286700
Mar 20 2018,1.30,1.41,1.21,1.39,2746970,51387200
Mar 19 2018,1.22,1.31,1.18,1.29,2463460,48026400
Mar 18 2018,1.20,1.26,0.999933,1.22,796850,47614400
Mar 17 2018,1.30,1.31,1.19,1.21,1343550,51322200
Mar 16 2018,1.32,1.37,1.26,1.29,2166050,52102900
Mar 15 2018,1.35,1.36,1.22,1.32,1847400,53374900
Mar 14 2018,1.55,1.57,1.29,1.35,2499720,61126000
Mar 13 2018,1.55,1.61,1.51,1.54,2517670,61287800
Mar 12 2018,1.68,1.71,1.53,1.56,4114670,66551200
Mar 11 2018,1.54,1.75,1.50,1.69,2708050,60778200
Mar 10 2018,1.61,1.68,1.53,1.54,6432480,63741000
Mar 09 2018,1.59,1.62,1.42,1.61,14738100,62983700
Mar 08 2018,1.69,1.74,1.56,1.60,9715330,66727100
Mar 07 2018,1.84,1.88,1.62,1.70,7071610,72617800
Mar 06 2018,1.95,2.02,1.80,1.85,7641040,76979500
Mar 05 2018,1.92,2.08,1.90,1.95,9442340,75710100
Mar 04 2018,1.96,1.96,1.85,1.92,2468460,77210000
Mar 03 2018,2.01,2.05,1.90,1.96,2796220,79262400
Mar 02 2018,1.99,2.05,1.95,2.01,2325130,78559900
Mar 01 2018,1.94,2.04,1.82,1.98,2649960,76637300
Feb 28 2018,2.06,2.08,1.89,1.94,2620560,81251000
Feb 27 2018,2.12,2.17,2.02,2.06,1671200,83524700
Feb 26 2018,2.05,2.16,1.98,2.11,2135680,80895100
Feb 25 2018,1.99,2.12,1.94,2.05,2202210,78325600
Feb 24 2018,2.07,2.15,1.91,1.99,4243870,81539400
Feb 23 2018,1.88,2.13,1.85,2.08,3982250,74357600
Feb 22 2018,2.10,2.16,1.85,1.88,4331650,82570300
Feb 21 2018,2.26,2.30,1.98,2.10,2767020,88778200
Feb 20 2018,2.35,2.50,2.24,2.26,2194430,92412600
Feb 19 2018,2.33,2.41,2.29,2.35,3487970,91479000
Feb 18 2018,2.45,2.52,2.30,2.32,5185810,96548300
Feb 17 2018,2.40,2.46,2.36,2.45,2359620,94360100
Feb 16 2018,2.40,2.42,2.22,2.40,4969720,94253800
Feb 15 2018,2.44,2.47,2.29,2.41,2606530,96104400
Feb 14 2018,2.23,2.46,2.23,2.44,2421510,87665500
Feb 13 2018,2.37,2.38,2.20,2.23,1753000,93067400
Feb 12 2018,2.27,2.45,2.27,2.37,3322490,89315000
Feb 11 2018,2.40,2.40,2.11,2.26,2645990,94227800
Feb 10 2018,2.49,2.57,2.21,2.40,3374210,97764600
Feb 09 2018,2.19,2.49,2.08,2.48,2925050,86168100
Feb 08 2018,2.09,2.38,2.09,2.19,3650160,-
Feb 07 2018,2.09,2.51,1.98,2.09,2441640,-
Feb 06 2018,1.85,2.25,1.32,2.15,3105480,-
Feb 05 2018,2.27,2.39,1.73,1.86,2559450,-
Feb 04 2018,2.68,2.69,1.97,2.31,3135040,-
Feb 03 2018,2.56,2.81,2.33,2.69,3454960,-
Feb 02 2018,2.74,2.75,1.68,2.53,3479020,-
Feb 01 2018,3.00,3.16,2.55,2.75,3867180,-
Jan 31 2018,3.06,3.29,2.98,3.07,2782570,-
Jan 30 2018,3.51,3.57,2.91,3.04,1564600,-
Jan 29 2018,3.88,3.91,3.45,3.52,2830360,-
Jan 28 2018,3.57,3.96,3.41,3.89,4481230,-
Jan 27 2018,3.25,3.65,3.20,3.51,3675040,-
Jan 26 2018,3.17,3.28,3.01,3.24,5350160,-
Jan 25 2018,3.27,3.31,3.04,3.15,7149650,-
Jan 24 2018,3.06,3.31,2.95,3.21,7286460,-
Jan 23 2018,3.77,3.77,2.97,3.06,4683070,-
Jan 22 2018,3.86,3.95,3.31,3.71,5672340,-
