Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000198,0.000287,0.000196,0.000238,69242,-
Mar 30 2018,0.000193,0.000246,0.000184,0.000198,17157,-
Mar 29 2018,0.000223,0.000269,0.000192,0.000194,28780,-
Mar 28 2018,0.000224,0.000279,0.000221,0.000223,10170,-
Mar 27 2018,0.000244,0.000292,0.000224,0.000224,54631,-
Mar 26 2018,0.000261,0.000314,0.000234,0.000244,70224,-
Mar 25 2018,0.000260,0.000316,0.000257,0.000262,7802,-
Mar 24 2018,0.000325,0.000326,0.000262,0.000263,24137,-
Mar 23 2018,0.000269,0.000322,0.000254,0.000269,11410,-
Mar 22 2018,0.000280,0.000344,0.000260,0.000269,69910,-
Mar 21 2018,0.000279,0.000350,0.000232,0.000279,15967,-
Mar 20 2018,0.000278,0.000324,0.000208,0.000277,37548,-
Mar 19 2018,0.000269,0.000278,0.000206,0.000276,16482,-
Mar 18 2018,0.000276,0.000276,0.000183,0.000270,41014,-
Mar 17 2018,0.000301,0.000363,0.000273,0.000276,58634,-
Mar 16 2018,0.000244,0.000312,0.000234,0.000300,114572,-
Mar 15 2018,0.000308,0.000309,0.000231,0.000244,8670,-
Mar 14 2018,0.000276,0.000351,0.000237,0.000308,11344,-
Mar 13 2018,0.000350,0.000356,0.000273,0.000276,59707,-
Mar 12 2018,0.000289,0.000368,0.000274,0.000351,38259,-
Mar 11 2018,0.000275,0.000362,0.000268,0.000290,12132,-
Mar 10 2018,0.000364,0.000374,0.000274,0.000276,17055,-
Mar 09 2018,0.000351,0.000365,0.000259,0.000364,176465,-
Mar 08 2018,0.000300,0.000386,0.000278,0.000281,35508,-
Mar 07 2018,0.000409,0.000492,0.000292,0.000300,121718,-
Mar 06 2018,0.000426,0.000510,0.000404,0.000409,50817,-
Mar 05 2018,0.000432,0.000519,0.000426,0.000426,54726,-
Mar 04 2018,0.000427,0.000517,0.000421,0.000431,45545,-
Mar 03 2018,0.000513,0.000519,0.000427,0.000427,80847,-
Mar 02 2018,0.000435,0.000525,0.000425,0.000513,110665,-
Mar 01 2018,0.000428,0.000527,0.000426,0.000435,77494,-
Feb 28 2018,0.000526,0.000532,0.000427,0.000427,84177,-
Feb 27 2018,0.000520,0.000536,0.000432,0.000438,53071,-
Feb 26 2018,0.000503,0.000594,0.000420,0.000519,199518,-
Feb 25 2018,0.000499,0.000590,0.000413,0.000503,217979,-
Feb 24 2018,0.000599,0.000609,0.000406,0.000501,390027,-
Feb 23 2018,0.000564,0.000608,0.000474,0.000600,137041,-
Feb 22 2018,0.000588,0.000696,0.000475,0.000484,474798,-
Feb 21 2018,0.000620,0.000720,0.000575,0.000589,242238,-
Feb 20 2018,0.000656,0.000758,0.000619,0.000621,378468,-
Feb 19 2018,0.000641,0.000759,0.000641,0.000656,227194,-
Feb 18 2018,0.000682,0.000782,0.000639,0.000643,321740,-
Feb 17 2018,0.000657,0.000780,0.000655,0.000681,333338,-
Feb 16 2018,0.000651,0.000753,0.000546,0.000656,521326,-
Feb 15 2018,0.000645,0.000754,0.000635,0.000651,267124,-
Feb 14 2018,0.000589,0.000737,0.000589,0.000644,292486,-
Feb 13 2018,0.000606,0.000691,0.000578,0.000589,201851,-
Feb 12 2018,0.000651,0.000780,0.000600,0.000606,313287,-
Feb 11 2018,0.000766,0.000822,0.000628,0.000648,431239,-
Feb 10 2018,0.000790,0.000978,0.000740,0.000767,411113,-
Feb 09 2018,0.000733,0.000926,0.000707,0.000790,486689,-
Feb 08 2018,0.000826,0.001070,0.000487,0.000732,1166210,-
Feb 07 2018,0.000949,0.001103,0.000810,0.000828,84848,-
Feb 06 2018,0.000904,0.001032,0.000684,0.000950,125011,-
Feb 05 2018,0.001158,0.001194,0.000757,0.000901,71365,-
Feb 04 2018,0.001554,0.001637,0.000946,0.001169,449648,-
Feb 03 2018,0.001192,0.001649,0.001166,0.001555,176528,-
Feb 02 2018,0.001439,0.001465,0.001049,0.001186,173179,-
Feb 01 2018,0.001552,0.001829,0.001217,0.001341,303516,-
Jan 31 2018,0.001697,0.001882,0.001540,0.001549,372471,-
Jan 30 2018,0.001707,0.001750,0.001586,0.001692,705795,-
