Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000139,0.000182,0.000079,0.000145,328,2134710
Mar 30 2018,0.000145,0.000198,0.000087,0.000139,314,2228920
Mar 29 2018,0.000167,0.000219,0.000141,0.000144,313,2567810
Mar 28 2018,0.000164,0.000224,0.000153,0.000167,152,2524140
Mar 27 2018,0.000165,0.000217,0.000158,0.000164,142,2540170
Mar 26 2018,0.000159,0.000237,0.000088,0.000165,1991,2450190
Mar 25 2018,0.000145,0.000167,0.000100,0.000159,1024,2229760
Mar 24 2018,0.000129,0.000162,0.000112,0.000147,162,1986200
Mar 23 2018,0.000152,0.000166,0.000102,0.000128,361,2336760
Mar 22 2018,0.000117,0.000171,0.000110,0.000152,186,1793790
Mar 21 2018,0.000157,0.000190,0.000105,0.000117,1537,2421060
Mar 20 2018,0.000172,0.000176,0.000085,0.000157,151,2654580
Mar 19 2018,0.000152,0.000171,0.000083,0.000171,132,2347070
Mar 18 2018,0.000157,0.000157,0.000082,0.000154,299,2413540
Mar 17 2018,0.000166,0.000166,0.000087,0.000157,387,2559950
Mar 16 2018,0.000167,0.000171,0.000091,0.000166,59,2570250
Mar 15 2018,0.000160,0.000179,0.000110,0.000167,530,2463610
Mar 14 2018,0.000186,0.000199,0.000160,0.000160,242,2859400
Mar 13 2018,0.000177,0.000186,0.000157,0.000186,392,2730340
Mar 12 2018,0.000191,0.000197,0.000106,0.000178,481,2934880
Mar 11 2018,0.000176,0.000194,0.000090,0.000191,341,2712000
Mar 10 2018,0.000191,0.000279,0.000100,0.000177,998,2933960
Mar 09 2018,0.000264,0.000267,0.000104,0.000191,1584,4069000
Mar 08 2018,0.000241,0.000268,0.000157,0.000266,559,3713490
Mar 07 2018,0.000171,0.000296,0.000171,0.000241,1936,2625840
Mar 06 2018,0.000232,0.000302,0.000129,0.000171,2222,3567940
Mar 05 2018,0.000209,0.000233,0.000143,0.000232,140,3216280
Mar 04 2018,0.000215,0.000234,0.000141,0.000209,565,3311020
Mar 03 2018,0.000181,0.000220,0.000152,0.000215,224,2786800
Mar 02 2018,0.000219,0.000324,0.000125,0.000181,1551,3376280
Mar 01 2018,0.000261,0.000326,0.000144,0.000220,2876,4024660
Feb 28 2018,0.000222,0.000316,0.000139,0.000261,576,3413940
Feb 27 2018,0.000128,0.000318,0.000115,0.000222,2261,1974170
Feb 26 2018,0.000188,0.000304,0.000179,0.000215,1867,2895130
Feb 25 2018,0.000201,0.000201,0.000121,0.000188,531,3093410
Feb 24 2018,0.000106,0.000208,0.000105,0.000201,591,1624310
Feb 23 2018,0.000123,0.000202,0.000103,0.000106,188,1889120
Feb 22 2018,0.000201,0.000219,0.000110,0.000123,48,3093950
Feb 21 2018,0.000224,0.000301,0.000118,0.000202,1038,3451840
Feb 20 2018,0.000232,0.000335,0.000223,0.000224,2379,3568230
Feb 19 2018,0.000214,0.000306,0.000211,0.000232,3327,3296490
Feb 18 2018,0.000231,0.000304,0.000211,0.000215,2579,3553840
Feb 17 2018,0.000287,0.000312,0.000205,0.000230,3061,4421360
Feb 16 2018,0.000223,0.000287,0.000203,0.000287,1096,3438840
Feb 15 2018,0.000190,0.000299,0.000188,0.000224,1648,2924150
Feb 14 2018,0.000173,0.000282,0.000173,0.000190,5249,2667030
Feb 13 2018,0.000184,0.000257,0.000170,0.000174,5031,2827680
Feb 12 2018,0.000211,0.000251,0.000174,0.000183,1015,3242940
Feb 11 2018,0.000187,0.000246,0.000165,0.000210,1140,2879760
Feb 10 2018,0.000253,0.000258,0.000185,0.000187,878,3900060
Feb 09 2018,0.000244,0.000254,0.000166,0.000253,849,3748390
Feb 08 2018,0.000267,0.000272,0.000192,0.000243,814,4111670
Feb 06 2018,0.000217,0.000225,0.000198,0.000220,2343,3346900
Feb 05 2018,0.000324,0.000331,0.000177,0.000217,2308,4979340
Feb 04 2018,0.000297,0.000352,0.000174,0.000327,929,4578580
Feb 03 2018,0.000180,0.000368,0.000169,0.000297,846,2774000
Feb 02 2018,0.000273,0.000273,0.000166,0.000180,2484,4202750
Feb 01 2018,0.000305,0.000405,0.000260,0.000274,8054,4688310
Jan 31 2018,0.000378,0.000395,0.000296,0.000395,4236,5822890
Jan 30 2018,0.000341,0.000438,0.000297,0.000377,1677,5243620
Jan 29 2018,0.000351,0.000448,0.000231,0.000341,5619,5408110
Jan 28 2018,0.000384,0.000455,0.000320,0.000352,3728,5907120
Jan 27 2018,0.000320,0.000429,0.000247,0.000319,2076,4929310
Jan 26 2018,0.000393,0.000431,0.000249,0.000249,3085,6055430
Jan 25 2018,0.000327,0.000419,0.000256,0.000394,8658,5032340
Jan 24 2018,0.000315,0.000336,0.000235,0.000323,3205,4847700
