Date,Open,High,Low,Close,Volume,Market Cap
Mar 26 2018,0.000384,0.000393,0.000346,0.000352,0,1292
Mar 25 2018,0.000374,0.000391,0.000355,0.000384,0,1258
Mar 24 2018,0.000385,0.000388,0.000374,0.000376,0,1294
Mar 23 2018,0.000403,0.000404,0.000375,0.000394,0,1355
Mar 22 2018,0.000969,0.001002,0.000390,0.000402,0,3255
Mar 21 2018,0.000996,0.001007,0.000942,0.000965,0,3348
Mar 18 2018,0.000883,0.000909,0.000764,0.000810,2,2969
Mar 17 2018,0.001073,0.001087,0.000880,0.000887,2,3606
Mar 16 2018,0.000489,0.001120,0.000455,0.001077,2,1644
Mar 15 2018,0.000528,0.000536,0.000439,0.000490,0,1775
Mar 14 2018,0.001545,0.001575,0.000513,0.000527,1,5190
Mar 13 2018,0.001548,0.001580,0.001518,0.001518,14,5202
Mar 08 2018,0.000931,0.001010,0.000883,0.000978,5,3128
Mar 07 2018,0.001068,0.001092,0.000877,0.000929,5,3589
Mar 06 2018,0.000800,0.001135,0.000735,0.001070,20,2687
Mar 05 2018,0.000807,0.000834,0.000790,0.000800,32,2711
Mar 04 2018,0.000818,0.000825,0.000787,0.000806,32,2747
Mar 03 2018,0.000822,0.000838,0.000801,0.000818,0,2762
Mar 02 2018,0.000783,0.000840,0.000777,0.000829,8,2631
Mar 01 2018,0.000703,0.000801,0.000684,0.000783,7,2363
Feb 28 2018,0.002510,0.002913,0.000706,0.000706,6,8435
Feb 27 2018,0.000654,0.002681,0.000652,0.002501,25,2198
Feb 26 2018,0.000627,0.000658,0.000604,0.000651,1,2107
Feb 25 2018,0.000635,0.000644,0.000599,0.000628,1,2133
Feb 20 2018,0.003047,0.003393,0.002911,0.002953,4,10240
Feb 19 2018,0.002938,0.003082,0.002784,0.003048,5,9873
Feb 18 2018,0.003143,0.003883,0.002936,0.002943,4,10561
Feb 17 2018,0.001437,0.003222,0.001407,0.003188,3,4827
Feb 16 2018,0.002913,0.002913,0.001360,0.001436,34,9788
Feb 15 2018,0.000512,0.002917,0.000495,0.002917,0,1720
Feb 14 2018,0.002155,0.002227,0.000466,0.000512,10,7241
Feb 13 2018,0.002256,0.002306,0.002113,0.002161,4,7582
Feb 12 2018,0.002215,0.002313,0.002189,0.002260,10,7444
Feb 10 2018,0.000495,0.000508,0.000489,0.000504,1,1665
Feb 09 2018,0.000443,0.000503,0.000416,0.000491,1,1488
Feb 08 2018,0.001906,0.002030,0.000420,0.000441,0,6404
Feb 07 2018,0.001964,0.002258,0.001803,0.001910,1,6601
Feb 06 2018,0.001346,0.002120,0.001327,0.001993,3,4522
Feb 04 2018,0.000919,0.000960,0.000780,0.000787,5,3088
Feb 03 2018,0.000862,0.000965,0.000784,0.000911,6,2896
Feb 02 2018,0.002648,0.002663,0.000786,0.000896,6,8899
Feb 01 2018,0.001117,0.002807,0.000910,0.002687,1,3753
Jan 31 2018,0.001052,0.001132,0.001044,0.001115,2,3536
Jan 30 2018,0.001324,0.001336,0.001278,0.001291,1,4450
Jan 29 2018,0.001336,0.001379,0.001258,0.001334,1,4489
Jan 28 2018,0.003930,0.004844,0.001317,0.001347,1,13205
Jan 27 2018,0.003727,0.004137,0.003601,0.003939,99,12525
Jan 26 2018,0.001228,0.003766,0.001087,0.003749,12,4125
Jan 25 2018,0.003929,0.004114,0.001186,0.001222,5,13205
Jan 24 2018,0.004305,0.004529,0.003901,0.003948,0,14466
Jan 23 2018,0.004218,0.004347,0.000696,0.004306,1,14174
Jan 22 2018,0.004664,0.004826,0.003810,0.004220,8,15671
Jan 21 2018,0.005290,0.005351,0.004368,0.004701,3,17776
Jan 19 2018,0.005430,0.005657,0.004943,0.005011,4,18245
Jan 18 2018,0.001400,0.005860,0.001342,0.005476,4,4705
Jan 17 2018,0.001260,0.001457,0.000985,0.001399,4,4234
Jan 16 2018,0.001760,0.001825,0.001095,0.001249,0,5913
Jan 14 2018,0.008786,0.009508,0.007206,0.007655,1,29525
Jan 13 2018,0.006574,0.009473,0.006279,0.008839,1,22090
Jan 12 2018,0.006015,0.007084,0.005514,0.006588,18,20213
Jan 11 2018,0.007583,0.007865,0.005367,0.006118,1,25483
Jan 10 2018,0.008144,0.008144,0.006776,0.007432,1,27367
Jan 09 2018,0.008263,0.008865,0.007767,0.008139,1,27768
Jan 08 2018,0.002257,0.008790,0.002091,0.008177,1,7584
Jan 07 2018,0.003041,0.003234,0.002095,0.002241,12,10220
Jan 06 2018,0.001793,0.003119,0.001730,0.002991,18,6025
Jan 05 2018,0.006717,0.008253,0.001698,0.001744,6,22570
Jan 04 2018,0.005281,0.007333,0.005253,0.006594,5,17748
Jan 03 2018,0.005148,0.005576,0.004826,0.005284,2,17301
