Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.315677,0.335089,0.312643,0.321073,2376190,21466000
Mar 30 2018,0.331227,0.340267,0.297413,0.316838,5410210,22523400
Mar 29 2018,0.428698,0.430813,0.317951,0.334743,8664410,29151500
Mar 28 2018,0.436486,0.449024,0.415457,0.428398,4598850,29681000
Mar 27 2018,0.477510,0.483859,0.433959,0.433959,3758120,32470700
Mar 26 2018,0.558609,0.582617,0.440696,0.481192,8747670,37985400
Mar 25 2018,0.486693,0.588620,0.474583,0.559889,14120000,33095100
Mar 24 2018,0.453149,0.522911,0.452563,0.495614,6247870,30814100
Mar 23 2018,0.484195,0.488709,0.421792,0.448481,5649340,32925200
Mar 22 2018,0.446534,0.528167,0.410989,0.482417,20815300,30364300
Mar 21 2018,0.393361,0.464764,0.388725,0.447066,10003300,26748500
Mar 20 2018,0.363496,0.409283,0.347430,0.394799,5368760,24717800
Mar 19 2018,0.369341,0.378506,0.343389,0.358604,3190440,25115200
Mar 18 2018,0.360766,0.371953,0.295303,0.362152,2387190,24532100
Mar 17 2018,0.419906,0.419906,0.360525,0.364113,2994930,28553600
Mar 16 2018,0.404145,0.446610,0.388117,0.417675,3562750,27481900
Mar 15 2018,0.418022,0.428828,0.386009,0.404487,2669420,28425500
Mar 14 2018,0.507811,0.535351,0.412018,0.418379,1995260,34531100
Mar 13 2018,0.455681,0.563087,0.448490,0.506777,6053600,30986300
Mar 12 2018,0.472360,0.512133,0.440025,0.454795,931018,32120500
Mar 11 2018,0.451929,0.501130,0.429933,0.473985,1021430,30731200
Mar 10 2018,0.488001,0.518611,0.437078,0.454590,2466510,33184100
Mar 09 2018,0.494496,0.500507,0.429968,0.476966,2301940,33625700
Mar 08 2018,0.501086,0.575827,0.466646,0.488596,6732670,34073800
Mar 07 2018,0.583377,0.614887,0.471276,0.508758,1145900,39669600
Mar 06 2018,0.673237,0.680959,0.569011,0.583331,1116240,45780100
Mar 05 2018,0.705583,0.734865,0.672773,0.674944,1254900,47979700
Mar 04 2018,0.679471,0.754401,0.658912,0.696288,1511780,46204100
Mar 03 2018,0.681460,0.705669,0.656000,0.680110,990189,46339300
Mar 02 2018,0.662010,0.705708,0.662010,0.680718,1138080,45016700
Mar 01 2018,0.640877,0.693063,0.632368,0.666464,1563890,43579600
Feb 28 2018,0.685850,0.701578,0.634268,0.634268,1222020,46637800
Feb 27 2018,0.692968,0.723596,0.666381,0.684612,1234300,47121900
Feb 26 2018,0.700936,0.726339,0.685501,0.688553,1274960,47663700
Feb 25 2018,0.774597,0.774597,0.671951,0.700729,867293,52672600
