Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.009149,0.010774,0.007676,0.009009,662,675920
Mar 30 2018,0.004290,0.011227,0.003957,0.009146,2662,316955
Mar 29 2018,0.012408,0.012642,0.003736,0.004301,119,916694
Mar 28 2018,0.007062,0.012601,0.005046,0.012394,2111,521705
Mar 27 2018,0.012076,0.012112,0.007054,0.007063,281,892135
Mar 26 2018,0.010800,0.012492,0.008211,0.012094,177,797912
Mar 25 2018,0.018555,0.018796,0.009058,0.010809,1077,1370790
Mar 24 2018,0.015530,0.019162,0.014101,0.018814,4146,1147300
Mar 23 2018,0.020126,0.021003,0.013499,0.015597,1863,1486900
Mar 22 2018,0.018535,0.022410,0.006464,0.020127,4954,1369340
Mar 21 2018,0.009039,0.018970,0.007940,0.018576,1774,667767
Mar 20 2018,0.009214,0.011159,0.006187,0.009044,653,680722
Mar 19 2018,0.026803,0.027596,0.008492,0.009112,3214,1980180
Mar 18 2018,0.022148,0.027477,0.015010,0.027017,6183,1636210
Mar 17 2018,0.021958,0.022984,0.014131,0.022202,809,1622190
Mar 16 2018,0.009892,0.023752,0.009892,0.021922,1000,730785
Mar 15 2018,0.027703,0.027896,0.009614,0.009897,742,2046620
Mar 14 2018,0.020489,0.027803,0.016239,0.027715,1692,1513700
Mar 13 2018,0.024093,0.026227,0.018773,0.020504,1640,1779940
Mar 12 2018,0.015281,0.027128,0.013423,0.024232,1804,1128910
Mar 11 2018,0.012714,0.015416,0.009707,0.015416,2613,939248
Mar 10 2018,0.017889,0.021823,0.012176,0.012757,5102,1321590
Mar 09 2018,0.033493,0.033522,0.011288,0.018003,997,2474350
Mar 08 2018,0.031256,0.041635,0.028353,0.033935,2083,2309140
Mar 07 2018,0.026667,0.039409,0.009024,0.031133,1060,1970080
Mar 06 2018,0.023925,0.031240,0.019846,0.026701,1139,1767500
Mar 05 2018,0.032293,0.032293,0.022978,0.023991,1099,2385760
Mar 04 2018,0.017632,0.032721,0.007733,0.032317,643,1302640
Mar 03 2018,0.010944,0.020359,0.009324,0.017663,918,808504
Mar 02 2018,0.011511,0.011977,0.009451,0.010957,645,850378
Mar 01 2018,0.011127,0.014077,0.010933,0.011863,633,822057
Feb 28 2018,0.013203,0.014893,0.010842,0.011121,1464,975418
Feb 27 2018,0.015354,0.018680,0.012041,0.013219,1570,1134330
Feb 26 2018,0.007979,0.016510,0.007952,0.015348,2463,589485
Feb 25 2018,0.010971,0.018775,0.007969,0.007969,4610,810508
Feb 24 2018,0.025684,0.025684,0.009704,0.010988,4942,1897440
Feb 23 2018,0.022687,0.044139,0.022046,0.025558,11523,1676040
Feb 22 2018,0.029428,0.030894,0.013331,0.019130,4791,2174120
Feb 21 2018,0.022500,0.059015,0.020207,0.029604,2478,1662260
Feb 20 2018,0.034051,0.034381,0.018266,0.022577,2055,2515620
Feb 19 2018,0.024675,0.035583,0.024675,0.034182,6257,1822960
Feb 18 2018,0.018137,0.025424,0.016877,0.022637,1663,1339910
Feb 17 2018,0.027188,0.031204,0.017107,0.018081,3474,2008580
Feb 16 2018,0.020716,0.032701,0.020236,0.027300,4844,1530480
Feb 15 2018,0.025305,0.069712,0.014633,0.017999,3040,1869490
