Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.129975,0.142876,0.129975,0.132987,1887,1942040
Mar 30 2018,0.134662,0.138157,0.125532,0.129955,5001,2011500
Mar 29 2018,0.152234,0.152404,0.131072,0.134998,3932,2273320
Mar 28 2018,0.154101,0.158809,0.150680,0.152056,972,2300550
Mar 27 2018,0.177269,0.177805,0.153939,0.154136,6845,2645700
Mar 26 2018,0.184833,0.191206,0.170392,0.177537,2901,2757840
Mar 25 2018,0.195571,0.203422,0.184145,0.184975,1710,2917220
Mar 24 2018,0.182961,0.228762,0.179739,0.198300,8038,2728380
Mar 23 2018,0.174201,0.193914,0.167003,0.180335,2358,2597040
Mar 22 2018,0.174441,0.205683,0.171297,0.174205,6372,2599890
Mar 21 2018,0.169717,0.179799,0.169381,0.174760,3488,2528750
Mar 20 2018,0.170568,0.179443,0.160166,0.169410,4549,2540730
Mar 19 2018,0.157172,0.179870,0.157172,0.168771,2858,2340510
Mar 18 2018,0.155365,0.160876,0.139168,0.157837,9852,2312950
Mar 17 2018,0.166775,0.174610,0.154773,0.155744,5642,2482100
Mar 16 2018,0.170664,0.181658,0.160127,0.166501,2812,2539280
Mar 15 2018,0.173005,0.178298,0.159580,0.170760,7434,2573410
Mar 14 2018,0.209337,0.218234,0.160379,0.173083,7432,3112940
Mar 13 2018,0.209041,0.223588,0.203126,0.209308,4514,3107660
Mar 12 2018,0.220570,0.232686,0.204573,0.210248,2315,3278100
Mar 11 2018,0.201919,0.228445,0.195025,0.221267,3616,3000070
Mar 10 2018,0.213528,0.226646,0.200776,0.202618,5435,3171640
Mar 09 2018,0.223692,0.226331,0.193603,0.213436,2981,3321690
Mar 08 2018,0.231934,0.244986,0.208805,0.225118,9447,3443090
Mar 07 2018,0.261220,0.281248,0.218555,0.232263,10198,3876700
Mar 06 2018,0.295570,0.295570,0.256831,0.261560,4418,4385230
Mar 05 2018,0.264905,0.314219,0.262974,0.296390,16699,3929120
Mar 04 2018,0.268836,0.292332,0.256193,0.265099,8690,3986230
Mar 03 2018,0.258955,0.279748,0.258955,0.269300,4490,3838610
Mar 02 2018,0.260597,0.276495,0.254353,0.259273,9778,3861860
Mar 01 2018,0.258331,0.275733,0.246949,0.261268,11288,3827200
Feb 28 2018,0.280474,0.286478,0.257722,0.257951,8638,4154090
Feb 27 2018,0.281405,0.303283,0.272853,0.280805,7063,4166720
Feb 26 2018,0.266409,0.295461,0.257269,0.280594,6482,3943600
Feb 25 2018,0.260435,0.284919,0.252903,0.266069,7137,3854110
Feb 24 2018,0.271017,0.303451,0.251448,0.260830,11760,4008740
Feb 23 2018,0.264237,0.279594,0.251186,0.271361,11487,3906300
Feb 22 2018,0.277989,0.292962,0.258752,0.264484,9105,4107290
Feb 21 2018,0.290619,0.326564,0.269093,0.278271,10682,4291570
Feb 20 2018,0.314700,0.332449,0.285029,0.290982,21353,4644700
Feb 19 2018,0.309657,0.332812,0.291304,0.314415,8106,4567720
Feb 18 2018,0.324374,0.336850,0.297006,0.321418,14780,4782160
Feb 17 2018,0.314266,0.341891,0.309078,0.328913,19276,4630580
Feb 16 2018,0.368201,0.381352,0.301158,0.314338,25175,5422380
Feb 15 2018,0.357491,0.393274,0.337204,0.369780,23792,5261750
Feb 14 2018,0.340478,0.370276,0.334594,0.357486,12821,5008550
Feb 13 2018,0.380103,0.381833,0.335566,0.353787,21056,5588420
Feb 12 2018,0.356355,0.389765,0.341540,0.379413,34035,5236220
