Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.144021,0.156535,0.138765,0.149872,22066,5344630
Mar 30 2018,0.143733,0.158489,0.137575,0.144093,28939,5333940
Mar 29 2018,0.181067,0.181523,0.140288,0.144040,34210,6719380
Mar 28 2018,0.171166,0.190440,0.153148,0.180787,98213,6351940
Mar 27 2018,0.175377,0.180717,0.150425,0.158605,94419,6508220
Mar 26 2018,0.177525,0.223333,0.164962,0.175564,84596,6587920
Mar 25 2018,0.187112,0.187724,0.171118,0.177815,30384,6943700
Mar 24 2018,0.189908,0.198273,0.174729,0.189027,45637,7047470
Mar 23 2018,0.197362,0.204080,0.184860,0.190022,45855,7324070
Mar 22 2018,0.214176,0.235108,0.197746,0.201450,85605,7948050
Mar 21 2018,0.201675,0.235750,0.200900,0.214086,309017,7484130
Mar 20 2018,0.196386,0.212048,0.180261,0.200867,615492,7287870
Mar 19 2018,0.193418,0.208325,0.173606,0.191822,875317,7177710
Mar 18 2018,0.180328,0.196470,0.128092,0.184118,381825,6691940
Mar 17 2018,0.211671,0.215929,0.164110,0.180630,438708,7855080
Mar 16 2018,0.235572,0.240192,0.190943,0.201931,675242,8742050
Mar 15 2018,0.214993,0.253361,0.205288,0.236539,1190220,7978350
Mar 14 2018,0.234302,0.255147,0.212564,0.216433,1259380,8694900
Mar 13 2018,0.249738,0.256872,0.216030,0.233522,1526210,9267760
Mar 12 2018,0.238900,0.266901,0.218737,0.248346,6058360,8865560
Mar 11 2018,0.200005,0.248923,0.191103,0.239417,3816530,7422170
Mar 10 2018,0.218467,0.260549,0.199754,0.200162,3662350,8107280
Mar 09 2018,0.199719,0.219711,0.178082,0.209356,1049040,7411540
Mar 08 2018,0.210817,0.219618,0.198013,0.200429,722657,7823380
Mar 07 2018,0.231140,0.237059,0.201996,0.211229,376671,8577600
Mar 06 2018,0.243736,0.252874,0.224185,0.232741,880392,9045000
Mar 05 2018,0.235489,0.255287,0.209506,0.246940,1029000,8738980
Mar 04 2018,0.231061,0.265939,0.208786,0.244180,1198620,8574660
Mar 03 2018,0.217376,0.271400,0.209730,0.228797,937306,8066810
