Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.061478,0.064703,0.060051,0.062562,1013230,88896000
Mar 30 2018,0.060807,0.064060,0.056664,0.061289,1221480,87925100
Mar 29 2018,0.071129,0.071156,0.059458,0.060545,1077120,102851000
Mar 28 2018,0.070267,0.073522,0.070237,0.071075,686018,101604000
Mar 27 2018,0.074731,0.075085,0.069048,0.070312,888363,108060000
Mar 26 2018,0.081770,0.083298,0.069781,0.074554,2445320,118237000
Mar 25 2018,0.077725,0.083630,0.076082,0.081871,2479140,112389000
Mar 24 2018,0.082088,0.083680,0.078156,0.078934,2169230,118698000
Mar 23 2018,0.081810,0.082726,0.075655,0.081116,1416700,118295000
Mar 22 2018,0.084750,0.090718,0.078027,0.082046,2242050,122547000
Mar 21 2018,0.083276,0.095202,0.082141,0.085072,18044800,120415000
Mar 20 2018,0.082327,0.085295,0.074977,0.082821,15575800,119042000
Mar 19 2018,0.075261,0.082434,0.073905,0.081946,15042600,108825000
Mar 18 2018,0.083827,0.083827,0.061649,0.075235,15323400,121212000
Mar 17 2018,0.078594,0.096932,0.078594,0.083596,20818900,113646000
Mar 16 2018,0.072808,0.086702,0.065241,0.078892,12912000,105279000
Mar 15 2018,0.071657,0.079105,0.062513,0.072425,11052400,103614000
Mar 14 2018,0.083925,0.085618,0.068320,0.071784,1425200,121353000
Mar 13 2018,0.082745,0.089082,0.079635,0.083375,1626300,119647000
Mar 12 2018,0.090391,0.094532,0.080215,0.083083,2061750,130704000
Mar 11 2018,0.086432,0.093067,0.083789,0.090780,1289810,124978000
Mar 10 2018,0.088345,0.101671,0.085049,0.086882,2145170,127744000
Mar 09 2018,0.093166,0.095900,0.076111,0.088368,2710110,134716000
Mar 08 2018,0.104108,0.111534,0.093147,0.093688,2473430,150538000
Mar 07 2018,0.113192,0.117231,0.092622,0.104434,3095550,163673000
Mar 06 2018,0.129210,0.129210,0.112229,0.114237,2752970,186835000
Mar 05 2018,0.143546,0.143546,0.128628,0.129198,3524160,207563000
Mar 04 2018,0.130232,0.144745,0.122193,0.144745,5604570,188313000
