Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.443334,1.09,0.441644,1.09,16,-
Mar 30 2018,1.24,1.25,0.357218,0.443267,95244,-
Mar 29 2018,1.35,1.35,1.21,1.25,206,-
Mar 28 2018,1.37,1.41,1.33,1.35,914,-
Mar 27 2018,1.32,1.40,1.26,1.37,132,-
Mar 26 2018,1.37,1.37,1.27,1.32,18,-
Mar 25 2018,1.39,1.42,1.28,1.37,142,-
Mar 24 2018,0.483677,1.57,0.471509,1.41,23,-
Mar 23 2018,0.538232,0.603921,0.425686,0.476735,373867,-
Mar 22 2018,0.586145,0.625570,0.520048,0.562254,498049,-
Mar 21 2018,0.546405,0.610730,0.521040,0.587218,228310,-
Mar 20 2018,0.513713,0.566751,0.503782,0.545425,217996,-
Mar 19 2018,0.486304,0.517278,0.477003,0.508395,100561,-
Mar 18 2018,0.491245,0.494519,0.434603,0.488355,117450,-
Mar 17 2018,0.539984,0.539984,0.478396,0.491494,58965,-
Mar 16 2018,0.545603,0.601896,0.525119,0.539235,189990,-
Mar 15 2018,0.516227,0.565695,0.472165,0.545907,109609,-
Mar 14 2018,0.567139,0.583722,0.502956,0.516491,137296,-
Mar 13 2018,0.604696,0.610794,0.536872,0.567067,337702,-
Mar 12 2018,0.628230,0.667542,0.527123,0.622378,717931,-
Mar 11 2018,0.774798,0.778898,0.564235,0.631055,573619,-
Mar 10 2018,0.970168,0.970168,0.348138,0.772060,1988180,-
Mar 09 2018,1.04,1.05,0.895881,0.970070,77144,-
Mar 08 2018,1.13,1.15,0.969749,1.04,127008,-
Mar 07 2018,1.10,1.15,0.997431,1.13,182447,-
Mar 06 2018,1.19,1.19,1.07,1.10,56314,-
Mar 05 2018,1.22,1.23,1.12,1.20,202524,-
Mar 04 2018,1.33,1.33,1.15,1.23,119247,-
Mar 03 2018,1.41,1.46,1.26,1.33,279415,-
Mar 02 2018,1.32,1.46,1.30,1.41,229812,-
Mar 01 2018,1.05,1.54,1.03,1.40,586269,-
Feb 28 2018,0.997619,1.22,0.955770,1.05,313462,-
Feb 27 2018,1.09,1.10,0.994181,0.998888,205808,-
Feb 26 2018,1.07,1.14,1.02,1.08,58585,-
Feb 25 2018,1.07,1.10,1.04,1.07,82774,-
Feb 24 2018,1.15,1.19,1.04,1.07,42483,-
Feb 23 2018,1.14,1.18,1.00,1.15,247832,-
Feb 22 2018,1.35,1.37,1.11,1.14,140603,-
Feb 21 2018,1.35,1.41,1.26,1.35,81497,-
Feb 20 2018,1.38,1.59,1.17,1.36,477512,-
Feb 19 2018,1.43,1.45,1.35,1.37,268694,-
Feb 18 2018,1.52,1.54,1.33,1.44,137136,-
Feb 17 2018,1.41,1.52,1.37,1.51,122386,-
Feb 16 2018,1.36,1.41,1.30,1.41,49139,-
Feb 15 2018,1.27,1.43,1.26,1.40,94881,-
Feb 14 2018,1.13,1.28,1.13,1.27,108596,-
Feb 13 2018,1.21,1.22,1.12,1.14,72242,-
Feb 12 2018,1.12,1.22,1.12,1.21,86020,-
Feb 11 2018,1.21,1.21,1.08,1.12,42550,-
Feb 10 2018,1.23,1.28,1.16,1.21,64579,-
Feb 09 2018,1.13,1.23,1.08,1.22,112543,-
Feb 08 2018,1.01,1.22,1.01,1.12,127490,-
Feb 07 2018,1.08,1.20,1.02,1.02,152491,-
Feb 06 2018,1.10,1.12,0.816855,1.09,179401,-
Feb 05 2018,1.26,1.36,0.987439,1.07,141569,-
Feb 04 2018,1.54,1.57,1.26,1.27,92977,-
Feb 03 2018,1.44,1.62,1.34,1.56,172529,-
Feb 02 2018,1.60,1.60,1.32,1.47,247044,-
Feb 01 2018,1.83,1.84,1.53,1.60,198552,-
Jan 31 2018,1.82,1.87,1.74,1.83,126480,-
Jan 30 2018,2.04,2.04,1.78,1.81,58679,-
Jan 29 2018,2.14,2.17,2.01,2.04,103612,-
Jan 28 2018,2.12,2.23,2.12,2.15,53410,-
Jan 27 2018,2.09,2.17,2.02,2.11,56935,-
Jan 26 2018,2.10,2.20,1.94,2.09,74557,-
Jan 25 2018,2.12,2.17,1.99,2.11,132927,-
Jan 24 2018,2.05,2.16,1.95,2.08,138722,-
Jan 23 2018,2.03,2.16,1.87,2.05,96345,-
Jan 22 2018,2.18,2.25,1.88,2.04,84326,-
Jan 21 2018,2.44,2.44,2.08,2.15,109539,-
Jan 20 2018,2.21,2.48,2.21,2.41,252517,-
Jan 19 2018,2.17,2.29,2.11,2.18,164356,-
Jan 18 2018,2.04,2.34,2.00,2.19,283392,-
Jan 17 2018,2.11,2.16,1.69,2.03,225481,-
Jan 16 2018,2.57,2.66,1.90,2.12,445480,-
Jan 15 2018,2.81,2.92,2.57,2.57,348384,-
Jan 14 2018,3.06,3.13,2.68,2.83,420974,-
Jan 13 2018,2.81,3.11,2.80,3.06,863416,-
Jan 12 2018,2.57,2.89,2.46,2.79,570674,-
Jan 11 2018,2.83,2.86,2.42,2.55,576320,-
Jan 10 2018,2.93,2.94,2.62,2.85,482890,-
Jan 09 2018,3.07,3.15,2.90,2.96,684484,-
Jan 08 2018,3.28,3.33,2.86,3.08,1566360,-
Jan 07 2018,3.18,3.34,3.04,3.28,916777,-
Jan 06 2018,3.13,3.28,2.96,3.19,996261,-
Jan 05 2018,3.11,3.25,2.98,3.12,1286000,-
Jan 04 2018,3.10,3.23,2.87,3.11,1398150,-
Jan 03 2018,3.23,3.39,3.03,3.12,1102750,-
Jan 02 2018,3.01,3.42,2.88,3.28,2737110,-
Jan 01 2018,3.01,3.05,2.80,2.95,573945,-
Dec 31 2017,2.61,3.23,2.55,3.01,1327990,-
Dec 30 2017,2.95,3.00,2.48,2.62,580073,-
Dec 29 2017,2.96,3.16,2.79,2.96,1305370,-
Dec 28 2017,2.98,3.04,2.67,2.87,777283,-
Dec 27 2017,3.35,3.49,2.85,3.03,1019240,-
Dec 26 2017,3.34,3.49,2.96,3.35,1815770,-
Dec 25 2017,3.79,4.27,3.38,3.38,2575400,-
Dec 24 2017,2.65,4.18,2.47,3.80,6949440,-
Dec 23 2017,2.40,2.86,2.36,2.65,875675,-
Dec 22 2017,2.80,2.83,1.96,2.42,868505,-
Dec 21 2017,2.69,3.09,2.65,2.77,2049350,-
Dec 20 2017,3.14,3.14,2.64,2.69,1288750,-
Dec 19 2017,3.34,3.47,2.92,3.14,2027810,-
Dec 18 2017,3.10,3.48,2.91,3.34,1710810,-
Dec 17 2017,3.14,3.23,2.90,3.05,1577380,-
Dec 16 2017,3.18,3.40,2.91,3.06,1724070,-
Dec 15 2017,3.32,3.51,3.16,3.21,1464870,-
Dec 14 2017,3.42,3.70,3.31,3.35,2334310,-
Dec 13 2017,3.50,3.58,3.27,3.39,1076510,-
Dec 12 2017,3.40,3.66,3.29,3.45,1322910,-
Dec 11 2017,3.40,3.76,3.36,3.39,1346200,-
Dec 10 2017,3.39,3.75,3.07,3.41,1009130,-
Dec 09 2017,3.40,3.75,3.09,3.38,1134310,-
Dec 08 2017,3.85,3.97,3.10,3.40,1806750,-
Dec 07 2017,3.13,4.20,2.80,3.85,3705730,-
