Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.005973,0.006636,0.005921,0.006583,210,13496
Mar 30 2018,0.005772,0.005904,0.005415,0.005526,1,13041
Mar 29 2018,0.005689,0.006052,0.004446,0.005786,213,12855
Mar 28 2018,0.006076,0.007021,0.005635,0.005682,63,13730
Mar 27 2018,0.007211,0.007345,0.004308,0.006078,773,16294
Mar 26 2018,0.008271,0.008316,0.006171,0.007222,763,18689
Mar 25 2018,0.009353,0.009452,0.007703,0.008277,68,21134
Mar 24 2018,0.008912,0.011578,0.008324,0.009484,525,20137
Mar 23 2018,0.008998,0.008998,0.007484,0.008784,190,20330
Mar 22 2018,0.007294,0.011950,0.007283,0.008998,1681,16482
Mar 21 2018,0.007123,0.007326,0.007029,0.007308,6,16096
Mar 20 2018,0.008537,0.008558,0.006853,0.007111,213,19290
Mar 19 2018,0.008272,0.008593,0.006919,0.008443,72,18691
Mar 18 2018,0.006625,0.008393,0.006544,0.008307,8,14969
Mar 17 2018,0.007969,0.008130,0.006430,0.006641,130,18007
Mar 16 2018,0.006691,0.008170,0.006441,0.007956,330,15119
Mar 15 2018,0.006730,0.006893,0.006313,0.006695,145,15206
Mar 14 2018,0.007502,0.007674,0.006556,0.006733,27,16952
Mar 13 2018,0.007271,0.008237,0.007179,0.007501,190,16429
Mar 12 2018,0.008368,0.008534,0.007050,0.007313,191,18907
Mar 11 2018,0.007981,0.008644,0.006908,0.008394,540,18034
Mar 10 2018,0.007500,0.008664,0.007419,0.008009,85,16947
Mar 09 2018,0.007528,0.008771,0.006711,0.007497,55,17009
Mar 08 2018,0.009959,0.010119,0.007508,0.007576,180,22503
Mar 07 2018,0.009540,0.011239,0.008667,0.009973,169,21555
Mar 06 2018,0.010010,0.010010,0.009334,0.009552,37,22617
Mar 05 2018,0.011104,0.011165,0.010006,0.010037,369,25091
Mar 04 2018,0.009960,0.012364,0.009564,0.011113,247,22505
Mar 03 2018,0.009477,0.012329,0.009477,0.009977,299,21413
Mar 02 2018,0.009712,0.009933,0.009323,0.009488,65,21944
Mar 01 2018,0.008776,0.010427,0.008381,0.009737,355,19830
