Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.046236,0.048743,0.044962,0.045190,10625,7537500
Mar 30 2018,0.043953,0.047813,0.041272,0.046278,46342,7156260
Mar 29 2018,0.048729,0.049707,0.042628,0.044085,123709,7933880
Mar 28 2018,0.050058,0.051756,0.048430,0.048642,93681,8150320
Mar 27 2018,0.056562,0.061477,0.049093,0.050041,142242,9209200
Mar 26 2018,0.066576,0.067012,0.052231,0.056597,125573,10839600
Mar 25 2018,0.066307,0.068335,0.062461,0.066725,58820,10795800
Mar 24 2018,0.068908,0.071935,0.065494,0.067111,14179,11219400
Mar 23 2018,0.075100,0.077198,0.050258,0.068302,159769,12227500
Mar 22 2018,0.081546,0.083967,0.074037,0.075262,134465,13277000
Mar 21 2018,0.081748,0.085324,0.077982,0.081348,119905,13310000
Mar 20 2018,0.078290,0.083015,0.074610,0.081453,164876,16723900
Mar 19 2018,0.069624,0.081997,0.067183,0.077670,225454,11308200
Mar 18 2018,0.063051,0.073021,0.052892,0.069904,245212,10240500
Mar 17 2018,0.068930,0.069482,0.061831,0.063328,11436,11195400
Mar 16 2018,0.069774,0.071531,0.067012,0.068885,195969,11332400
Mar 15 2018,0.072185,0.072508,0.066992,0.069855,143580,11724000
Mar 14 2018,0.091727,0.095924,0.068382,0.071983,192557,14898000
Mar 13 2018,0.102253,0.105981,0.091409,0.091692,362064,-
Mar 12 2018,0.110948,0.115942,0.094016,0.102358,385855,-
Mar 11 2018,0.100706,0.133854,0.095949,0.111085,466788,-
Mar 10 2018,0.099414,0.108217,0.096995,0.101007,66746,-
Mar 09 2018,0.097320,0.099715,0.084053,0.099465,177708,-
Mar 08 2018,0.102175,0.102210,0.097212,0.097499,350963,-
