Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,7.52,7.79,6.79,6.90,4,-
Mar 30 2018,7.79,7.92,7.26,7.52,9,-
Mar 29 2018,8.73,8.74,7.33,7.81,82,-
Mar 28 2018,7.84,8.90,7.81,8.72,25,-
Mar 27 2018,8.98,9.01,8.53,8.71,10,-
Mar 26 2018,10.13,10.39,7.86,8.99,169,-
Mar 25 2018,8.96,10.36,8.89,10.14,249,-
Mar 24 2018,9.39,9.48,9.06,9.09,8,-
Mar 23 2018,10.70,10.70,9.05,9.26,10,-
Mar 22 2018,9.95,11.10,9.93,10.70,172,-
Mar 21 2018,11.04,11.06,8.30,9.97,446,-
Mar 20 2018,10.69,11.17,10.35,11.02,48,-
Mar 19 2018,9.44,10.67,9.38,10.57,111,-
Mar 18 2018,9.09,9.58,7.27,9.48,1119,-
Mar 17 2018,8.22,9.12,7.81,9.11,65,-
Mar 16 2018,8.41,8.49,8.20,8.20,578,-
Mar 15 2018,8.34,8.55,7.83,8.15,4,-
Mar 14 2018,9.06,9.27,8.13,8.35,39,-
Mar 13 2018,9.32,11.03,8.79,9.06,150,-
Mar 12 2018,9.45,9.79,8.72,8.91,9,-
Mar 11 2018,9.46,9.62,9.34,9.48,9,-
Mar 10 2018,9.81,9.93,9.79,9.88,7,-
Mar 09 2018,9.84,9.96,8.89,9.80,7,-
Mar 08 2018,9.79,9.99,9.13,9.91,27,-
Mar 07 2018,10.72,12.97,9.35,9.81,67,-
Mar 06 2018,13.12,14.05,10.61,10.73,670,-
Mar 05 2018,11.72,14.47,11.46,13.15,1166,-
Mar 04 2018,11.66,11.72,11.31,11.72,177,-
Mar 03 2018,11.90,12.38,11.50,11.68,55,-
Mar 02 2018,11.78,12.04,11.67,11.92,185,-
Mar 01 2018,11.15,13.41,11.06,11.81,195,-
Feb 28 2018,11.89,12.30,11.12,11.13,129,-
Feb 27 2018,11.15,12.08,11.00,11.90,72,-
Feb 26 2018,11.98,12.86,10.98,11.12,5,-
Feb 25 2018,13.82,14.05,9.51,11.97,893,-
Feb 24 2018,10.72,13.87,9.96,13.85,297,-
Feb 23 2018,13.72,16.01,10.53,10.74,595,-
Feb 22 2018,10.80,14.14,10.68,13.74,551,-
Feb 21 2018,15.65,15.68,10.60,10.81,1280,-
Feb 20 2018,15.64,16.41,13.97,15.67,129,-
Feb 19 2018,15.08,19.12,12.74,15.63,572,-
Feb 18 2018,19.52,19.86,14.50,15.15,109,-
Feb 17 2018,15.90,19.58,13.57,19.46,1723,-
Feb 16 2018,15.74,16.03,15.21,15.91,115,-
Feb 15 2018,16.67,17.00,15.04,15.81,91,-
Feb 14 2018,12.61,16.71,12.61,16.67,220,-
Feb 13 2018,14.68,14.75,12.50,12.65,253,-
Feb 12 2018,13.01,15.69,13.01,14.65,174,-
Feb 11 2018,13.72,13.72,11.55,12.93,184,-
Feb 10 2018,11.99,14.05,11.93,13.73,678,-
Feb 09 2018,11.39,13.36,10.73,11.98,110,-
Feb 08 2018,11.36,12.90,11.13,11.36,215,-
Feb 07 2018,10.79,13.71,10.09,11.41,373,-
Feb 06 2018,9.72,14.02,7.56,10.90,3637,-
Feb 05 2018,11.91,12.11,9.35,9.70,1120,-
Feb 04 2018,12.16,13.60,11.49,12.02,92,-
Feb 03 2018,12.55,13.61,11.61,12.16,2443,-
Feb 02 2018,12.71,13.19,10.70,12.51,903,-
Feb 01 2018,11.85,14.28,10.90,12.74,1611,-
Jan 31 2018,12.12,13.55,11.58,11.82,1424,-
Jan 30 2018,14.01,15.07,12.07,12.10,1408,-
Jan 29 2018,14.73,16.86,13.00,14.00,15271,-
Jan 28 2018,17.81,18.80,13.51,14.75,6252,-
