Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.591074,0.600679,0.563397,0.573948,104202,-
Mar 30 2018,0.591105,0.611131,0.563085,0.590854,192484,-
Mar 29 2018,0.664347,0.681525,0.581747,0.591295,387227,-
Mar 28 2018,0.646193,0.694524,0.641090,0.666757,210441,-
Mar 27 2018,0.571300,0.708483,0.541538,0.649890,854501,-
Mar 26 2018,0.602889,0.620218,0.552838,0.572565,240096,-
Mar 25 2018,0.557346,0.769231,0.534585,0.602865,507419,-
Mar 24 2018,0.567076,0.567105,0.534508,0.537306,125310,-
Mar 23 2018,0.554200,0.572221,0.520673,0.546409,140845,-
Mar 22 2018,0.568290,0.594979,0.519610,0.550169,178427,-
Mar 21 2018,0.535094,0.608132,0.535094,0.566565,197490,-
Mar 20 2018,0.562388,0.568473,0.499692,0.535708,259092,-
Mar 19 2018,0.526684,0.577738,0.510946,0.558053,285286,-
Mar 18 2018,0.547177,0.565095,0.442225,0.524462,446792,-
Mar 17 2018,0.585292,0.592342,0.541015,0.547102,156584,-
Mar 16 2018,0.545805,0.634748,0.541871,0.595566,245933,-
Mar 15 2018,0.616472,0.638458,0.537555,0.539004,242882,-
Mar 14 2018,0.661552,0.666633,0.594721,0.598604,280883,-
Mar 13 2018,0.676634,0.680062,0.648767,0.661005,100610,-
Mar 12 2018,0.673225,0.719227,0.653306,0.675737,184615,-
Mar 11 2018,0.663080,0.683245,0.626810,0.674277,138830,-
Mar 10 2018,0.682436,0.696248,0.649922,0.663129,144675,-
Mar 09 2018,0.677324,0.705132,0.609730,0.682722,228303,-
Mar 08 2018,0.608672,0.793230,0.567162,0.669360,643852,-
Mar 07 2018,0.817691,0.868505,0.541380,0.606604,887320,-
Mar 06 2018,0.820007,0.893616,0.806152,0.814946,320278,-
Mar 05 2018,0.908067,0.908884,0.775123,0.822828,903519,-
Mar 04 2018,0.958486,0.958677,0.870287,0.906872,605431,-
Mar 03 2018,0.992834,1.00,0.945115,0.950363,305138,-
Mar 02 2018,1.01,1.04,0.945589,0.993594,479411,-
Mar 01 2018,1.00,1.03,0.986780,1.00,111919,-
Feb 28 2018,1.03,1.06,0.989785,1.00,203155,-
Feb 27 2018,1.03,1.06,0.990061,1.04,299493,-
Feb 26 2018,0.989807,1.07,0.953577,1.02,299961,-
Feb 25 2018,1.03,1.05,0.958414,1.00,334938,-
Feb 24 2018,1.11,1.11,1.03,1.03,311226,-
Feb 23 2018,1.10,1.12,1.04,1.10,272106,-
Feb 22 2018,1.15,1.19,1.02,1.10,395657,-
Feb 21 2018,1.20,1.22,1.12,1.16,426713,-
Feb 20 2018,1.35,1.35,1.19,1.20,597468,-
Feb 19 2018,1.32,1.37,1.24,1.35,385612,-
Feb 18 2018,1.52,1.57,1.32,1.32,897267,-
Feb 17 2018,1.46,1.53,1.43,1.52,625502,-
Feb 16 2018,1.34,1.59,1.34,1.47,1405640,-
Feb 15 2018,1.24,1.33,1.23,1.32,588672,-
Feb 14 2018,1.19,1.25,1.17,1.24,458671,-
Feb 13 2018,1.18,1.21,1.16,1.17,310827,-
Feb 12 2018,1.18,1.21,1.17,1.19,281713,-
Feb 11 2018,1.23,1.23,1.15,1.19,412918,-
Feb 10 2018,1.25,1.32,1.20,1.24,581078,-
Feb 09 2018,1.22,1.27,1.15,1.27,400017,-
Feb 08 2018,1.16,1.28,1.15,1.22,460003,-
Feb 07 2018,1.12,1.33,1.09,1.15,871691,-
Feb 06 2018,1.11,1.17,1.05,1.14,690023,-
Feb 05 2018,1.03,1.22,0.992537,1.10,985091,-
