Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.026323,0.028744,0.023767,0.023806,983,414501
Mar 30 2018,0.027517,0.028441,0.023232,0.026319,327,433298
Mar 29 2018,0.031765,0.031817,0.022757,0.027585,1598,500192
Mar 28 2018,0.029719,0.031950,0.026763,0.031728,1422,467972
Mar 27 2018,0.027843,0.032363,0.025383,0.029726,1168,438441
Mar 26 2018,0.027514,0.029984,0.026558,0.027886,734,433254
Mar 25 2018,0.028065,0.030371,0.027168,0.027535,713,441924
Mar 24 2018,0.030033,0.030917,0.028380,0.028456,241,472920
Mar 23 2018,0.033413,0.033592,0.026521,0.027146,3400,526145
Mar 22 2018,0.033978,0.034814,0.032724,0.033414,376,535040
Mar 21 2018,0.033010,0.034962,0.026823,0.034129,5034,519794
Mar 20 2018,0.031021,0.035997,0.029000,0.032950,2959,488477
Mar 19 2018,0.030392,0.036084,0.030075,0.030679,717,478581
Mar 18 2018,0.028761,0.031603,0.027278,0.030521,980,452894
Mar 17 2018,0.036284,0.039504,0.024074,0.028831,11787,571344
Mar 16 2018,0.039014,0.051498,0.034149,0.036224,5670,614335
Mar 15 2018,0.047979,0.048280,0.035654,0.039036,8885,755505
Mar 14 2018,0.050054,0.052816,0.046743,0.048000,540,788184
Mar 13 2018,0.050370,0.054369,0.048405,0.050047,3429,793159
Mar 12 2018,0.059270,0.061531,0.048888,0.050661,539,933311
Mar 11 2018,0.054517,0.060364,0.052573,0.059458,283,858458
Mar 10 2018,0.055558,0.071919,0.046710,0.054740,4719,874853
Mar 09 2018,0.063590,0.064642,0.044918,0.055534,2715,1001330
Mar 08 2018,0.075952,0.076960,0.063995,0.063995,1274,1196000
Mar 07 2018,0.048881,0.083013,0.048881,0.076060,8360,769712
Mar 06 2018,0.088253,0.088253,0.048455,0.048945,4105,1389700
Mar 05 2018,0.080466,0.089031,0.059575,0.088498,11379,1267070
Mar 04 2018,0.087283,0.087353,0.074885,0.080525,1525,1374410
Mar 03 2018,0.088153,0.096783,0.081408,0.087433,2903,1388120
Mar 02 2018,0.096658,0.098135,0.086650,0.088261,7192,1522050
Mar 01 2018,0.079023,0.117599,0.078406,0.096908,14965,1244350
Feb 28 2018,0.107990,0.107990,0.078907,0.078907,7384,1700480
Feb 27 2018,0.102060,0.111989,0.100341,0.108117,2971,1607110
Feb 26 2018,0.121698,0.129697,0.084626,0.101766,20970,1916330
Feb 25 2018,0.137811,0.137811,0.119649,0.121542,2789,2170060
Feb 24 2018,0.134777,0.138287,0.124118,0.138020,3597,2122300
Feb 23 2018,0.129854,0.152265,0.126745,0.134948,13900,2044770
Feb 22 2018,0.143360,0.151984,0.127181,0.129975,10312,2257440
Feb 21 2018,0.157484,0.159277,0.138012,0.143505,7828,2479850
Feb 20 2018,0.157588,0.182399,0.154172,0.157681,25621,2481480
Feb 19 2018,0.139403,0.169930,0.127062,0.157445,20131,2195130
Feb 18 2018,0.154443,0.156958,0.137723,0.140046,4133,2431970
Feb 17 2018,0.141874,0.155578,0.140048,0.153971,3264,2234040
Feb 16 2018,0.142861,0.149486,0.118251,0.141906,10792,2249590
Feb 15 2018,0.143327,0.147172,0.135505,0.143498,8717,2256930
Feb 14 2018,0.112843,0.171051,0.112843,0.143155,51387,1776910
Feb 13 2018,0.134787,0.134787,0.112490,0.113181,4071,2122440
Feb 12 2018,0.127669,0.154769,0.113929,0.134542,11975,2010370
Feb 11 2018,0.119782,0.128176,0.104499,0.126861,8154,1886160
Feb 10 2018,0.131622,0.148140,0.115269,0.119884,16730,2072620
Feb 09 2018,0.123722,0.152371,0.107672,0.131526,22094,1948210
Feb 08 2018,0.107541,0.124554,0.088417,0.123345,14610,1693420
Feb 07 2018,0.109699,0.128764,0.092644,0.117278,15381,1727400
Feb 06 2018,0.062473,0.117893,0.053736,0.110808,16763,983738
Feb 05 2018,0.084688,0.091085,0.059990,0.062394,12630,1333550
Feb 04 2018,0.112699,0.114767,0.080560,0.085359,13555,1774630
Feb 03 2018,0.107305,0.117060,0.082378,0.112641,11080,1689700
Feb 02 2018,0.120632,0.120632,0.100949,0.106940,15857,1899560
Feb 01 2018,0.136517,0.146985,0.105631,0.120882,10196,2149690
Jan 31 2018,0.137076,0.153536,0.127209,0.136200,21076,2158490
Jan 30 2018,0.165950,0.173449,0.131892,0.136863,27536,2613150
Jan 29 2018,0.201031,0.204486,0.139917,0.165567,63306,3165570
Jan 28 2018,0.207680,0.209863,0.139390,0.201223,49598,3270260
Jan 27 2018,0.196587,0.216849,0.152055,0.206622,58744,3095600
Jan 26 2018,0.201346,0.219476,0.188124,0.196718,28715,3170530
Jan 25 2018,0.220135,0.264024,0.194378,0.201883,49690,3466400
Jan 24 2018,0.198218,0.225571,0.172066,0.201988,68932,3121270
Jan 23 2018,0.214840,0.235228,0.171244,0.198331,48740,3383010
Jan 22 2018,0.222247,0.237621,0.184231,0.215324,26354,3499650
Jan 21 2018,0.256273,0.256273,0.177798,0.214093,48902,4035450
Jan 20 2018,0.224815,0.308952,0.208654,0.255679,75109,3540090
Jan 19 2018,0.247928,0.265558,0.183356,0.222398,97087,3904040
Jan 18 2018,0.227037,0.286333,0.222972,0.250562,30224,3575070
Jan 17 2018,0.241574,0.272455,0.171386,0.225834,54530,3803990
Jan 16 2018,0.359554,0.359554,0.226120,0.251755,57692,5661780
Jan 15 2018,0.334162,0.354201,0.266365,0.322764,109533,5261940
Jan 14 2018,0.379933,0.411067,0.288158,0.334698,124244,5982680
Jan 13 2018,0.395737,0.414153,0.337879,0.379831,145786,6231540
Jan 12 2018,0.423061,0.506268,0.387355,0.396189,186747,6661800
Jan 11 2018,0.407898,0.493308,0.365775,0.423178,171917,6423040
