Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.004272,0.004865,0.004260,0.004712,6,87673
Mar 30 2018,0.004536,0.004927,0.004113,0.004272,95,93075
Mar 29 2018,0.005329,0.005338,0.004415,0.004547,64,109351
Mar 28 2018,0.004986,0.005707,0.004959,0.005323,26,102322
Mar 27 2018,0.006127,0.006146,0.004980,0.004987,167,125725
Mar 26 2018,0.006181,0.006215,0.005713,0.006136,3,126831
Mar 25 2018,0.006213,0.006446,0.006158,0.006185,34,127489
Mar 24 2018,0.006632,0.006724,0.005762,0.006299,260,136101
Mar 23 2018,0.006432,0.006537,0.006074,0.006537,9,131993
Mar 22 2018,0.006569,0.006700,0.006329,0.006432,19,134797
Mar 21 2018,0.006567,0.006719,0.006187,0.006581,21,134749
Mar 20 2018,0.006098,0.007271,0.005425,0.006555,28,125132
Mar 19 2018,0.006275,0.006460,0.005644,0.006031,287,128760
Mar 18 2018,0.005245,0.006361,0.005019,0.006301,169,107629
Mar 17 2018,0.005515,0.005602,0.005147,0.005258,53,113162
Mar 16 2018,0.005212,0.006745,0.004589,0.005505,56,106943
Mar 15 2018,0.005066,0.006588,0.004590,0.005214,81,103962
Mar 14 2018,0.004900,0.005792,0.004688,0.005069,108,100560
Mar 13 2018,0.004603,0.005844,0.004544,0.004900,373,94450
Mar 12 2018,0.005585,0.008472,0.004087,0.004629,3220,114611
Mar 11 2018,0.005390,0.005768,0.005206,0.005603,152,110609
Mar 10 2018,0.005475,0.006019,0.005360,0.005409,62,112342
Mar 09 2018,0.005576,0.005642,0.005006,0.005472,163,114423
Mar 08 2018,0.006296,0.006514,0.005480,0.005612,66,129205
Mar 07 2018,0.006630,0.006741,0.004702,0.006305,198,136056
Mar 06 2018,0.006009,0.006850,0.005848,0.006639,138,123298
Mar 05 2018,0.008163,0.008417,0.005350,0.006025,4251,167509
Mar 04 2018,0.008900,0.009270,0.007766,0.008169,356,182630
Mar 03 2018,0.008718,0.009281,0.008317,0.008915,186,178901
Mar 02 2018,0.008045,0.008787,0.008010,0.008729,94,165085
Mar 01 2018,0.007744,0.008187,0.007553,0.008067,38,158905
Feb 28 2018,0.008463,0.008603,0.007729,0.007835,136,173667
Feb 27 2018,0.007909,0.009485,0.007908,0.008473,86,162293
Feb 26 2018,0.007477,0.009259,0.007454,0.007886,336,153442
Feb 25 2018,0.008119,0.008244,0.007420,0.007468,4,166613
Feb 24 2018,0.009205,0.009961,0.007901,0.008132,598,188893
Feb 23 2018,0.009208,0.009832,0.009006,0.009217,179,188958
Feb 22 2018,0.009623,0.009921,0.008962,0.009217,64,197463
Feb 21 2018,0.010676,0.011778,0.009633,0.009633,834,219079
Feb 20 2018,0.011076,0.013201,0.010512,0.010689,371,227279
Feb 19 2018,0.009410,0.011132,0.009332,0.011066,594,193106
Feb 18 2018,0.010424,0.011802,0.009263,0.009454,473,213917
Feb 17 2018,0.011111,0.013024,0.010187,0.010393,759,228002
Feb 16 2018,0.011507,0.011716,0.010757,0.011114,312,236133
Feb 15 2018,0.011764,0.012304,0.010378,0.011557,117,241398
Feb 14 2018,0.010800,0.011824,0.010126,0.011757,403,221624
Feb 13 2018,0.009876,0.011331,0.009357,0.010832,680,202666
