Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,1.20,1.40,1.13,1.19,71322,21396600
Mar 30 2018,1.20,1.29,1.07,1.20,123993,21271100
Mar 29 2018,1.38,1.38,1.00,1.19,149440,24438400
Mar 28 2018,1.30,1.42,1.29,1.38,34239,23009900
Mar 27 2018,1.41,1.59,1.30,1.30,94549,24920300
Mar 26 2018,1.45,1.48,1.32,1.41,31225,25728200
Mar 25 2018,1.47,1.55,1.38,1.45,63718,26055200
Mar 24 2018,1.56,1.60,1.49,1.49,6804,27581400
Mar 23 2018,1.54,1.55,1.47,1.54,16340,27242800
Mar 22 2018,1.61,1.66,1.52,1.54,33640,28516000
Mar 21 2018,1.61,1.81,1.59,1.65,88191,28488100
Mar 20 2018,1.53,1.67,1.46,1.61,101832,26917300
Mar 19 2018,1.56,1.62,1.35,1.49,113825,27446300
Mar 18 2018,1.42,1.61,1.28,1.56,119570,25003600
Mar 17 2018,1.40,1.65,1.40,1.42,90058,24602800
Mar 16 2018,1.55,1.62,1.40,1.40,41815,27238200
Mar 15 2018,1.64,1.72,1.42,1.55,79022,28874800
Mar 14 2018,1.96,2.02,1.64,1.64,80942,34413000
Mar 13 2018,2.00,2.17,1.90,1.96,46844,35110100
Mar 12 2018,2.14,2.41,1.99,2.01,197247,37476200
Mar 11 2018,1.73,2.23,1.64,2.14,83451,30400900
Mar 10 2018,1.91,1.99,1.73,1.74,47267,33531000
Mar 09 2018,1.98,2.00,1.74,1.91,46211,34673800
Mar 08 2018,2.15,2.22,1.90,1.99,69438,37630400
Mar 07 2018,2.45,2.56,2.03,2.15,154225,42800800
Mar 06 2018,2.77,2.80,2.41,2.45,183442,48392900
Mar 05 2018,2.74,2.93,2.33,2.76,213270,47778100
Mar 04 2018,2.81,2.81,2.64,2.81,46855,48991200
Mar 03 2018,2.89,3.05,2.79,2.81,58985,50297800
Mar 02 2018,2.77,3.00,2.68,2.89,82986,48316600
Mar 01 2018,2.82,2.90,2.72,2.78,47909,49139100
Feb 28 2018,2.82,3.06,2.67,2.82,163391,48864900
Feb 27 2018,2.55,2.82,2.44,2.75,136633,44209200
Feb 26 2018,2.32,2.57,2.21,2.50,105621,40157400
Feb 25 2018,2.32,2.42,2.16,2.31,91882,40216200
Feb 24 2018,2.55,2.61,2.19,2.33,100150,44096800
Feb 23 2018,2.30,2.67,2.19,2.56,68389,39845100
Feb 22 2018,2.50,2.63,2.22,2.29,42905,43222700
Feb 21 2018,2.88,2.88,2.39,2.50,107091,49714100
Feb 20 2018,3.19,3.34,2.89,2.92,64382,54967500
Feb 19 2018,3.11,3.30,3.10,3.23,48097,53661400
Feb 18 2018,3.55,3.61,3.12,3.13,62153,61086700
Feb 17 2018,3.28,3.74,3.22,3.54,97429,56447900
Feb 16 2018,3.25,3.41,2.91,3.28,204325,55924900
Feb 15 2018,2.79,3.56,2.71,3.27,296822,48017500
Feb 14 2018,2.63,2.85,2.56,2.79,104557,45176700
Feb 13 2018,2.95,3.02,2.55,2.64,153278,50621100
Feb 12 2018,2.52,3.25,2.50,2.92,644585,43244500
Feb 11 2018,2.74,2.74,2.51,2.51,91812,47042800
Feb 10 2018,2.51,2.75,2.46,2.75,89913,43017900
Feb 09 2018,2.43,2.51,2.31,2.51,81582,41609100
Feb 08 2018,2.32,2.64,2.31,2.39,26967,39693900
Feb 07 2018,2.31,2.65,2.18,2.34,93959,39489800
Feb 06 2018,1.81,2.43,1.55,2.33,118531,30853200
Feb 05 2018,2.25,2.36,1.75,1.80,57599,38420800
Feb 04 2018,2.79,2.79,2.23,2.27,65201,47631000
Feb 03 2018,2.81,2.98,2.49,2.79,101009,47834800
Feb 02 2018,2.72,3.07,2.23,2.80,288928,46284800
Feb 01 2018,2.85,2.95,2.57,2.72,116523,48484900
Jan 31 2018,2.90,2.97,2.74,2.89,84595,49368900
Jan 30 2018,3.57,3.57,2.78,2.93,158854,60659300
Jan 29 2018,3.58,3.67,3.33,3.56,92622,60855200
Jan 28 2018,3.75,3.96,3.55,3.59,114348,63545300
Jan 27 2018,3.76,3.92,3.54,3.73,89577,63650500
Jan 26 2018,3.51,3.80,3.36,3.77,118780,59325400
Jan 25 2018,3.75,3.83,3.45,3.52,119846,63371800
Jan 24 2018,3.47,3.78,3.44,3.69,108914,58600100
Jan 23 2018,3.39,3.82,3.33,3.48,149508,57220300
Jan 22 2018,3.63,3.70,3.01,3.46,149255,61140200
Jan 21 2018,4.04,4.05,3.41,3.58,82390,67995900
Jan 20 2018,3.76,4.23,3.64,4.03,240229,63246800
Jan 19 2018,3.48,3.81,3.24,3.62,132598,58436600
Jan 18 2018,3.13,3.89,3.05,3.51,181710,52615000
Jan 17 2018,3.18,3.35,2.62,3.12,280597,53456100
Jan 16 2018,3.89,4.07,2.90,3.20,252228,65328000
Jan 15 2018,3.92,4.26,3.79,3.89,140663,65637800
Jan 14 2018,4.41,4.55,3.77,3.94,175272,73839500
Jan 13 2018,4.05,4.62,3.97,4.40,173770,67840900
Jan 12 2018,3.79,4.28,3.72,4.06,284468,63412100
Jan 11 2018,4.26,4.34,3.59,3.76,149463,71214000
Jan 10 2018,4.34,4.37,3.84,4.32,243036,72553800
Jan 09 2018,4.68,5.59,4.27,4.35,1794990,78165200
Jan 08 2018,4.25,4.71,3.88,4.70,558548,70949100
Jan 07 2018,3.97,4.36,3.92,4.26,250450,66183900
Jan 06 2018,3.64,4.15,3.49,3.97,183965,60569200
Jan 05 2018,3.78,4.19,3.21,3.63,767139,62931500
Jan 04 2018,3.74,3.98,3.47,3.76,637444,62179200
Jan 03 2018,3.35,4.34,3.03,3.74,1635200,55727600
Jan 02 2018,2.77,3.73,2.67,3.32,667201,46028300
Jan 01 2018,2.90,2.91,2.60,2.77,287172,48101900
Dec 31 2017,2.60,2.98,2.60,2.89,193140,43155400
Dec 30 2017,3.09,3.11,2.51,2.63,232790,51150800
Dec 29 2017,2.96,3.32,2.83,3.13,391480,48925300
Dec 28 2017,3.17,3.18,2.78,2.93,374179,52558200
Dec 27 2017,3.37,3.43,3.01,3.18,406851,55864500
Dec 26 2017,3.22,3.70,3.07,3.25,619208,53289200
Dec 25 2017,2.90,3.39,2.62,3.23,511798,47907600
Dec 24 2017,3.08,3.08,2.42,2.85,223688,50785300
Dec 23 2017,2.72,3.25,2.72,3.05,253545,44927600
Dec 22 2017,3.31,3.42,2.19,2.70,360560,54501200
Dec 21 2017,3.31,3.73,3.00,3.40,858230,54509500
Dec 20 2017,3.42,3.62,3.04,3.30,534698,56365600
Dec 19 2017,3.54,3.73,3.13,3.44,784184,58243900
Dec 18 2017,3.02,3.96,2.93,3.54,1316960,49573200
