Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.004513,0.004677,0.004111,0.004158,61,61417
Mar 30 2018,0.004392,0.004752,0.004365,0.004512,152,59734
Mar 29 2018,0.005559,0.005568,0.005150,0.005241,5,75522
Mar 28 2018,0.006385,0.006425,0.005506,0.005552,24,86671
Mar 27 2018,0.006699,0.006720,0.006288,0.006387,26,90843
Mar 26 2018,0.011985,0.012050,0.006704,0.006709,10,162382
Mar 25 2018,0.005017,0.012322,0.004780,0.011994,147,67912
Mar 24 2018,0.005258,0.005306,0.005075,0.005087,5,71113
Mar 23 2018,0.005221,0.005221,0.004906,0.005183,16,70546
Mar 22 2018,0.008184,0.008347,0.005137,0.005221,17,110484
Mar 21 2018,0.005343,0.008425,0.005038,0.008199,10,72061
Mar 20 2018,0.006036,0.006205,0.005284,0.005333,88,81343
Mar 19 2018,0.005805,0.008419,0.005712,0.005970,148,78176
Mar 18 2018,0.007808,0.007808,0.007468,0.007530,8,105024
Mar 17 2018,0.006309,0.007961,0.006168,0.007827,8,84788
Mar 16 2018,0.008261,0.008311,0.006160,0.006299,4,110913
Mar 15 2018,0.009766,0.009828,0.006031,0.008265,25,131013
Mar 14 2018,0.010888,0.011137,0.009515,0.009771,75,145921
Mar 13 2018,0.007089,0.010893,0.006933,0.010886,83,94926
Mar 12 2018,0.007635,0.007773,0.006874,0.007130,13,102146
Mar 11 2018,0.008863,0.012214,0.007302,0.007660,185,118459
Mar 10 2018,0.009352,0.009580,0.008813,0.008894,87,124884
Mar 09 2018,0.011803,0.011942,0.008724,0.009348,94,157460
Mar 08 2018,0.009989,0.012818,0.009658,0.011878,12,133149
Mar 07 2018,0.011040,0.011098,0.009728,0.010004,172,147023
Mar 06 2018,0.012771,0.012771,0.010906,0.011055,219,169909
Mar 05 2018,0.012992,0.022919,0.012682,0.012806,166,172695
Mar 04 2018,0.011897,0.013002,0.011541,0.013002,3,157998
Mar 03 2018,0.022039,0.022746,0.011736,0.011918,153,292404
Mar 02 2018,0.013084,0.022273,0.013084,0.022066,142,173440
Mar 01 2018,0.015074,0.021276,0.013118,0.013118,337,199635
Feb 28 2018,0.018449,0.031377,0.014837,0.015052,468,244106
Feb 27 2018,0.026782,0.026782,0.018209,0.018471,11,354220
Feb 26 2018,0.030964,0.033639,0.030392,0.033445,9,408932
Feb 25 2018,0.025210,0.031276,0.022583,0.030925,245,332620
Feb 24 2018,0.025773,0.026666,0.023769,0.025248,159,339730
Feb 23 2018,0.024612,0.026303,0.024005,0.025805,96,324132
Feb 22 2018,0.025747,0.026505,0.022814,0.024635,473,338766
Feb 21 2018,0.025798,0.031624,0.021546,0.025774,2883,339112
Feb 20 2018,0.033291,0.034221,0.022210,0.025830,71,437199
Feb 19 2018,0.017659,0.036726,0.017605,0.033261,306,231693
Feb 18 2018,0.015753,0.018526,0.014729,0.017741,77,206489
Feb 17 2018,0.015800,0.017944,0.014837,0.015705,274,206912
Feb 16 2018,0.019979,0.020283,0.015111,0.015804,12,261398
Feb 15 2018,0.027004,0.028082,0.015354,0.020065,542,352973
Feb 14 2018,0.029189,0.053477,0.025813,0.026989,337,381174
Feb 13 2018,0.053385,0.060603,0.029095,0.029276,715,696500
Feb 12 2018,0.055853,0.152569,0.041451,0.053288,259667,728004
Feb 11 2018,0.061900,0.072785,0.040624,0.055499,2185,806063
Feb 10 2018,0.048223,0.080959,0.047986,0.061953,753,627371
Feb 09 2018,0.025013,0.149908,0.022493,0.048188,9726,325100
Feb 08 2018,0.020453,0.025159,0.015000,0.024936,29054,265581
Feb 07 2018,0.015802,0.022275,0.013626,0.020535,3249,204995
Feb 06 2018,0.011174,0.017145,0.006176,0.015962,2058,144819
Feb 05 2018,0.010923,0.011446,0.008526,0.011160,376,141429
Feb 04 2018,0.013682,0.013746,0.006658,0.011030,210,176982
Feb 03 2018,0.007267,0.014045,0.006725,0.013674,706,93921
Feb 02 2018,0.007810,0.007810,0.006530,0.007243,145,100837
Feb 01 2018,0.009255,0.014787,0.007535,0.007826,225,119380
Jan 31 2018,0.013322,0.015658,0.009115,0.009234,387,171679
