Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.001016,0.001130,0.000876,0.000976,1204,409645
Mar 30 2018,0.000921,0.001029,0.000858,0.001016,133,371213
Mar 29 2018,0.001112,0.001113,0.000896,0.000923,1177,447872
Mar 28 2018,0.001090,0.001134,0.001011,0.001110,1700,438903
Mar 27 2018,0.001233,0.001345,0.001089,0.001090,3079,496286
Mar 26 2018,0.001350,0.001358,0.001160,0.001235,701,543038
Mar 25 2018,0.001190,0.001388,0.001173,0.001351,66,478594
Mar 24 2018,0.001341,0.001343,0.001204,0.001207,153,539106
Mar 23 2018,0.001479,0.001479,0.001165,0.001322,1428,593992
Mar 22 2018,0.001511,0.001540,0.001430,0.001479,40,606344
Mar 21 2018,0.001425,0.001556,0.001339,0.001513,309,571769
Mar 20 2018,0.001380,0.001442,0.001253,0.001422,854,553330
Mar 19 2018,0.001423,0.001465,0.001225,0.001365,2797,570142
Mar 18 2018,0.001371,0.001429,0.001224,0.001429,835,549494
Mar 17 2018,0.001440,0.001706,0.001315,0.001375,1175,576250
Mar 16 2018,0.001608,0.001820,0.001381,0.001437,4643,643318
Mar 15 2018,0.001313,0.001671,0.001248,0.001621,5717,525312
Mar 14 2018,0.001464,0.001576,0.001279,0.001314,3114,584970
Mar 13 2018,0.001454,0.001602,0.001420,0.001464,835,580762
Mar 12 2018,0.001527,0.001682,0.001410,0.001463,2418,609479
Mar 11 2018,0.001492,0.001570,0.001376,0.001532,1385,594898
Mar 10 2018,0.001574,0.001678,0.001483,0.001497,2358,627523
Mar 09 2018,0.001859,0.001881,0.001312,0.001573,6101,740448
Mar 08 2018,0.001187,0.002296,0.001154,0.001871,30027,472310
Mar 07 2018,0.001393,0.001513,0.001074,0.001189,9979,554323
Mar 06 2018,0.001496,0.001584,0.001348,0.001395,3481,594785
Mar 05 2018,0.001725,0.001735,0.001490,0.001500,4280,685362
Mar 04 2018,0.001716,0.001795,0.001249,0.001726,5880,681491
Mar 03 2018,0.002094,0.002267,0.001356,0.001719,11852,830918
Mar 02 2018,0.002399,0.002427,0.001945,0.002096,2433,951330
Mar 01 2018,0.002272,0.002421,0.002028,0.002405,2897,900438
Feb 28 2018,0.002666,0.003085,0.002088,0.002268,16070,1056170
Feb 27 2018,0.004022,0.004143,0.002157,0.002669,26469,1592000
Feb 26 2018,0.003739,0.004210,0.003608,0.004010,4206,1478940
Feb 25 2018,0.003491,0.003776,0.003434,0.003734,1162,1379830
Feb 24 2018,0.003856,0.003989,0.003353,0.003496,943,1523180
Feb 23 2018,0.003643,0.004039,0.003480,0.003861,2543,1438010
Feb 22 2018,0.004082,0.004254,0.003286,0.003646,3708,1610230
Feb 21 2018,0.004711,0.004832,0.004007,0.004086,6266,1856970
Feb 20 2018,0.004915,0.005317,0.004666,0.004717,2076,1936220
Feb 19 2018,0.004571,0.005275,0.004556,0.004911,1585,1799210
Feb 18 2018,0.005214,0.005303,0.004581,0.004592,1683,2051120
Feb 17 2018,0.004689,0.005316,0.004629,0.005198,4652,1843210
Feb 16 2018,0.004137,0.005047,0.003914,0.004690,8206,1625250
Feb 15 2018,0.003979,0.004378,0.003965,0.004053,3102,1562230
Feb 14 2018,0.003574,0.004072,0.003574,0.003977,3156,1402140
Feb 13 2018,0.003826,0.003843,0.003530,0.003585,1727,1499820
Feb 12 2018,0.003324,0.003953,0.003324,0.003819,2659,1301940
Feb 11 2018,0.004018,0.004018,0.003278,0.003303,1341,1572950
Feb 10 2018,0.003997,0.004471,0.003681,0.004022,1976,1563480
Feb 09 2018,0.003632,0.004447,0.003532,0.003994,3298,1420050
Feb 08 2018,0.003106,0.003870,0.003106,0.003621,2001,1213600
Feb 07 2018,0.003160,0.003719,0.003031,0.003118,1418,1234050
Feb 06 2018,0.003193,0.003468,0.002359,0.003192,1429,1245700
Feb 05 2018,0.004024,0.004191,0.003133,0.003189,1753,1569060
Feb 04 2018,0.004530,0.004754,0.003963,0.004064,1747,1765010
Feb 03 2018,0.004254,0.004957,0.003872,0.004527,1868,1656540
Feb 02 2018,0.005176,0.005176,0.003393,0.004240,2779,2014320
Feb 01 2018,0.005797,0.005899,0.004321,0.005187,6415,2254440
Jan 31 2018,0.006010,0.006154,0.005662,0.005784,3046,2335640
Jan 30 2018,0.006832,0.007093,0.005984,0.006001,4819,2653070
Jan 29 2018,0.006960,0.007524,0.006489,0.006830,4643,2700790
Jan 28 2018,0.007307,0.007771,0.006936,0.006967,3560,2833550
Jan 27 2018,0.007788,0.007834,0.006723,0.007270,1879,3018270
Jan 26 2018,0.007828,0.008265,0.006932,0.007793,6673,3032480
Jan 25 2018,0.011227,0.011364,0.007667,0.007738,5029,4346280
