Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.002735,0.002834,0.002735,0.002823,8,-
Mar 30 2018,0.002834,0.003049,0.002621,0.002734,73,-
Mar 29 2018,0.003256,0.003261,0.002758,0.002841,36,-
Mar 28 2018,0.003115,0.003320,0.003064,0.003252,74,-
Mar 27 2018,0.003431,0.003442,0.003111,0.003115,288,-
Mar 26 2018,0.003798,0.003819,0.003307,0.003436,110,-
Mar 25 2018,0.003826,0.003905,0.003769,0.003801,25,-
Mar 24 2018,0.003832,0.004033,0.003648,0.003880,52,-
Mar 23 2018,0.004003,0.004003,0.003691,0.003777,156,-
Mar 22 2018,0.004893,0.004990,0.003650,0.004003,720,-
Mar 21 2018,0.004630,0.005037,0.004415,0.004901,119,-
Mar 20 2018,0.004570,0.004960,0.004424,0.004622,385,-
Mar 19 2018,0.005078,0.005228,0.004243,0.004520,104,-
Mar 18 2018,0.004732,0.005152,0.003858,0.005099,612,-
Mar 17 2018,0.004981,0.004991,0.004648,0.004743,6,-
Mar 16 2018,0.005039,0.005070,0.004653,0.004973,219,-
Mar 15 2018,0.004268,0.005092,0.003387,0.005042,1426,-
Mar 14 2018,0.004392,0.004586,0.003656,0.004270,247,-
Mar 13 2018,0.003908,0.004391,0.003816,0.004391,36,-
Mar 12 2018,0.003722,0.004353,0.003701,0.003931,205,-
Mar 11 2018,0.003686,0.004818,0.003387,0.003734,1827,-
Mar 10 2018,0.003796,0.003980,0.003665,0.003698,13,-
Mar 09 2018,0.003903,0.003949,0.003523,0.003795,145,-
Mar 08 2018,0.004253,0.004307,0.003705,0.003928,356,-
Mar 07 2018,0.004931,0.005005,0.004156,0.004259,197,-
Mar 06 2018,0.005177,0.005283,0.004689,0.004937,721,-
Mar 05 2018,0.005864,0.006216,0.005190,0.005192,1534,-
Mar 04 2018,0.005834,0.006137,0.005660,0.005868,86,-
Mar 03 2018,0.006171,0.006474,0.005774,0.005844,301,-
Mar 02 2018,0.005670,0.006178,0.005512,0.006178,669,-
Mar 01 2018,0.005885,0.006272,0.005575,0.005685,1438,-
Feb 28 2018,0.007039,0.010616,0.005525,0.005877,13327,-
Feb 27 2018,0.007115,0.008189,0.006713,0.007047,880,-
Feb 26 2018,0.006902,0.007592,0.005834,0.007095,1274,-
