Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.608536,0.754389,0.592500,0.640126,13237,5986190
Mar 30 2018,0.574783,0.623871,0.545637,0.610169,1868,5654160
Mar 29 2018,0.703284,0.753419,0.556202,0.574412,775,6918230
Mar 28 2018,0.724030,0.829492,0.593060,0.703502,2742,7122310
Mar 27 2018,0.591347,0.756738,0.546326,0.724464,4482,5817100
Mar 26 2018,0.726620,0.734169,0.558529,0.592558,6924,7147790
Mar 25 2018,0.681652,0.866837,0.649216,0.728014,8983,6705430
Mar 24 2018,0.728852,0.740664,0.604163,0.683403,1041,7169740
Mar 23 2018,0.691058,0.725949,0.661012,0.725949,520,6797960
Mar 22 2018,0.716715,0.764688,0.675983,0.691507,922,7050350
Mar 21 2018,0.738102,0.767227,0.694319,0.714472,1046,7260740
Mar 20 2018,0.641372,0.806409,0.616664,0.740191,5172,6309190
Mar 19 2018,0.585352,0.643296,0.570750,0.640930,2713,5758120
Mar 18 2018,0.742618,0.742618,0.507606,0.586538,5223,7305160
Mar 17 2018,0.604953,0.786004,0.584877,0.742959,4521,5950940
Mar 16 2018,0.691387,0.845134,0.608001,0.608001,8811,6801200
Mar 15 2018,0.759317,0.897993,0.682572,0.692068,4637,7469430
Mar 14 2018,0.773245,1.13,0.633762,0.759699,28133,7606440
Mar 13 2018,0.776068,0.795386,0.712957,0.770076,1890,7634210
Mar 12 2018,0.907220,0.960787,0.739070,0.777071,819,8924350
Mar 11 2018,0.782259,0.915795,0.731053,0.906946,1647,7695110
Mar 10 2018,0.742108,0.964539,0.704308,0.784589,15445,7300140
Mar 09 2018,0.687539,0.743145,0.652096,0.741500,1259,6763350
Mar 08 2018,0.852804,0.872435,0.626110,0.687225,7189,8389060
Mar 07 2018,0.905085,0.928523,0.734978,0.854704,2927,8903360
Mar 06 2018,1.23,1.23,0.905358,0.906524,5643,12119000
Mar 05 2018,1.19,1.28,1.12,1.23,3095,11658900
Mar 04 2018,1.23,1.28,1.13,1.18,11732,12080600
Mar 03 2018,1.54,1.58,0.872621,1.23,12592,15191900
Mar 02 2018,0.841489,1.55,0.772922,1.54,42764,8277760
Mar 01 2018,0.852421,0.921772,0.840678,0.843320,954,8385300
Feb 28 2018,0.896074,0.928818,0.836164,0.849274,1485,8814710
Feb 27 2018,0.935049,0.981486,0.826235,0.897012,4985,9198110
Feb 26 2018,0.937161,0.980017,0.900701,0.935018,1397,9218890
Feb 25 2018,0.937752,0.954883,0.907044,0.935980,2906,9224700
Feb 24 2018,0.855185,0.973298,0.854653,0.939537,5109,8412480
Feb 23 2018,0.985339,1.03,0.827188,0.856086,5360,9692810
Feb 22 2018,1.01,1.05,0.903662,0.982014,4510,9940000
Feb 21 2018,0.910366,1.03,0.888234,1.01,13632,8955300
Feb 20 2018,1.05,1.09,0.904578,0.910289,11312,10289400
Feb 19 2018,1.22,1.44,1.04,1.05,4594,11975000
Feb 18 2018,1.22,1.45,1.00,1.22,25265,11988900
Feb 17 2018,1.19,1.24,1.04,1.22,9179,11697600
Feb 16 2018,1.22,1.25,0.890313,1.19,2091,12047400
Feb 15 2018,1.20,1.28,1.08,1.23,2840,11824200
Feb 14 2018,1.07,1.21,1.01,1.20,33799,10534500
Feb 13 2018,1.14,1.15,1.02,1.07,4139,11227200
Feb 12 2018,1.03,1.15,1.03,1.14,1417,10129600
Feb 11 2018,1.01,1.08,0.951712,1.02,1103,9984480
Feb 10 2018,1.13,1.24,0.968252,1.02,5387,11156700
Feb 09 2018,0.986767,1.26,0.864572,1.13,21596,9706860
Feb 08 2018,0.901865,1.02,0.851905,0.990542,1434,8871680
Feb 07 2018,1.23,1.25,0.898825,0.903375,12844,12061500
Feb 06 2018,0.992345,1.98,0.754792,1.23,41511,9761730
Feb 05 2018,0.991588,1.21,0.885727,0.993789,122421,9754290
Feb 04 2018,1.62,1.62,0.944308,0.997512,9070,15930600
Feb 03 2018,1.22,1.62,1.13,1.62,9341,12032300
Feb 02 2018,1.43,1.43,0.948849,1.22,11191,14105200
Feb 01 2018,1.46,1.50,1.18,1.44,3959,14402300
Jan 31 2018,1.43,1.60,1.35,1.46,1486,14019900
Jan 30 2018,1.82,1.83,1.41,1.43,7004,17947600
Jan 29 2018,2.06,2.13,1.65,1.83,44149,20256000
Jan 28 2018,2.02,2.26,1.86,2.06,21197,19827900
Jan 27 2018,2.08,2.16,1.72,2.01,13474,20505400
Jan 26 2018,2.37,2.40,2.01,2.08,14793,23326100
Jan 25 2018,2.37,2.64,2.04,2.36,6403,23330400
Jan 24 2018,2.01,2.99,1.91,2.36,18677,19797100
Jan 23 2018,2.06,2.47,1.80,2.02,8227,20292600
Jan 22 2018,2.43,2.52,1.85,2.08,12385,23951600
Jan 21 2018,2.28,2.43,1.71,2.43,19653,22446500
Jan 20 2018,2.76,3.39,2.28,2.28,43474,27110200
Jan 19 2018,1.72,3.20,1.48,2.73,53573,16934600
Jan 18 2018,1.86,2.19,1.62,1.72,20670,18301000
Jan 17 2018,1.75,1.96,1.36,1.88,36472,17247900
Jan 16 2018,2.62,2.62,1.47,1.75,25897,25760800
Jan 15 2018,2.36,2.72,2.24,2.61,20860,23256800
Jan 14 2018,2.72,2.72,2.30,2.37,40882,26752500
