Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000547,0.000635,0.000545,0.000624,1,54697
Mar 30 2018,0.000567,0.000576,0.000528,0.000547,11,56670
Mar 29 2018,0.000635,0.000636,0.000552,0.000568,9,63530
Mar 28 2018,0.000623,0.000648,0.000619,0.000635,16,62294
Mar 27 2018,0.000555,0.000638,0.000549,0.000623,21,55457
Mar 26 2018,0.000675,0.000679,0.000644,0.000647,3,67519
Mar 25 2018,0.000680,0.000694,0.000670,0.000676,3,68025
Mar 24 2018,0.000713,0.000719,0.000688,0.000690,3,71295
Mar 23 2018,0.000696,0.000703,0.000665,0.000703,26,69611
Mar 22 2018,0.000623,0.000722,0.000622,0.000696,25,62269
Mar 21 2018,0.000623,0.000641,0.000615,0.000624,15,62330
Mar 20 2018,0.000690,0.000692,0.000501,0.000622,40,68986
Mar 19 2018,0.000655,0.000694,0.000651,0.000682,1,65522
Mar 18 2018,0.000594,0.000665,0.000585,0.000658,87,59385
Mar 16 2018,0.000578,0.000595,0.000557,0.000594,3,57824
Mar 15 2018,0.000574,0.000588,0.000539,0.000579,3,57450
Mar 14 2018,0.000640,0.000734,0.000569,0.000575,39,64045
Mar 13 2018,0.000644,0.000650,0.000621,0.000640,16,64419
Mar 12 2018,0.000668,0.000692,0.000617,0.000624,0,66810
Mar 11 2018,0.000702,0.000778,0.000661,0.000670,2,70202
Mar 10 2018,0.000556,0.000730,0.000550,0.000704,30,55558
Mar 09 2018,0.000743,0.000752,0.000444,0.000555,195,74347
Mar 08 2018,0.000791,0.000801,0.000634,0.000748,56,79125
Mar 07 2018,0.000783,0.000805,0.000774,0.000792,4,78259
Mar 06 2018,0.000805,0.000805,0.000761,0.000762,2,80537
Mar 05 2018,0.000574,0.000817,0.000571,0.000808,94,57389
Mar 02 2018,0.000872,0.000892,0.000872,0.000886,9,87229
Mar 01 2018,0.000826,0.000885,0.000820,0.000875,9,82600
Feb 28 2018,0.000965,0.000993,0.000824,0.000825,122,96497
Feb 27 2018,0.000928,0.000975,0.000915,0.000964,1,92805
Feb 26 2018,0.000767,0.000937,0.000753,0.000925,16,76692
Feb 25 2018,0.000776,0.000789,0.000745,0.000766,82,77568
Feb 24 2018,0.000609,0.000783,0.000608,0.000777,21,60880
Feb 23 2018,0.000689,0.000693,0.000582,0.000610,8,68914
Feb 22 2018,0.000733,0.000764,0.000689,0.000690,3,73265
Feb 21 2018,0.000561,0.000783,0.000534,0.000733,1,56083
Feb 20 2018,0.000782,0.000823,0.000556,0.000562,202,78200
Feb 19 2018,0.000727,0.001541,0.000725,0.000781,19,72714
Feb 18 2018,0.001220,0.001307,0.000729,0.000730,29,122029
Feb 17 2018,0.001529,0.001571,0.001166,0.001217,29,152903
Feb 16 2018,0.001312,0.001541,0.001183,0.001529,21,131176
Feb 15 2018,0.001326,0.001393,0.001275,0.001317,1,132650
Feb 14 2018,0.000936,0.001329,0.000936,0.001326,79,93608
Feb 13 2018,0.001068,0.001073,0.000923,0.000939,52,106770
Feb 12 2018,0.000811,0.001416,0.000811,0.001066,1179,81064
Feb 11 2018,0.000855,0.000922,0.000786,0.000806,46,85497
Feb 10 2018,0.000833,0.000858,0.000584,0.000856,4,83341
Feb 09 2018,0.000578,0.000578,0.000549,0.000558,1,57785
Feb 08 2018,0.000588,0.000592,0.000565,0.000576,1,58801
Feb 06 2018,0.000763,0.000802,0.000653,0.000779,121,76344
Feb 05 2018,0.000493,0.000826,0.000445,0.000762,119,49276
Feb 04 2018,0.001202,0.001202,0.000476,0.000498,134,120176
Feb 03 2018,0.000886,0.001229,0.000726,0.000739,216,88627
Feb 02 2018,0.000908,0.000910,0.000771,0.000883,111,90815
Feb 01 2018,0.001119,0.001124,0.000864,0.000910,28,111875
Jan 31 2018,0.001102,0.001138,0.000702,0.001116,74,110185
Jan 30 2018,0.000560,0.001133,0.000492,0.001100,47,55999
Jan 29 2018,0.000928,0.001232,0.000552,0.000560,554,92799
Jan 28 2018,0.000799,0.001050,0.000797,0.000929,102,79920
Jan 27 2018,0.001001,0.001044,0.000793,0.000795,17,100131
Jan 26 2018,0.001004,0.001024,0.000728,0.001002,21,100443
Jan 25 2018,0.001255,0.001285,0.000667,0.001007,24,125531
Jan 24 2018,0.000650,0.001260,0.000634,0.001235,1349,65039
Jan 23 2018,0.001233,0.001238,0.000547,0.000651,1413,123292
Jan 22 2018,0.001625,0.001669,0.001584,0.001654,554,162512
Jan 21 2018,0.001791,0.001791,0.001569,0.001603,537,179081
Jan 20 2018,0.001394,0.001806,0.001393,0.001787,599,139378
Jan 19 2018,0.001466,0.001654,0.001335,0.001379,202,146599
Jan 18 2018,0.001225,0.001482,0.001177,0.001482,1294,122531
Jan 17 2018,0.001485,0.001523,0.001086,0.001221,661,148488
Jan 16 2018,0.001776,0.002151,0.001320,0.001492,89,177647
Jan 15 2018,0.001369,0.002108,0.001231,0.001774,3721,136891
Jan 14 2018,0.000862,0.001384,0.000829,0.001379,2469,86166
Jan 13 2018,0.000974,0.001154,0.000851,0.000861,405,97396
Jan 12 2018,0.000945,0.001136,0.000814,0.000975,165,94466
Jan 11 2018,0.001049,0.001120,0.000828,0.000938,757,104871
Jan 10 2018,0.001022,0.001050,0.000830,0.001050,519,102231
