Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.047860,0.050380,0.041178,0.041649,6,-
Mar 30 2018,0.047886,0.049319,0.039665,0.047853,58,-
Mar 29 2018,0.049236,0.049670,0.038956,0.048006,75,-
Mar 28 2018,0.040102,0.051765,0.039879,0.049178,72,-
Mar 27 2018,0.043214,0.043353,0.040060,0.040111,2,-
Mar 26 2018,0.042621,0.043519,0.040179,0.043280,2,-
Mar 25 2018,0.043961,0.049322,0.042216,0.042654,46,-
Mar 24 2018,0.044649,0.046339,0.043517,0.044574,4,-
Mar 23 2018,0.043594,0.044008,0.041660,0.044008,9,-
Mar 22 2018,0.046257,0.047177,0.042695,0.043595,47,-
Mar 21 2018,0.044611,0.047621,0.044546,0.046341,20,-
Mar 20 2018,0.040960,0.045053,0.039645,0.044530,8,-
Mar 19 2018,0.042671,0.045220,0.039825,0.040508,5,-
Mar 18 2018,0.036672,0.043296,0.035243,0.042852,94,-
Mar 17 2018,0.038269,0.038599,0.036025,0.036762,44,-
Mar 16 2018,0.037916,0.039550,0.036497,0.038206,55,-
Mar 15 2018,0.044893,0.045175,0.036062,0.037937,8,-
Mar 14 2018,0.039434,0.045734,0.035404,0.044913,12,-
Mar 13 2018,0.052351,0.054620,0.038158,0.039428,64,-
Mar 12 2018,0.040563,0.052796,0.037364,0.052653,67,-
Mar 11 2018,0.037295,0.044628,0.036022,0.040692,46,-
Mar 10 2018,0.039168,0.042587,0.037361,0.037424,79,-
Mar 09 2018,0.038754,0.042756,0.035147,0.039151,71,-
Mar 08 2018,0.042529,0.051876,0.038855,0.039001,38,-
Mar 07 2018,0.058097,0.058970,0.040613,0.042590,71,-
Mar 06 2018,0.046596,0.058592,0.043938,0.058172,119,-
Mar 05 2018,0.050589,0.056844,0.046708,0.046726,168,-
Mar 04 2018,0.050450,0.063215,0.050112,0.050626,31,-
Mar 03 2018,0.056089,0.067780,0.049765,0.050537,64,-
Mar 02 2018,0.046449,0.072410,0.045488,0.056157,65,-
Mar 01 2018,0.043881,0.054711,0.043539,0.046569,59,-
Feb 28 2018,0.042978,0.050110,0.042222,0.043817,29,-
Feb 27 2018,0.041350,0.048197,0.040783,0.043028,12,-
Feb 26 2018,0.045919,0.049510,0.040838,0.041231,8,-
Feb 25 2018,0.043632,0.046106,0.039044,0.045861,52,-
Feb 24 2018,0.040587,0.043783,0.038318,0.043698,11,-
Feb 23 2018,0.036525,0.051674,0.035815,0.040638,173,-
Feb 22 2018,0.047099,0.049083,0.036171,0.036559,13,-
Feb 21 2018,0.053054,0.062489,0.039062,0.047147,552,-
Feb 20 2018,0.049601,0.068805,0.049383,0.053120,1931,-
Feb 19 2018,0.057652,0.156478,0.045094,0.049556,11543,-
Feb 18 2018,0.070999,0.072211,0.057782,0.057918,7,-
Feb 17 2018,0.080529,0.085691,0.067826,0.070781,25,-
Feb 16 2018,0.083246,0.085450,0.069704,0.080547,80,-
Feb 15 2018,0.067746,0.084170,0.066978,0.083603,77,-
Feb 14 2018,0.067908,0.071071,0.062830,0.067709,1,-
Feb 13 2018,0.077320,0.077672,0.060003,0.068112,31,-
Feb 12 2018,0.070849,0.078066,0.070849,0.077179,2,-
Feb 11 2018,0.064636,0.074098,0.060380,0.070401,7,-
Feb 10 2018,0.084369,0.087901,0.061841,0.064691,9,-
Feb 09 2018,0.064389,0.084674,0.061229,0.084307,43,-
Feb 08 2018,0.065605,0.080892,0.063424,0.064191,17,-
Feb 06 2018,0.061908,0.065040,0.052964,0.063186,13,-
Feb 05 2018,0.073256,0.074770,0.059455,0.061830,13,-
Feb 04 2018,0.082459,0.106292,0.071254,0.073974,212,-
Feb 03 2018,0.072408,0.084648,0.067005,0.082417,7,-
Feb 02 2018,0.087000,0.087000,0.065632,0.072162,80,-
Feb 01 2018,0.073125,0.090430,0.071770,0.087180,3997,-
Jan 31 2018,0.073523,0.147110,0.065762,0.072956,4659,-
