Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.009086,0.009465,0.008799,0.008888,6412430,38654500
Mar 30 2018,0.009246,0.009628,0.008586,0.009132,7548830,39334500
Mar 29 2018,0.010637,0.010778,0.009214,0.009294,7876000,45252700
Mar 28 2018,0.009185,0.010982,0.009080,0.010594,9599700,39077000
Mar 27 2018,0.009790,0.009964,0.008797,0.009236,5998520,41648500
Mar 26 2018,0.010761,0.010761,0.008910,0.009812,8819120,45780500
Mar 25 2018,0.011406,0.011468,0.010246,0.010801,9271360,48524900
Mar 24 2018,0.010990,0.012982,0.010254,0.011519,11182000,46754900
Mar 23 2018,0.010015,0.010934,0.009077,0.010934,7531180,42605600
Mar 22 2018,0.008723,0.010912,0.008703,0.010008,9087990,37110200
Mar 21 2018,0.008461,0.009133,0.008249,0.008726,6751040,35996300
Mar 20 2018,0.007600,0.009224,0.007320,0.008458,6850000,32331700
Mar 19 2018,0.006729,0.007632,0.006539,0.007529,6138970,28628300
Mar 18 2018,0.007308,0.007308,0.005912,0.006743,6547070,31092200
Mar 17 2018,0.008155,0.008155,0.007312,0.007318,5648220,34695100
Mar 16 2018,0.008232,0.008610,0.007855,0.008200,6203560,35019600
Mar 15 2018,0.008539,0.008596,0.007702,0.008219,6750260,36328000
Mar 14 2018,0.009467,0.009664,0.008357,0.008554,6548300,40274200
Mar 13 2018,0.009600,0.009696,0.009130,0.009463,3963620,40839700
Mar 12 2018,0.009994,0.010211,0.009008,0.009626,8047700,42515700
Mar 11 2018,0.009216,0.010532,0.008844,0.009998,3381140,39207000
Mar 10 2018,0.010304,0.010431,0.009147,0.009241,3512570,43835900
Mar 09 2018,0.009803,0.010350,0.008406,0.010350,4944880,41706600
Mar 08 2018,0.010810,0.012487,0.009393,0.009793,8675780,45991000
Mar 07 2018,0.016129,0.016819,0.009212,0.010674,11213700,68617200
Mar 06 2018,0.017864,0.017864,0.016076,0.016123,5090610,75999100
Mar 05 2018,0.017941,0.018681,0.017655,0.017830,5391770,76326700
Mar 04 2018,0.017866,0.018155,0.017358,0.017934,5205480,76007700
Mar 03 2018,0.018119,0.018144,0.017568,0.017894,4545910,77084400
Mar 02 2018,0.018862,0.019378,0.017726,0.018093,5298880,80246000
Mar 01 2018,0.017811,0.019496,0.017239,0.018953,5867530,75774800
Feb 28 2018,0.019891,0.020157,0.017744,0.017744,5156670,84625300
Feb 27 2018,0.018825,0.020618,0.018401,0.019846,5956780,80087300
Feb 26 2018,0.018089,0.019081,0.017376,0.018772,5178600,76956800
Feb 25 2018,0.019651,0.019889,0.017705,0.018078,5944220,83599700
Feb 24 2018,0.020900,0.021351,0.019144,0.019660,6012030,88873100
Feb 23 2018,0.020727,0.021700,0.020099,0.020875,7450120,88137200
Feb 22 2018,0.020933,0.022232,0.019797,0.020893,8468520,88993000
Feb 21 2018,0.022656,0.022656,0.019972,0.020982,7770760,96318400
Feb 20 2018,0.025503,0.026812,0.022630,0.022637,8320740,-
Feb 19 2018,0.026111,0.026278,0.024889,0.025448,8555040,-
Feb 18 2018,0.028783,0.029378,0.025479,0.026114,12077900,-
Feb 17 2018,0.022652,0.031590,0.022479,0.028799,18068600,-
Feb 16 2018,0.022309,0.022842,0.021298,0.022648,6900810,-
Feb 15 2018,0.021593,0.022413,0.021035,0.022058,8182730,-
Feb 14 2018,0.019914,0.021725,0.019536,0.021518,8101850,-
Feb 13 2018,0.020844,0.021107,0.019214,0.019978,6579780,-
Feb 12 2018,0.019894,0.021785,0.019004,0.020848,8021430,-
Feb 11 2018,0.021266,0.021341,0.019064,0.019873,6787220,-
Feb 10 2018,0.022706,0.024501,0.020654,0.021278,9955190,-
Feb 09 2018,0.021429,0.023297,0.019827,0.022695,14565500,-
Feb 08 2018,0.020064,0.023198,0.020064,0.021370,16328000,-
Feb 07 2018,0.021372,0.024469,0.019203,0.020082,18165900,-
Feb 06 2018,0.016916,0.022362,0.013367,0.021644,16821700,-
Feb 05 2018,0.023837,0.024354,0.014137,0.016821,10597700,-
Feb 04 2018,0.030604,0.031090,0.023505,0.024204,16008000,-
Feb 03 2018,0.028149,0.034563,0.025329,0.030628,22925000,-
Feb 02 2018,0.030712,0.030712,0.022664,0.028082,8367520,-
Feb 01 2018,0.037859,0.040712,0.027717,0.030845,16397900,-
Jan 31 2018,0.029141,0.037463,0.025885,0.037463,19949200,-
Jan 30 2018,0.039013,0.040890,0.026380,0.029189,38331600,-
Jan 29 2018,0.049667,0.049700,0.035802,0.039196,14362200,-
Jan 28 2018,0.044546,0.051588,0.042015,0.050202,15669600,-
Jan 27 2018,0.049494,0.053432,0.043191,0.044608,13051600,-
Jan 26 2018,0.057413,0.059918,0.042723,0.049603,19822900,-
Jan 25 2018,0.051703,0.068404,0.047529,0.057244,43805700,-
Jan 24 2018,0.021592,0.049206,0.019562,0.047779,25692100,-
Jan 23 2018,0.020597,0.023466,0.018420,0.021600,4781090,-
Jan 22 2018,0.020097,0.020715,0.020008,0.020531,3899000,-
