Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.026614,0.029332,0.025849,0.026637,96536,10385300
Mar 30 2018,0.028254,0.029127,0.025598,0.026617,53569,11025100
Mar 29 2018,0.034279,0.036217,0.027287,0.028523,84732,13376300
Mar 28 2018,0.036092,0.036794,0.032325,0.034230,198207,14084000
Mar 27 2018,0.038791,0.039828,0.036187,0.036187,302514,15137000
Mar 26 2018,0.042037,0.042324,0.037411,0.038903,411176,16403900
Mar 25 2018,0.043657,0.044841,0.041829,0.041970,392121,17035800
Mar 24 2018,0.046442,0.048576,0.044112,0.044296,460049,18122800
Mar 23 2018,0.045654,0.052397,0.042285,0.045689,592389,17815000
Mar 22 2018,0.045999,0.046856,0.040238,0.045433,509142,17950000
Mar 21 2018,0.046729,0.050644,0.040308,0.046148,578657,-
Mar 20 2018,0.044379,0.049388,0.041725,0.045974,342088,-
Mar 19 2018,0.041224,0.049210,0.040007,0.043586,771587,-
Mar 18 2018,0.049669,0.049669,0.036463,0.041394,437598,-
Mar 17 2018,0.044586,0.052251,0.043681,0.049780,249465,-
Mar 16 2018,0.055032,0.055340,0.044447,0.044447,190622,-
Mar 15 2018,0.061501,0.061884,0.046585,0.055073,224624,-
Mar 14 2018,0.075516,0.079206,0.059743,0.061526,2519920,-
Mar 13 2018,0.064436,0.097292,0.060701,0.075497,2461520,-
Mar 12 2018,0.071425,0.074507,0.055334,0.063756,1073300,-
Mar 11 2018,0.071859,0.073514,0.067052,0.071566,443359,-
Mar 10 2018,0.078435,0.081040,0.067414,0.072027,463457,-
Mar 09 2018,0.077831,0.078676,0.058014,0.078475,30977,-
Mar 08 2018,0.074980,0.079303,0.060274,0.077974,24671,-
Mar 07 2018,0.101025,0.101790,0.057690,0.075098,13756,-
Mar 06 2018,0.072415,0.099805,0.058508,0.098073,82165,-
Mar 05 2018,0.083639,0.083787,0.065764,0.072430,7017,-
Mar 04 2018,0.080271,0.083614,0.060251,0.083614,28779,-
Mar 03 2018,0.082488,0.083894,0.068610,0.080283,39683,-
Mar 02 2018,0.075622,0.084573,0.074296,0.082552,14379,-
Mar 01 2018,0.085340,0.086744,0.075005,0.075644,34913,-
Feb 28 2018,0.094639,0.095602,0.071544,0.085313,29754,-
Feb 27 2018,0.087631,0.097330,0.084186,0.094604,29863,-
Feb 26 2018,0.086378,0.100544,0.083941,0.087391,28230,-
Feb 25 2018,0.079070,0.096445,0.077619,0.086321,15625,-
Feb 24 2018,0.091656,0.100863,0.077906,0.079256,27528,-
Feb 23 2018,0.080501,0.100134,0.079144,0.091734,43726,-
Feb 22 2018,0.083967,0.099365,0.079241,0.080600,32562,-
Feb 21 2018,0.106354,0.108010,0.082214,0.084106,72178,-
Feb 20 2018,0.115249,0.125062,0.083000,0.106486,159179,-
Feb 19 2018,0.119923,0.122113,0.113199,0.115225,55457,-
Feb 18 2018,0.119658,0.130113,0.113223,0.120327,62332,-
Feb 17 2018,0.112615,0.129394,0.110385,0.119609,47068,-
Feb 16 2018,0.102293,0.125743,0.102063,0.112550,35520,-
Feb 15 2018,0.120673,0.129591,0.101186,0.102366,23721,-
Feb 14 2018,0.117844,0.132549,0.108671,0.120610,103726,-
Feb 13 2018,0.102659,0.126136,0.101682,0.117895,133349,-
Feb 12 2018,0.113868,0.130259,0.102514,0.102514,71899,-
Feb 11 2018,0.126384,0.134757,0.086510,0.113381,119120,-
Feb 10 2018,0.139263,0.152600,0.112921,0.126589,231267,-
Feb 09 2018,0.118093,0.144388,0.103253,0.139312,122971,-
