Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.003896,0.004538,0.003516,0.003548,196,70130
Mar 30 2018,0.003879,0.004137,0.003543,0.003896,10,69828
Mar 29 2018,0.004003,0.004026,0.003732,0.003889,20,72053
Mar 28 2018,0.007292,0.007568,0.003994,0.003998,27,131260
Mar 27 2018,0.004489,0.007701,0.004489,0.007294,152,80801
Mar 26 2018,0.005858,0.005890,0.004212,0.004496,40,105440
Mar 25 2018,0.004561,0.005993,0.004503,0.005862,7,82101
Mar 24 2018,0.004729,0.006143,0.003731,0.004625,43,85119
Mar 23 2018,0.004729,0.004729,0.003496,0.004661,128,85115
Mar 22 2018,0.006597,0.006597,0.004530,0.004729,750,118745
Mar 21 2018,0.006340,0.007031,0.006202,0.006609,91,114109
Mar 20 2018,0.008050,0.008189,0.006091,0.006328,179,144891
Mar 19 2018,0.005222,0.007976,0.004239,0.007961,23,93985
Mar 18 2018,0.006115,0.006115,0.004730,0.005244,56,110074
Mar 17 2018,0.007237,0.007253,0.005350,0.006130,21,130256
Mar 16 2018,0.005587,0.007551,0.004845,0.007225,47,100561
Mar 15 2018,0.006522,0.007869,0.004909,0.005590,281,117402
Mar 14 2018,0.006028,0.006960,0.005871,0.006525,148,108508
Mar 13 2018,0.005511,0.008475,0.005359,0.006027,101,99197
Mar 12 2018,0.007589,0.009032,0.005040,0.005543,200,136602
Mar 11 2018,0.006879,0.007755,0.006007,0.007613,50,123818
Mar 10 2018,0.007025,0.007141,0.004725,0.006903,37,126439
Mar 09 2018,0.005864,0.007822,0.005645,0.007022,949,105554
Mar 08 2018,0.006124,0.006124,0.005100,0.005902,43,110237
Mar 07 2018,0.005915,0.006232,0.004781,0.006133,73,106460
Mar 06 2018,0.007156,0.007156,0.005846,0.005922,22,128797
Mar 05 2018,0.006585,0.008483,0.006540,0.007175,85,118526
Mar 04 2018,0.008663,0.008670,0.006498,0.006590,199,155930
Mar 03 2018,0.007904,0.008714,0.007815,0.008678,341,142270
Mar 02 2018,0.008060,0.008275,0.004994,0.007914,783,145080
Mar 01 2018,0.007603,0.008669,0.007420,0.008081,63,136849
Feb 28 2018,0.007998,0.009852,0.006840,0.007592,242,143967
Feb 27 2018,0.007474,0.008923,0.007395,0.008008,128,134537
Feb 26 2018,0.009389,0.009466,0.007453,0.007453,135,168997
Feb 25 2018,0.009018,0.009623,0.007133,0.009377,77,162327
Feb 24 2018,0.010044,0.010423,0.008618,0.009032,217,180783
Feb 23 2018,0.013174,0.013174,0.007397,0.010056,937,237131
Feb 22 2018,0.010395,0.014237,0.007334,0.013187,718,187107
Feb 21 2018,0.009190,0.010397,0.006675,0.010388,236,165415
Feb 20 2018,0.009744,0.011012,0.006717,0.009201,3294,175396
Feb 19 2018,0.008670,0.009818,0.008439,0.009736,147,156063
Feb 18 2018,0.008567,0.009984,0.008567,0.008710,24,154200
Feb 17 2018,0.008318,0.009962,0.008204,0.008541,41,149728
Feb 16 2018,0.009905,0.010085,0.007916,0.008320,81,178286
Feb 15 2018,0.008773,0.009958,0.008409,0.009947,92,157907
Feb 14 2018,0.006946,0.009572,0.006946,0.008768,966,125017
Feb 13 2018,0.007727,0.007964,0.006652,0.006966,208,139076
Feb 12 2018,0.007443,0.008175,0.006785,0.007638,287,133964
Feb 11 2018,0.008062,0.008171,0.006955,0.007395,125,145121
Feb 10 2018,0.006691,0.008082,0.006380,0.008069,67,120435
Feb 09 2018,0.007333,0.007499,0.006523,0.006686,547,131990
Feb 08 2018,0.007575,0.008601,0.005960,0.007310,222,136349
Feb 07 2018,0.005396,0.008426,0.005052,0.007606,20,97122
Feb 06 2018,0.006309,0.006629,0.004868,0.005528,0,113553
Feb 05 2018,0.008612,0.009168,0.006047,0.006301,337,155004
Feb 04 2018,0.008555,0.009564,0.008286,0.008696,14,153984
Feb 03 2018,0.009391,0.010232,0.008401,0.008550,166,169033
Feb 02 2018,0.008750,0.009600,0.007414,0.009359,226,157498
Feb 01 2018,0.008884,0.009158,0.008082,0.008768,103,159902
Jan 31 2018,0.008961,0.009274,0.007443,0.008863,127,161303
Jan 30 2018,0.011038,0.011083,0.007520,0.008947,181,198674
Jan 29 2018,0.010283,0.011098,0.009798,0.011034,239,185098
Jan 28 2018,0.010885,0.011446,0.009416,0.010293,80,195930
Jan 27 2018,0.008373,0.011237,0.008218,0.010830,119,150710
Jan 26 2018,0.011592,0.012225,0.008225,0.008379,119,208651
Jan 25 2018,0.011465,0.011771,0.009505,0.011623,1790,206362
Jan 24 2018,0.009633,0.011668,0.009369,0.011279,1014,173397
Jan 23 2018,0.004440,0.012146,0.004251,0.009639,1486,79912
Jan 22 2018,0.012769,0.013110,0.004171,0.004451,3,229833
Jan 21 2018,0.014055,0.014055,0.012328,0.012597,1661,252991
Jan 20 2018,0.011256,0.014402,0.008702,0.014023,1898,202600
Jan 19 2018,0.010688,0.011397,0.008174,0.011135,1560,192387
Jan 18 2018,0.011567,0.011978,0.009936,0.010802,1480,208211
Jan 17 2018,0.009334,0.016070,0.008634,0.010936,297,168001
Jan 16 2018,0.011538,0.011758,0.007570,0.009381,1130,207685
Jan 15 2018,0.009598,0.013511,0.009269,0.011524,923,172763
Jan 14 2018,0.013261,0.013482,0.008813,0.009668,304,238688
Jan 13 2018,0.013323,0.013650,0.008630,0.013252,2253,239812
Jan 12 2018,0.010349,0.013393,0.010044,0.013338,1760,186278
Jan 11 2018,0.009578,0.010689,0.004830,0.010281,1140,172405
Jan 10 2018,0.008683,0.009589,0.006912,0.009589,762,156284
Jan 09 2018,0.006914,0.008969,0.006367,0.008671,789,124449
Jan 08 2018,0.007638,0.007667,0.006105,0.006933,297,137483
Jan 07 2018,0.008107,0.008107,0.007060,0.007649,326,145921
Jan 06 2018,0.007989,0.008134,0.007704,0.008113,234,143797
Jan 05 2018,0.009570,0.011055,0.007662,0.007983,1140,172254
Jan 04 2018,0.008413,0.010122,0.005998,0.009568,1441,151429
Jan 03 2018,0.006455,0.009025,0.004992,0.008441,935,116183
Jan 02 2018,0.007866,0.008115,0.006237,0.006478,290,141582
Jan 01 2018,0.008372,0.008416,0.004490,0.007866,268,150694
Dec 31 2017,0.005467,0.008528,0.004329,0.008340,358,98408
Dec 30 2017,0.007378,0.008250,0.005234,0.005527,182,132810
Dec 29 2017,0.008246,0.008616,0.007307,0.007397,156,148434
Dec 28 2017,0.008186,0.008252,0.004221,0.008162,543,147344
Dec 27 2017,0.009461,0.009589,0.007653,0.008203,337,170288
Dec 26 2017,0.008340,0.009594,0.007352,0.009454,108,150120
Dec 25 2017,0.007748,0.008640,0.005088,0.008349,355,139458
Dec 24 2017,0.008726,0.008726,0.006827,0.007668,35,157057
Dec 23 2017,0.007309,0.009273,0.007125,0.008630,137,131551
Dec 22 2017,0.009271,0.009362,0.006753,0.007240,179,166869
Dec 21 2017,0.009560,0.010219,0.008302,0.009239,226,172081
Dec 20 2017,0.009674,0.009674,0.008301,0.009535,267,174128
Dec 19 2017,0.012242,0.012257,0.009366,0.009684,277,220352
Dec 18 2017,0.012053,0.012232,0.005116,0.012232,747,216951
Dec 17 2017,0.010128,0.013035,0.004760,0.012017,1958,182298
Dec 16 2017,0.008647,0.013577,0.008364,0.010127,1711,155642
Dec 15 2017,0.007962,0.008857,0.007961,0.008635,321,143314
Dec 14 2017,0.007860,0.008191,0.007771,0.007950,37,141481
Dec 13 2017,0.007256,0.008517,0.006916,0.007886,743,130604
Dec 12 2017,0.009392,0.009853,0.007151,0.007250,671,169056
Dec 11 2017,0.008299,0.011712,0.008299,0.009362,515,149378
Dec 10 2017,0.009583,0.010660,0.007972,0.008359,680,172498
Dec 09 2017,0.010246,0.012373,0.009181,0.009547,507,184428
Dec 08 2017,0.010240,0.013387,0.008948,0.010256,775,184310
Dec 07 2017,0.012155,0.012864,0.008941,0.010216,1818,218779
Dec 06 2017,0.010243,0.013735,0.009466,0.012176,3242,184364
Dec 05 2017,0.012122,0.023486,0.006860,0.010265,27670,218201
Dec 04 2017,0.002586,0.012148,0.002505,0.012099,6698,46540
Dec 03 2017,0.003061,0.003433,0.002435,0.002577,27,55095
Dec 02 2017,0.003158,0.003329,0.002688,0.003058,5,56844
Dec 01 2017,0.002550,0.003161,0.002176,0.003161,615,45901
Nov 30 2017,0.002670,0.003444,0.002422,0.002563,14,48065
Nov 29 2017,0.002349,0.003977,0.002349,0.002630,82,42280
Nov 28 2017,0.002439,0.003673,0.002311,0.002351,215,43898
Nov 27 2017,0.004566,0.005046,0.002433,0.002433,619,82180
Nov 26 2017,0.003848,0.004601,0.002195,0.004565,2508,69269
Nov 25 2017,0.002873,0.005933,0.002857,0.003850,1925,51722
Nov 24 2017,0.002491,0.003460,0.002444,0.002879,1344,44846
Nov 23 2017,0.002541,0.002623,0.002196,0.002495,41,45731
Nov 22 2017,0.002434,0.002607,0.002379,0.002541,42,43815
Nov 21 2017,0.002637,0.002678,0.002394,0.002428,48,47470
Nov 20 2017,0.002679,0.002817,0.002351,0.002637,67,48218
Nov 19 2017,0.002872,0.002877,0.002170,0.002680,112,51692
Nov 18 2017,0.002844,0.002909,0.002757,0.002899,3,51193
Nov 17 2017,0.002981,0.003051,0.002664,0.002855,6,53656
Nov 16 2017,0.002775,0.003041,0.002713,0.002986,13,49952
Nov 15 2017,0.002579,0.002783,0.002273,0.002761,21,46412
Nov 14 2017,0.001752,0.002591,0.001294,0.002577,2,31538
Nov 13 2017,0.002055,0.002526,0.001732,0.001748,14,36985
Nov 12 2017,0.004292,0.006049,0.001982,0.002052,10,77258
Nov 11 2017,0.002498,0.004341,0.002322,0.004295,11,44971
Nov 10 2017,0.003493,0.003503,0.002258,0.002507,128,62877
Nov 09 2017,0.000703,0.003600,0.000646,0.003483,190,12654
Nov 08 2017,0.003273,0.003387,0.000674,0.000704,64,58920
Nov 07 2017,0.002923,0.003319,0.002923,0.003284,3,52609
Nov 06 2017,0.003105,0.003118,0.002917,0.002927,17,55892
Nov 05 2017,0.003615,0.003663,0.003502,0.003541,1,65062
Nov 04 2017,0.002998,0.003699,0.002929,0.003621,8,53963
Nov 03 2017,0.002953,0.003700,0.002920,0.003006,12,53159
Nov 02 2017,0.003736,0.003833,0.002776,0.002957,111,67240
Nov 01 2017,0.002706,0.003756,0.002675,0.003731,172,48715
Oct 31 2017,0.002206,0.002708,0.002206,0.002708,12,39707
Oct 30 2017,0.004408,0.004552,0.002194,0.002214,43,79351
Oct 29 2017,0.003735,0.004697,0.002600,0.004434,41,67235
Oct 28 2017,0.002709,0.009805,0.002150,0.003741,29,48757
Oct 27 2017,0.003748,0.003831,0.002685,0.002701,1,67466
Oct 26 2017,0.002798,0.003760,0.002039,0.003747,113,50355
Oct 25 2017,0.002538,0.003748,0.002476,0.002798,32,45690
Oct 24 2017,0.003424,0.003505,0.002523,0.002537,8,61632
Oct 23 2017,0.004069,0.004072,0.001713,0.003432,63,73235
Oct 22 2017,0.002775,0.003040,0.002675,0.002813,95,49948
Oct 21 2017,0.003280,0.003359,0.001801,0.002774,107,59036
Oct 20 2017,0.002795,0.003383,0.002774,0.003287,230,50313
Oct 19 2017,0.002094,0.002813,0.002075,0.002794,109,37694
Oct 18 2017,0.002414,0.003043,0.001634,0.002093,69,43459
Oct 17 2017,0.002832,0.003245,0.002399,0.002414,130,50970
Oct 16 2017,0.003655,0.003673,0.002728,0.002889,302,65785
Oct 15 2017,0.003044,0.006340,0.002983,0.003654,229,54794
Oct 14 2017,0.003785,0.003826,0.002961,0.003039,638,68126
Oct 13 2017,0.004774,0.005226,0.003501,0.003784,63,85935
Oct 12 2017,0.006837,0.007418,0.004253,0.004760,122,123056
Oct 11 2017,0.002448,0.007385,0.002428,0.006831,669,44058
Oct 10 2017,0.002582,0.003862,0.002156,0.002448,121,46482
Oct 09 2017,0.003406,0.003407,0.002011,0.002583,8,61307
Oct 08 2017,0.003199,0.003413,0.003146,0.003405,24,57587
Oct 07 2017,0.003446,0.003455,0.003102,0.003208,3,62017
Oct 06 2017,0.003499,0.003717,0.003034,0.003444,12,62978
Oct 05 2017,0.003292,0.003539,0.003060,0.003501,57,59247
Oct 04 2017,0.002562,0.003293,0.001368,0.003280,58,46107
Oct 03 2017,0.003610,0.003675,0.002554,0.002556,18,64983
Oct 02 2017,0.004451,0.004511,0.003494,0.003610,2,80118
Oct 01 2017,0.003215,0.004453,0.003163,0.004453,17,57871
Sep 30 2017,0.004172,0.004193,0.003186,0.003213,107,75093
Sep 29 2017,0.005452,0.005470,0.003093,0.004171,351,98126
Sep 28 2017,0.004967,0.005474,0.004799,0.005456,96,89394
Sep 27 2017,0.005327,0.005423,0.003966,0.004966,315,95889
Sep 26 2017,0.004877,0.005371,0.003819,0.005342,331,87787
Sep 25 2017,0.004844,0.005740,0.002942,0.004878,750,87183
Sep 24 2017,0.002606,0.005579,0.001999,0.004849,2326,46912
Sep 23 2017,0.002404,0.002607,0.002162,0.002607,37,43270
Sep 22 2017,0.001847,0.002464,0.001834,0.002411,8,33238
Sep 21 2017,0.002095,0.002562,0.001837,0.001849,88,37706
Sep 20 2017,0.002112,0.002186,0.002077,0.002105,13,38011
Sep 19 2017,0.002316,0.002328,0.002010,0.002085,15,41677
Sep 18 2017,0.002808,0.003158,0.002238,0.002310,46,50547
Sep 17 2017,0.001969,0.002888,0.001937,0.002814,4,35434
Sep 16 2017,0.000820,0.001970,0.000819,0.001970,27,14759
Sep 15 2017,0.001930,0.003595,0.000669,0.000822,56,34736
Sep 14 2017,0.002597,0.002981,0.001915,0.001915,20,46737
Sep 13 2017,0.002898,0.002909,0.002041,0.002597,13,52164
Sep 12 2017,0.002823,0.003073,0.002639,0.002909,648,50813
Sep 11 2017,0.002763,0.002834,0.002523,0.002820,44,49724
Sep 10 2017,0.002504,0.002795,0.002264,0.002767,24,45065
Sep 09 2017,0.002293,0.002510,0.002228,0.002510,37,41275
Sep 08 2017,0.003795,0.003808,0.002071,0.002289,84,68312
Sep 07 2017,0.003588,0.005057,0.003535,0.003795,454,64578
Sep 06 2017,0.002282,0.003604,0.002253,0.003595,9,41081
Sep 05 2017,0.001981,0.001981,0.001866,0.001975,11,35652
Sep 04 2017,0.003526,0.003528,0.001971,0.001971,58,63462
Sep 03 2017,0.001698,0.006181,0.001698,0.003525,45,30566
Sep 02 2017,0.003004,0.003186,0.001512,0.001697,6,54061
Sep 01 2017,0.003254,0.003449,0.001758,0.003000,182,58560
Aug 31 2017,0.003709,0.003743,0.003128,0.003253,406,66761
Aug 30 2017,0.003170,0.004848,0.003159,0.003716,86,57054
Aug 29 2017,0.003220,0.003552,0.003152,0.003174,108,57960
Aug 28 2017,0.002750,0.003226,0.002578,0.003215,375,49487
Aug 27 2017,0.002693,0.004146,0.002693,0.002752,51,48477
Aug 26 2017,0.002621,0.002700,0.002073,0.002694,16,47166
Aug 25 2017,0.003247,0.003333,0.002599,0.002620,896,58433
Aug 24 2017,0.002296,0.003275,0.002293,0.003252,320,41319
Aug 23 2017,0.003305,0.003594,0.002294,0.002320,35,59480
Aug 22 2017,0.002818,0.003644,0.002665,0.003342,12,50722
Aug 21 2017,0.004688,0.004902,0.002804,0.002812,14,84372
Aug 20 2017,0.006020,0.006369,0.004303,0.004706,22,108358
Aug 19 2017,0.002387,0.006060,0.001958,0.006049,5,42954
Aug 18 2017,0.002867,0.003559,0.002300,0.002389,21,51610
Aug 17 2017,0.003721,0.003846,0.002810,0.002876,495,66968
Aug 16 2017,0.003365,0.003767,0.003168,0.003724,439,60555
Aug 15 2017,0.000767,0.003386,0.000660,0.003361,2188,13809
Aug 14 2017,0.003980,0.005460,0.000645,0.000765,66,71624
Aug 13 2017,0.003513,0.004039,0.003513,0.003977,14,63228
Aug 12 2017,0.004878,0.004911,0.002734,0.003516,99,87799
Aug 11 2017,0.004929,0.005773,0.004231,0.004882,19,88706
Aug 10 2017,0.003587,0.007809,0.002700,0.004929,5,64566
Aug 09 2017,0.001815,0.003605,0.001678,0.003587,49,32658
Aug 08 2017,0.003392,0.003517,0.001607,0.001816,38,61044
Aug 07 2017,0.003027,0.003402,0.002644,0.003388,323,54479
Aug 06 2017,0.003921,0.003958,0.002894,0.003034,120,70562
Aug 05 2017,0.003809,0.004264,0.002694,0.003920,2052,68546
Aug 04 2017,0.002285,0.003851,0.002270,0.003810,543,41131
Aug 03 2017,0.001979,0.002593,0.001978,0.002286,99,35622
Aug 02 2017,0.006796,0.007021,0.000888,0.001976,21,122321
Aug 01 2017,0.002290,0.006805,0.002260,0.006798,9,41212
Jul 31 2017,0.002865,0.004880,0.002269,0.002289,12,51561
Jul 30 2017,0.002174,0.002864,0.002081,0.002862,81,39130
